accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	time	treatment	tumor type
SAMN10830532	10830532	48h_2mg_MOO_2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298714	GSM3581375	MDA-MB-231	total RNAs, cell line	48h	MOO	breast cancer
SAMN10830533	10830533	48h_2mg_MOO_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298713	GSM3581374	MDA-MB-231	total RNAs, cell line	48h	MOO	breast cancer
SAMN10830534	10830534	48h_2mg_OO_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298710	GSM3581371	MDA-MB-231	total RNAs, cell line	48h	OO	breast cancer
SAMN10830535	10830535	48h_2mg_N_3_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298709	GSM3581370	MDA-MB-231	total RNAs, cell line	48h	N_3	breast cancer
SAMN10830536	10830536	48h_2mg_N_3_2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298708	GSM3581369	MDA-MB-231	total RNAs, cell line	48h	N_3	breast cancer
SAMN10830537	10830537	48h_2mg_N_3_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298707	GSM3581368	MDA-MB-231	total RNAs, cell line	48h	N_3	breast cancer
SAMN10830538	10830538	48h_2mg_N_2_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298706	GSM3581367	MDA-MB-231	total RNAs, cell line	48h	N_2	breast cancer
SAMN10830539	10830539	48h_2mg_N_2_2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298705	GSM3581366	MDA-MB-231	total RNAs, cell line	48h	N_2	breast cancer
SAMN10830540	10830540	48h_2mg_N_2_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298704	GSM3581365	MDA-MB-231	total RNAs, cell line	48h	N_2	breast cancer
SAMN10830542	10830542	48h_2mg_CKI3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298703	GSM3581364	MDA-MB-231	total RNAs, cell line	48h	CKI	breast cancer
SAMN10830543	10830543	24h_2mg_MOO_2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298696	GSM3581357	MDA-MB-231	total RNAs, cell line	24h	MOO	breast cancer
SAMN10830544	10830544	24h_2mg_MOO_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298695	GSM3581356	MDA-MB-231	total RNAs, cell line	24h	MOO	breast cancer
SAMN10830546	10830546	48h_2mg_CKI2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298702	GSM3581363	MDA-MB-231	total RNAs, cell line	48h	CKI	breast cancer
SAMN10830547	10830547	48h_2mg_CKI1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298701	GSM3581362	MDA-MB-231	total RNAs, cell line	48h	CKI	breast cancer
SAMN10830548	10830548	48h_UT3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298700	GSM3581361	MDA-MB-231	total RNAs, cell line	48h	UT	breast cancer
SAMN10830549	10830549	48h_UT2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298699	GSM3581360	MDA-MB-231	total RNAs, cell line	48h	UT	breast cancer
SAMN10830550	10830550	48h_UT1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298698	GSM3581359	MDA-MB-231	total RNAs, cell line	48h	UT	breast cancer
SAMN10830552	10830552	24h_2mg_MOO_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298697	GSM3581358	MDA-MB-231	total RNAs, cell line	24h	MOO	breast cancer
SAMN10830553	10830553	24h_2mg_OO_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298694	GSM3581355	MDA-MB-231	total RNAs, cell line	24h	OO	breast cancer
SAMN10830554	10830554	24h_2mg_OO_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298693	GSM3581354	MDA-MB-231	total RNAs, cell line	24h	OO	breast cancer
SAMN10830555	10830555	24h_2mg_OO_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298692	GSM3581353	MDA-MB-231	total RNAs, cell line	24h	OO	breast cancer
SAMN10830557	10830557	24h_2mg_N_3_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298691	GSM3581352	MDA-MB-231	total RNAs, cell line	24h	N_3	breast cancer
SAMN10830558	10830558	24h_2mg_N_3_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298690	GSM3581351	MDA-MB-231	total RNAs, cell line	24h	N_3	breast cancer
SAMN10830559	10830559	24h_2mg_N_3_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298689	GSM3581350	MDA-MB-231	total RNAs, cell line	24h	N_3	breast cancer
SAMN10830560	10830560	24h_2mg_N_2_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298688	GSM3581349	MDA-MB-231	total RNAs, cell line	24h	N_2	breast cancer
SAMN10830562	10830562	24h_2mg_N_2_2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298687	GSM3581348	MDA-MB-231	total RNAs, cell line	24h	N_2	breast cancer
SAMN10830563	10830563	24h_2mg_N_2_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298686	GSM3581347	MDA-MB-231	total RNAs, cell line	24h	N_2	breast cancer
SAMN10830564	10830564	24h_2mg_CKI3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298685	GSM3581346	MDA-MB-231	total RNAs, cell line	24h	CKI	breast cancer
SAMN10830566	10830566	24h_2mg_CKI1_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298684	GSM3581345	MDA-MB-231	total RNAs, cell line	24h	CKI	breast cancer
SAMN10830567	10830567	24h_2mg_CKI_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298683	GSM3581344	MDA-MB-231	total RNAs, cell line	24h	CKI	breast cancer
SAMN10830568	10830568	24h_UT3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298682	GSM3581343	MDA-MB-231	total RNAs, cell line	24h	UT	breast cancer
SAMN10830569	10830569	24h_UT2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298681	GSM3581342	MDA-MB-231	total RNAs, cell line	24h	UT	breast cancer
SAMN10830570	10830570	24h_UT1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298680	GSM3581341	MDA-MB-231	total RNAs, cell line	24h	UT	breast cancer
SAMN10830574	10830574	48h_2mg_N_Tri3_Rep3_Batch2	Adelson, University of Adelaide	9606	SRS4298733	GSM3581394	MDA-MB-231	total RNAs, cell line	48h	N_Tri	breast cancer
SAMN10830575	10830575	48h_2mg_N_Tri2_Rep2_Batch2	Adelson, University of Adelaide	9606	SRS4298732	GSM3581393	MDA-MB-231	total RNAs, cell line	48h	N_Tri	breast cancer
SAMN10830576	10830576	48h_2mg_N_Tri1_Rep1_Batch2	Adelson, University of Adelaide	9606	SRS4298731	GSM3581392	MDA-MB-231	total RNAs, cell line	48h	N_Tri	breast cancer
SAMN10830577	10830577	48h_2mg_N_Omt3_Rep3_Batch2	Adelson, University of Adelaide	9606	SRS4298730	GSM3581391	MDA-MB-231	total RNAs, cell line	48h	N_Omt	breast cancer
SAMN10830578	10830578	48h_2mg_N_Omt2_Rep2_Batch2	Adelson, University of Adelaide	9606	SRS4298729	GSM3581390	MDA-MB-231	total RNAs, cell line	48h	N_Omt	breast cancer
