accession	uid	title	organization	taxonomy	sra	geo	cell line	mtap status	replicate	source_name	treatment
SAMN10955824	10955824	PANC03.27_MTAP_KO_Combo_N2	GlaxoSmithKline LLC	9606	SRS4372551	GSM3610493	PANC03.27	Knock out	Replicate #2	Pancreatic cancer cell line	Treated (Combination)
SAMN10955825	10955825	PANC03.27_MTAP_KO_Combo_N1	GlaxoSmithKline LLC	9606	SRS4372550	GSM3610492	PANC03.27	Knock out	Replicate #1	Pancreatic cancer cell line	Treated (Combination)
SAMN10955826	10955826	PANC03.27_MTAP_KO_GSK591_N2	GlaxoSmithKline LLC	9606	SRS4372549	GSM3610491	PANC03.27	Knock out	Replicate #2	Pancreatic cancer cell line	Treated (GSK3203591)
SAMN10955827	10955827	PANC03.27_MTAP_KO_GSK591_N1	GlaxoSmithKline LLC	9606	SRS4372548	GSM3610490	PANC03.27	Knock out	Replicate #1	Pancreatic cancer cell line	Treated (GSK3203591)
SAMN10955828	10955828	PANC03.27_MTAP_WT_Combo_N2	GlaxoSmithKline LLC	9606	SRS4372543	GSM3610485	PANC03.27	Parental	Replicate #2	Pancreatic cancer cell line	Treated (Combination)
SAMN10955829	10955829	PANC03.27_MTAP_WT_Combo_N1	GlaxoSmithKline LLC	9606	SRS4372542	GSM3610484	PANC03.27	Parental	Replicate #1	Pancreatic cancer cell line	Treated (Combination)
SAMN10955830	10955830	PANC03.27_MTAP_WT_GSK591_N2	GlaxoSmithKline LLC	9606	SRS4372541	GSM3610483	PANC03.27	Parental	Replicate #2	Pancreatic cancer cell line	Treated (GSK3203591)
SAMN10955831	10955831	PANC03.27_MTAP_WT_GSK591_N1	GlaxoSmithKline LLC	9606	SRS4372540	GSM3610482	PANC03.27	Parental	Replicate #1	Pancreatic cancer cell line	Treated (GSK3203591)
SAMN10955832	10955832	PANC03.27_MTAP_KO_GSK712_N2	GlaxoSmithKline LLC	9606	SRS4372547	GSM3610489	PANC03.27	Knock out	Replicate #2	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955833	10955833	PANC03.27_MTAP_KO_GSK712_N1	GlaxoSmithKline LLC	9606	SRS4372546	GSM3610488	PANC03.27	Knock out	Replicate #1	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955834	10955834	PANC03.27_MTAP_KO_DMSO_N2	GlaxoSmithKline LLC	9606	SRS4372545	GSM3610487	PANC03.27	Knock out	Replicate #2	Pancreatic cancer cell line	Control (DMSO)
SAMN10955835	10955835	PANC03.27_MTAP_KO_DMSO_N1	GlaxoSmithKline LLC	9606	SRS4372544	GSM3610486	PANC03.27	Knock out	Replicate #1	Pancreatic cancer cell line	Control (DMSO)
SAMN10955836	10955836	PANC03.27_MTAP_WT_GSK712_N2	GlaxoSmithKline LLC	9606	SRS4372539	GSM3610481	PANC03.27	Parental	Replicate #2	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955837	10955837	PANC03.27_MTAP_WT_GSK712_N1	GlaxoSmithKline LLC	9606	SRS4372538	GSM3610480	PANC03.27	Parental	Replicate #1	Pancreatic cancer cell line	Treated (GSK3368712)
