accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment
SAMN10984776	10984776	THP1_ETOP_REP3	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390492	GSM3617906	THP1	AML	AML	Etoposide (IC50)
SAMN10984777	10984777	THP1_ETOP_REP2	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390491	GSM3617905	THP1	AML	AML	Etoposide (IC50)
SAMN10984778	10984778	THP1_ETOP_REP1	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390490	GSM3617904	THP1	AML	AML	Etoposide (IC50)
SAMN10984779	10984779	THP1_CTR_REP3	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390489	GSM3617903	THP1	AML	AML	Untreated
SAMN10984780	10984780	THP1_CTR_REP2	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390488	GSM3617902	THP1	AML	AML	Untreated
SAMN10984781	10984781	THP1_CTR_REP1	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390487	GSM3617901	THP1	AML	AML	Untreated
SAMN10984782	10984782	OCIAML3_ETOP_REP3	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390486	GSM3617900	OCIAML3	AML	AML	Etoposide (IC50)
SAMN10984783	10984783	OCIAML3_ETOP_REP2	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390485	GSM3617899	OCIAML3	AML	AML	Etoposide (IC50)
SAMN10984784	10984784	OCIAML3_ETOP_REP1	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390484	GSM3617898	OCIAML3	AML	AML	Etoposide (IC50)
SAMN10984785	10984785	OCIAML3_CTR_REP3	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390483	GSM3617897	OCIAML3	AML	AML	Untreated
SAMN10984786	10984786	OCIAML3_CTR_REP2	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390482	GSM3617896	OCIAML3	AML	AML	Untreated
SAMN10984787	10984787	OCIAML3_CTR_REP1	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390481	GSM3617895	OCIAML3	AML	AML	Untreated
SAMN10984788	10984788	OCIAML2_ETOP_REP3	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390480	GSM3617894	OCIAML2	AML	AML	Etoposide (IC50)
SAMN10984789	10984789	OCIAML2_ETOP_REP2	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390479	GSM3617893	OCIAML2	AML	AML	Etoposide (IC50)
SAMN10984790	10984790	OCIAML2_ETOP_REP1	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390478	GSM3617892	OCIAML2	AML	AML	Etoposide (IC50)
SAMN10984791	10984791	OCIAML2_CTR_REP3	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390477	GSM3617891	OCIAML2	AML	AML	Untreated
SAMN10984792	10984792	OCIAML2_CTR_REP2	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390476	GSM3617890	OCIAML2	AML	AML	Untreated
SAMN10984793	10984793	OCIAML2_CTR_REP1	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390475	GSM3617889	OCIAML2	AML	AML	Untreated
SAMN10984794	10984794	NOMO1_ETOP_REP3	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390474	GSM3617888	NOMO1	AML	AML	Etoposide (IC50)
SAMN10984795	10984795	NOMO1_ETOP_REP2	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390473	GSM3617887	NOMO1	AML	AML	Etoposide (IC50)
SAMN10984796	10984796	NOMO1_ETOP_REP1	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390472	GSM3617886	NOMO1	AML	AML	Etoposide (IC50)
SAMN10984797	10984797	NOMO1_CTR_REP3	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390471	GSM3617885	NOMO1	AML	AML	Untreated
SAMN10984798	10984798	NOMO1_CTR_REP2	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390470	GSM3617884	NOMO1	AML	AML	Untreated
SAMN10984799	10984799	NOMO1_CTR_REP1	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390469	GSM3617883	NOMO1	AML	AML	Untreated
SAMN10984800	10984800	HL60_CTR_REP3	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390435	GSM3617849	HL60	AML	AML	Untreated
SAMN10984801	10984801	HL60_CTR_REP2	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390434	GSM3617848	HL60	AML	AML	Untreated
SAMN10984802	10984802	HL60_CTR_REP1	Department of Pharmacology, University Medical Center, Johannes Gutenberg University of Mainz	9606	SRS4390433	GSM3617847	HL60	AML	AML	Untreated
