accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	timepoint	treatment
SAMN11037864	11037864	MOLM13_RNA_EPZ5676_1uM_d2_REP3_180927_CCAATT	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421595	GSM3635640	MOLM13		MOLM13 cultured cells	2 days	1uM EPZ5676
SAMN11037865	11037865	MOLM13_RNA_EPZ5676_1uM_d2_REP2_180927_TTCCGC	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421594	GSM3635639	MOLM13		MOLM13 cultured cells	2 days	1uM EPZ5676
SAMN11037866	11037866	MOLM13_RNA_EPZ5676_1uM_d2_REP1_180927_GGTATA	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421593	GSM3635638	MOLM13		MOLM13 cultured cells	2 days	1uM EPZ5676
SAMN11037867	11037867	MOLM13_RNA_DMSO_d2_REP2_180927_ATGAAC	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421588	GSM3635633	MOLM13		MOLM13 cultured cells	2 days	DMSO
SAMN11037868	11037868	MOLM13_RNA_DMSO_d2_REP1_180927_TGCACG	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421587	GSM3635632	MOLM13		MOLM13 cultured cells	2 days	DMSO
SAMN11037869	11037869	m819BM_PDX-CBAB22694_RNA_control_d28_171121_AATCCG	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421628	GSM3635673		CD45+	PDX-CBAB22694 implanted in mouse 819	28 days	
SAMN11037870	11037870	m818BM_PDX-CBAB22694_RNA_control_d28_171121_CCTAAG	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421627	GSM3635672		CD45+	PDX-CBAB22694 implanted in mouse 818	28 days	
SAMN11037871	11037871	m815BM_PDX-CBAB22694_RNA_VTP50469_d28_171121_ATGAAC	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421626	GSM3635671		CD45+	PDX-CBAB22694 implanted in mouse 815	28 days	1% VTP50469 chow
SAMN11037872	11037872	m814BM_PDX-CBAB22694_RNA_VTP50469_d28_171121_TTAACT	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421625	GSM3635670		CD45+	PDX-CBAB22694 implanted in mouse 814	28 days	1% VTP50469 chow
SAMN11037873	11037873	m813BM_PDX-CBAB22694_RNA_control_d28_171121_CGGTTA	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421624	GSM3635669		CD45+	PDX-CBAB22694 implanted in mouse 813	28 days	
SAMN11037874	11037874	m812BM_PDX-CBAB22694_RNA_VTP50469_d28_171121_TCAGGA	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421623	GSM3635668		CD45+	PDX-CBAB22694 implanted in mouse 812	28 days	1% VTP50469 chow
SAMN11037875	11037875	RS411_RNA_EPZ5676_1uM_d7_REP3_180927_AATAGC	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421622	GSM3635667	RS411		RS411 cultured cells	7 days	1uM EPZ5676
SAMN11037876	11037876	RS411_RNA_EPZ5676_1uM_d7_REP2_180927_GATTGT	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421621	GSM3635666	RS411		RS411 cultured cells	7 days	1uM EPZ5676
SAMN11037877	11037877	RS411_RNA_EPZ5676_1uM_d7_REP1_180927_CGAAGG	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421620	GSM3635665	RS411		RS411 cultured cells	7 days	1uM EPZ5676
SAMN11037878	11037878	RS411_RNA_VTP50469_330nM_d7_REP3_180927_CCGCAA	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421619	GSM3635664	RS411		RS411 cultured cells	7 days	330nM VTP50469
