BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	agent	cell line	source_name	tumor type	group
SAMN11514577	SRR8962077	2019-08-24T11:45:49Z	2019-04-26T08:20:51Z	23675594	7102678200	23675594	300	2809		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/962/SRR8962077.sralite.1	SRX5741611		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677117	simple	9606	Homo sapiens	GSM3736781							no					GEO	SRA879816		public	3AB2C399637AA13AFC990D842D2ED971	3C0C553BD63D37FB8D6A821652B6DDD7	11514577	48h_untreated_A431_1	Molecular and biomedical science, University of Adelaide	9606	SRS4677117	GSM3736781	none	A431	total RNAs, cell line	epidermoid carcinoma	A431.none.48hr
SAMN11514580	SRR8962100	2019-08-24T11:45:50Z	2019-04-26T08:22:10Z	24766017	7429805100	24766017	300	2933		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/962/SRR8962100.sralite.1	SRX5741634		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677139	simple	9606	Homo sapiens	GSM3736804							no					GEO	SRA879816		public	0F44857B669EBD00B09A44338F2A90E1	42464C408B91BEFCDD65CB926EF5A741	11514580	48h_5Fu_M231_3	Molecular and biomedical science, University of Adelaide	9606	SRS4677139	GSM3736804	5Fu	MDA-MB-231	total RNAs, cell line	adenocarcinoma	MDA.MB.231.5Fu.10ug.48hr
SAMN11514581	SRR8962099	2019-08-24T11:45:50Z	2019-04-26T08:20:45Z	24696332	7408899600	24696332	300	2927		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/962/SRR8962099.sralite.1	SRX5741633		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677138	simple	9606	Homo sapiens	GSM3736803							no					GEO	SRA879816		public	72EC5107D1F271386333E319A459FC4B	79F106406BE29618DE7E4886C132CA19	11514581	48h_5Fu_M231_2	Molecular and biomedical science, University of Adelaide	9606	SRS4677138	GSM3736803	5Fu	MDA-MB-231	total RNAs, cell line	adenocarcinoma	MDA.MB.231.5Fu.10ug.48hr
SAMN11514582	SRR8962098	2019-08-24T11:45:50Z	2019-04-26T08:24:11Z	25925949	7777784700	25925949	300	3076		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/962/SRR8962098.sralite.1	SRX5741632		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677137	simple	9606	Homo sapiens	GSM3736802							no					GEO	SRA879816		public	BE39174D275A77843A15B6106D7CF253	3942672851F9D737EBC4D71628FB75F1	11514582	48h_5Fu_M231_1	Molecular and biomedical science, University of Adelaide	9606	SRS4677137	GSM3736802	5Fu	MDA-MB-231	total RNAs, cell line	adenocarcinoma	MDA.MB.231.5Fu.10ug.48hr
SAMN11514583	SRR8962097	2019-08-24T11:45:50Z	2019-04-26T08:21:37Z	24705770	7411731000	24705770	300	2948		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/962/SRR8962097.sralite.1	SRX5741631		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677136	simple	9606	Homo sapiens	GSM3736801							no					GEO	SRA879816		public	25D6A27709BE34D771A60DAE8FE8D184	B61C0BFBF9EE60254B6590C90BD41EB0	11514583	48h_CKI_1/20_M231_3	Molecular and biomedical science, University of Adelaide	9606	SRS4677136	GSM3736801	CKI_1/20	MDA-MB-231	total RNAs, cell line	adenocarcinoma	MDA.MB.231.CKI_1.20.1mg.48hr
SAMN11514584	SRR8962096	2019-08-24T11:45:50Z	2019-04-26T08:24:14Z	26939980	8081994000	26939980	300	3200		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/962/SRR8962096.sralite.1	SRX5741630		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677135	simple	9606	Homo sapiens	GSM3736800							no					GEO	SRA879816		public	B302BCBD567C165F08F4DF3B2F8FD2B7	F5E9F32A33532C31DE008F1BA9ACEBEA	11514584	48h_CKI_1/20_M231_2	Molecular and biomedical science, University of Adelaide	9606	SRS4677135	GSM3736800	CKI_1/20	MDA-MB-231	total RNAs, cell line	adenocarcinoma	MDA.MB.231.CKI_1.20.1mg.48hr
SAMN11514585	SRR8962095	2019-08-24T11:45:49Z	2019-04-26T08:23:16Z	24707125	7412137500	24707125	300	2928		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/962/SRR8962095.sralite.1	SRX5741629		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677134	simple	9606	Homo sapiens	GSM3736799							no					GEO	SRA879816		public	83259E84538A977403B87F50E4205444	FE2891EBC63863763334A0D2450FE965	11514585	48h_CKI_1/20_M231_1	Molecular and biomedical science, University of Adelaide	9606	SRS4677134	GSM3736799	CKI_1/20	MDA-MB-231	total RNAs, cell line	adenocarcinoma	MDA.MB.231.CKI_1.20.1mg.48hr
SAMN11514586	SRR8962094	2019-08-24T11:45:49Z	2019-04-26T08:21:57Z	26053170	7815951000	26053170	300	3140		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/962/SRR8962094.sralite.1	SRX5741628		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677133	simple	9606	Homo sapiens	GSM3736798							no					GEO	SRA879816		public	0C8764FF6200885FC0292F9509C8EB18	199EB82146AAC9820BA5849F032B35A3	11514586	48h_untreated_M231_3	Molecular and biomedical science, University of Adelaide	9606	SRS4677133	GSM3736798	none	MDA-MB-231	total RNAs, cell line	adenocarcinoma	MDA.MB.231.none.48hr
SAMN11514587	SRR8962093	2019-08-24T11:45:49Z	2019-04-26T08:22:52Z	27854086	8356225800	27854086	300	3352		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/962/SRR8962093.sralite.1	SRX5741627		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677132	simple	9606	Homo sapiens	GSM3736797							no					GEO	SRA879816		public	787EC8951FCEE9947B548F27A7F7D9F1	C86829D5DCC93ADB4AE7E039AF0A5027	11514587	48h_untreated_M231_2	Molecular and biomedical science, University of Adelaide	9606	SRS4677132	GSM3736797	none	MDA-MB-231	total RNAs, cell line	adenocarcinoma	MDA.MB.231.none.48hr
SAMN11514588	SRR8962092	2019-08-24T11:45:49Z	2019-04-26T08:22:50Z	24115459	7234637700	24115459	300	2881		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/962/SRR8962092.sralite.1	SRX5741626		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677131	simple	9606	Homo sapiens	GSM3736796							no					GEO	SRA879816		public	F22129D949996F5966A9943D66D1EC9D	12190427D8BF39E21FAE688F0360D8DD	11514588	48h_untreated_M231_1	Molecular and biomedical science, University of Adelaide	9606	SRS4677131	GSM3736796	none	MDA-MB-231	total RNAs, cell line	adenocarcinoma	MDA.MB.231.none.48hr
SAMN11514589	SRR8962091	2019-08-24T11:45:49Z	2019-04-26T08:21:40Z	25554062	7666218600	25554062	300	3040		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/962/SRR8962091.sralite.1	SRX5741625		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677130	simple	9606	Homo sapiens	GSM3736795							no					GEO	SRA879816		public	21A9BCEBD75F66E6D1CEAC0273FC8039	991C0E44A163636AE12DE038CB029755	11514589	48h_vehicle_control_A431_3	Molecular and biomedical science, University of Adelaide	9606	SRS4677130	GSM3736795	vehicle_control	A431	total RNAs, cell line	epidermoid carcinoma	A431.vehicle_control.48hr
SAMN11514590	SRR8962086	2019-08-24T11:45:49Z	2019-04-26T08:24:21Z	25727351	7718205300	25727351	300	3032		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/962/SRR8962086.sralite.1	SRX5741620		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677125	simple	9606	Homo sapiens	GSM3736790							no					GEO	SRA879816		public	602BDC50F056C250EC8326E21BAEE650	9584A29A92BC3ADE6DA4083BE99E5B8D	11514590	48h_CKI+Doxorubicin_A431_1	Molecular and biomedical science, University of Adelaide	9606	SRS4677125	GSM3736790	CKI+Doxorubicin	A431	total RNAs, cell line	epidermoid carcinoma	A431.CKI..1mg.Doxorubicin.1ng.48hr
SAMN11514591	SRR8962085	2019-08-24T11:45:49Z	2019-04-26T08:23:24Z	24248388	7274516400	24248388	300	2852		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/962/SRR8962085.sralite.1	SRX5741619		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677122	simple	9606	Homo sapiens	GSM3736789							no					GEO	SRA879816		public	06275FD7E39D03E2ACB94423B0D76093	DFED7D5AFC16C8962E95E1FAC9E34FDF	11514591	48h_Doxorubicin_A431_3	Molecular and biomedical science, University of Adelaide	9606	SRS4677122	GSM3736789	Doxorubicin	A431	total RNAs, cell line	epidermoid carcinoma	A431.Doxorubicin.1ng.48hr
SAMN11514592	SRR8962090	2019-08-24T11:45:49Z	2019-04-26T08:24:01Z	27039718	8111915400	27039718	300	3179		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/962/SRR8962090.sralite.1	SRX5741624		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677129	simple	9606	Homo sapiens	GSM3736794							no					GEO	SRA879816		public	9499551EBE02DF3F1270DA18EA7E0F56	2E308C0B3378C334D9B7A4A1B855BB3C	11514592	48h_vehicle_control_A431_2	Molecular and biomedical science, University of Adelaide	9606	SRS4677129	GSM3736794	vehicle_control	A431	total RNAs, cell line	epidermoid carcinoma	A431.vehicle_control.48hr
SAMN11514593	SRR8962089	2019-08-24T11:45:49Z	2019-04-26T08:22:36Z	23631110	7089333000	23631110	300	2760		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/962/SRR8962089.sralite.1	SRX5741623		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677128	simple	9606	Homo sapiens	GSM3736793							no					GEO	SRA879816		public	C0BB53479D901DDC96CF9F125C69FE66	CA46875C4F217BF29FA59A022A0D94FF	11514593	48h_vehicle_control_A431_1	Molecular and biomedical science, University of Adelaide	9606	SRS4677128	GSM3736793	vehicle_control	A431	total RNAs, cell line	epidermoid carcinoma	A431.vehicle_control.48hr
SAMN11514594	SRR8962088	2019-08-24T11:45:49Z	2019-04-26T08:29:09Z	23868620	7160586000	23868620	300	2804		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/962/SRR8962088.sralite.1	SRX5741622		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677127	simple	9606	Homo sapiens	GSM3736792							no					GEO	SRA879816		public	D54DBB25D247F068C4A197569A709B56	04F306D3AB39214BDD591B88F1A34F41	11514594	48h_CKI+Doxorubicin_A431_3	Molecular and biomedical science, University of Adelaide	9606	SRS4677127	GSM3736792	CKI+Doxorubicin	A431	total RNAs, cell line	epidermoid carcinoma	A431.CKI..1mg.Doxorubicin.1ng.48hr
SAMN11514595	SRR8962087	2019-08-24T11:45:49Z	2019-04-26T08:26:32Z	24970620	7491186000	24970620	300	2941		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/962/SRR8962087.sralite.1	SRX5741621		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677126	simple	9606	Homo sapiens	GSM3736791							no					GEO	SRA879816		public	C608B0A6A335378144DD57C5AB2E80BA	6D2EDFD4DA35367106E559EB269A72BC	11514595	48h_CKI+Doxorubicin_A431_2	Molecular and biomedical science, University of Adelaide	9606	SRS4677126	GSM3736791	CKI+Doxorubicin	A431	total RNAs, cell line	epidermoid carcinoma	A431.CKI..1mg.Doxorubicin.1ng.48hr
SAMN11514596	SRR8962084	2019-08-24T11:45:49Z	2019-04-26T08:23:14Z	24694347	7408304100	24694347	300	2921		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/962/SRR8962084.sralite.1	SRX5741618		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677123	simple	9606	Homo sapiens	GSM3736788							no					GEO	SRA879816		public	B1698A98DFAB8D0E1966D3ED90D98AC0	11669B75409BE8A8178FB1A765A426B0	11514596	48h_Doxorubicin_A431_2	Molecular and biomedical science, University of Adelaide	9606	SRS4677123	GSM3736788	Doxorubicin	A431	total RNAs, cell line	epidermoid carcinoma	A431.Doxorubicin.1ng.48hr
SAMN11514597	SRR8962083	2019-08-24T11:45:49Z	2019-04-26T08:22:58Z	25108397	7532519100	25108397	300	2965		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/962/SRR8962083.sralite.1	SRX5741617		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677124	simple	9606	Homo sapiens	GSM3736787							no					GEO	SRA879816		public	389CC57D9E4010FA769CFE7D5098B9E6	9B9D21B4DAD02BA073398CA251898DD6	11514597	48h_Doxorubicin_A431_1	Molecular and biomedical science, University of Adelaide	9606	SRS4677124	GSM3736787	Doxorubicin	A431	total RNAs, cell line	epidermoid carcinoma	A431.Doxorubicin.1ng.48hr
SAMN11514598	SRR8962082	2019-08-24T11:45:49Z	2019-04-26T08:21:59Z	24990675	7497202500	24990675	300	2967		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/962/SRR8962082.sralite.1	SRX5741616		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP193948	PRJNA539875	3	539875	SRS4677121	simple	9606	Homo sapiens	GSM3736786							no					GEO	SRA879816		public	40723EF7A85DC03566BE7CF22B20996D	9086B80EC41FAD0403D71C835C053BD2	11514598	48h_CKI_1/20_A431_3	Molecular and biomedical science, University of Adelaide	9606	SRS4677121	GSM3736786	CKI_1/20	A431	total RNAs, cell line	epidermoid carcinoma	A431.CKI_1.20.1mg.48hr
