BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	age	biomaterial_provider	breed	cell_line	cultivar	dev_stage	ecotype	isolate	replicate	sex	strain	tissue	treatment	group
SAMN11665350	SRR9080494	2019-12-31T08:52:43Z	2019-05-17T13:29:16Z	15704995	2355749250	15704995	150	909		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR9080494/SRR9080494.1	SRX5855710	K562_DMSO_rep1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP198775	PRJNA543382		543382	SRS4779585	simple	9606	Homo sapiens	K562_DMSO_rep1					female		no					TEXAS A&M UNIVERSITY	SRA887849		public	71F7DAAC9EC2189B6B576D394BF193E2	4E063D21F642ACA59F710DB5AD499A41	11665350	K562_DMSO_rep1	Texas A&M University	9606	Sample name: K562_DMSO_rep1	SRA: SRS4779585	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate1	female	not applicable	bone marrow	DMSO	K562.DMSO
SAMN11665351	SRR9080493	2019-12-31T08:52:43Z	2019-05-17T13:30:18Z	17657109	2648566350	17657109	150	1035		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR9080493/SRR9080493.1	SRX5855711	K562_DMSO_rep2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP198775	PRJNA543382		543382	SRS4779586	simple	9606	Homo sapiens	K562_DMSO_rep2					female		no					TEXAS A&M UNIVERSITY	SRA887849		public	CCE1655219DB493B25E4B3B21B8E71E5	1BE91196065F8E20E9D2A66A6DD6FC4D	11665351	K562_DMSO_rep2	Texas A&M University	9606	Sample name: K562_DMSO_rep2	SRA: SRS4779586	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate2	female	not applicable	bone marrow	DMSO	K562.DMSO
SAMN11665352	SRR9080492	2019-12-31T08:52:43Z	2019-05-17T13:35:38Z	33132343	4969851450	33132343	150	1998		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9080492/SRR9080492.1	SRX5855712	K562_I-BET151_rep1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP198775	PRJNA543382		543382	SRS4779587	simple	9606	Homo sapiens	K562_I-BET151_rep1					female		no					TEXAS A&M UNIVERSITY	SRA887849		public	829016D5996EA31CD55E22DD9C187C93	885A9427470346E9C978E09264900F1F	11665352	K562_I-BET151_rep1	Texas A&M University	9606	Sample name: K562_I-BET151_rep1	SRA: SRS4779587	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate1	female	not applicable	bone marrow	I-BET151	K562.IBET151
SAMN11665353	SRR9080491	2019-12-31T08:52:43Z	2019-05-17T13:30:35Z	22080703	3312105450	22080703	150	1305		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9080491/SRR9080491.1	SRX5855713	K562_I-BET151_rep2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP198775	PRJNA543382		543382	SRS4779588	simple	9606	Homo sapiens	K562_I-BET151_rep2					female		no					TEXAS A&M UNIVERSITY	SRA887849		public	52F07B2E7C69BF1AC8B05B2952BDBDBD	5C0B99150182FA4C4CD56C2CDC81D717	11665353	K562_I-BET151_rep2	Texas A&M University	9606	Sample name: K562_I-BET151_rep2	SRA: SRS4779588	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate2	female	not applicable	bone marrow	I-BET151	K562.IBET151
SAMN11665354	SRR9080490	2019-12-31T08:52:43Z	2019-05-17T13:35:41Z	34334517	5150177550	34334517	150	2028		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9080490/SRR9080490.1	SRX5855714	K562_THZ1_rep1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP198775	PRJNA543382		543382	SRS4779589	simple	9606	Homo sapiens	K562_THZ1_rep1					female		no					TEXAS A&M UNIVERSITY	SRA887849		public	86F0B77535A24850CCE64E0F76A83E8A	E440368D442110D0335B5F0F198F299B	11665354	K562_THZ1_rep1	Texas A&M University	9606	Sample name: K562_THZ1_rep1	SRA: SRS4779589	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate1	female	not applicable	bone marrow	THZ1	K562.THZ1
SAMN11665355	SRR9080489	2019-12-31T08:52:43Z	2019-05-17T13:32:30Z	24160262	3624039300	24160262	150	1410		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR9080489/SRR9080489.1	SRX5855715	K562_THZ1_rep2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP198775	PRJNA543382		543382	SRS4779590	simple	9606	Homo sapiens	K562_THZ1_rep2					female		no					TEXAS A&M UNIVERSITY	SRA887849		public	22B6BD7B1AB90B55DEC0449163A8E02D	1C2E91C1FB2FBA3BD0BBDC09C1BDBC66	11665355	K562_THZ1_rep2	Texas A&M University	9606	Sample name: K562_THZ1_rep2	SRA: SRS4779590	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate2	female	not applicable	bone marrow	THZ1	K562.THZ1
SAMN11665356	SRR9080488	2019-12-31T08:52:43Z	2019-05-17T13:37:29Z	36884441	5532666150	36884441	150	2177		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR9080488/SRR9080488.1	SRX5855716	K562_combination_rep1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP198775	PRJNA543382		543382	SRS4779591	simple	9606	Homo sapiens	K562_combination_rep1					female		no					TEXAS A&M UNIVERSITY	SRA887849		public	2DCA27CE1696489698B1F6DED8C047BF	CB7203214E1DE1360C28D14A900FA023	11665356	K562_combination_rep1	Texas A&M University	9606	Sample name: K562_combination_rep1	SRA: SRS4779591	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate1	female	not applicable	bone marrow	combination	K562.combination
SAMN11665357	SRR9080487	2019-12-31T08:52:43Z	2019-05-17T13:29:31Z	16574811	2486221650	16574811	150	990		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9080487/SRR9080487.1	SRX5855717	K562_combination_rep2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP198775	PRJNA543382		543382	SRS4779592	simple	9606	Homo sapiens	K562_combination_rep2					female		no					TEXAS A&M UNIVERSITY	SRA887849		public	B03E50A2408D27E99C32E1D23BDB99D5	1186301E8D8EE8D0F7A8321CB79BE2D4	11665357	K562_combination_rep2	Texas A&M University	9606	Sample name: K562_combination_rep2	SRA: SRS4779592	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate2	female	not applicable	bone marrow	combination	K562.combination
SAMN11665358	SRR9080496	2019-12-31T08:52:43Z	2019-05-17T13:29:15Z	15441839	2347159528	15441839	152	995		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9080496/SRR9080496.1	SRX5855708	Jurkat_DMSO_rep1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP198775	PRJNA543382		543382	SRS4779583	simple	9606	Homo sapiens	Jurkat_DMSO_rep1					male		no					TEXAS A&M UNIVERSITY	SRA887849		public	0DAA15153D5405C7CC3DF675AA0C32DB	A9D4ADF109F190509D7A6A72830BC78E	11665358	Jurkat_DMSO_rep1	Texas A&M University	9606	Sample name: Jurkat_DMSO_rep1	SRA: SRS4779583	14	ATCC	not applicable	Jurkat	not applicable	not applicable	not applicable	not applicable	replicate1	male	not applicable	peripheral blood	DMSO	Jurkat.DMSO
SAMN11665359	SRR9080495	2019-12-31T08:52:43Z	2019-05-17T13:29:25Z	15434694	2346073488	15434694	152	989		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR9080495/SRR9080495.1	SRX5855709	Jurkat_DMSO_rep2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP198775	PRJNA543382		543382	SRS4779584	simple	9606	Homo sapiens	Jurkat_DMSO_rep2					male		no					TEXAS A&M UNIVERSITY	SRA887849		public	4605A39FFB2F33E4AFB430485B063A50	8CA6D794F5DD22ED176658EEECAA8C66	11665359	Jurkat_DMSO_rep2	Texas A&M University	9606	Sample name: Jurkat_DMSO_rep2	SRA: SRS4779584	14	ATCC	not applicable	Jurkat	not applicable	not applicable	not applicable	not applicable	replicate2	male	not applicable	peripheral blood	DMSO	Jurkat.DMSO
