accession	uid	title	organization	taxonomy	sra	geo	age	biomaterial_provider	breed	cell_line	cultivar	dev_stage	ecotype	isolate	replicate	sex	strain	tissue	treatment
SAMN11665350	11665350	K562_DMSO_rep1	Texas A&M University	9606	Sample name: K562_DMSO_rep1	SRA: SRS4779585	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate1	female	not applicable	bone marrow	DMSO
SAMN11665351	11665351	K562_DMSO_rep2	Texas A&M University	9606	Sample name: K562_DMSO_rep2	SRA: SRS4779586	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate2	female	not applicable	bone marrow	DMSO
SAMN11665352	11665352	K562_I-BET151_rep1	Texas A&M University	9606	Sample name: K562_I-BET151_rep1	SRA: SRS4779587	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate1	female	not applicable	bone marrow	I-BET151
SAMN11665353	11665353	K562_I-BET151_rep2	Texas A&M University	9606	Sample name: K562_I-BET151_rep2	SRA: SRS4779588	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate2	female	not applicable	bone marrow	I-BET151
SAMN11665354	11665354	K562_THZ1_rep1	Texas A&M University	9606	Sample name: K562_THZ1_rep1	SRA: SRS4779589	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate1	female	not applicable	bone marrow	THZ1
SAMN11665355	11665355	K562_THZ1_rep2	Texas A&M University	9606	Sample name: K562_THZ1_rep2	SRA: SRS4779590	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate2	female	not applicable	bone marrow	THZ1
SAMN11665356	11665356	K562_combination_rep1	Texas A&M University	9606	Sample name: K562_combination_rep1	SRA: SRS4779591	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate1	female	not applicable	bone marrow	combination
SAMN11665357	11665357	K562_combination_rep2	Texas A&M University	9606	Sample name: K562_combination_rep2	SRA: SRS4779592	53	ATCC	not applicable	K562	not applicable	not applicable	not applicable	not applicable	replicate2	female	not applicable	bone marrow	combination
SAMN11665358	11665358	Jurkat_DMSO_rep1	Texas A&M University	9606	Sample name: Jurkat_DMSO_rep1	SRA: SRS4779583	14	ATCC	not applicable	Jurkat	not applicable	not applicable	not applicable	not applicable	replicate1	male	not applicable	peripheral blood	DMSO
SAMN11665359	11665359	Jurkat_DMSO_rep2	Texas A&M University	9606	Sample name: Jurkat_DMSO_rep2	SRA: SRS4779584	14	ATCC	not applicable	Jurkat	not applicable	not applicable	not applicable	not applicable	replicate2	male	not applicable	peripheral blood	DMSO
SAMN11665360	11665360	Jurkat_I-BET151_rep1	Texas A&M University	9606	Sample name: Jurkat_I-BET151_rep1	SRA: SRS4779599	14	ATCC	not applicable	Jurkat	not applicable	not applicable	not applicable	not applicable	replicate1	male	not applicable	peripheral blood	I-BET151
SAMN11665361	11665361	Jurkat_I-BET151_rep2	Texas A&M University	9606	Sample name: Jurkat_I-BET151_rep2	SRA: SRS4779600	14	ATCC	not applicable	Jurkat	not applicable	not applicable	not applicable	not applicable	replicate2	male	not applicable	peripheral blood	I-BET151
SAMN11665362	11665362	Jurkat_THZ1_rep1	Texas A&M University	9606	Sample name: Jurkat_THZ1_rep1	SRA: SRS4779597	14	ATCC	not applicable	Jurkat	not applicable	not applicable	not applicable	not applicable	replicate1	male	not applicable	peripheral blood	THZ1
SAMN11665363	11665363	Jurkat_THZ1_rep2	Texas A&M University	9606	Sample name: Jurkat_THZ1_rep2	SRA: SRS4779598	14	ATCC	not applicable	Jurkat	not applicable	not applicable	not applicable	not applicable	replicate2	male	not applicable	peripheral blood	THZ1
SAMN11665364	11665364	Jurkat_combination_rep1	Texas A&M University	9606	Sample name: Jurkat_combination_rep1	SRA: SRS4779579	14	ATCC	not applicable	Jurkat	not applicable	not applicable	not applicable	not applicable	replicate1	male	not applicable	peripheral blood	combination
SAMN11665365	11665365	Jurkat_combination_rep2	Texas A&M University	9606	Sample name: Jurkat_combination_rep2	SRA: SRS4779580	14	ATCC	not applicable	Jurkat	not applicable	not applicable	not applicable	not applicable	replicate2	male	not applicable	peripheral blood	combination
