BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	subclone	treatment	group
SAMN11671057	SRR9082130	2020-05-05T11:20:12Z	2019-05-17T13:47:58Z	12320537	603706313	0	49	207		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR009/082/SRR9082130/SRR9082130.sralite.1	SRX5857341		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781216	simple	9606	Homo sapiens	GSM3775862							no					GEO	SRA887899		public	0B354EBBDE0EF23EFCCDABC482B5B469	03347CEABA4642173398F04B53FBE288	11671057	HCT116 mut5 rep2	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781216	GSM3775862	HCT116	Human HCT116 cell line mutant	mut5		HCT116.tp53..mut5.untreated.24hr
SAMN11671058	SRR9082129	2020-05-05T11:20:12Z	2019-05-17T13:47:17Z	12318552	603609048	0	49	210		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/082/SRR9082129.sralite.1	SRX5857340		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781215	simple	9606	Homo sapiens	GSM3775861							no					GEO	SRA887899		public	0BC3842D4C9F8BE33D0CF2C4E2E063C4	FDE1959C8CFAE4385A41C3CE3BFE282C	11671058	HCT116 mut5 rep1	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781215	GSM3775861	HCT116	Human HCT116 cell line mutant	mut5		HCT116.tp53..mut5.untreated.24hr
SAMN11671059	SRR9082128	2020-05-05T11:20:12Z	2019-05-17T13:47:44Z	12315117	603440733	0	49	206		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/082/SRR9082128.sralite.1	SRX5857339		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781213	simple	9606	Homo sapiens	GSM3775860							no					GEO	SRA887899		public	6A052E7C8D660EEED93A926D8A52DB95	E6D8EE01007D2097C7717AD3EA825181	11671059	HCT116 mut4 rep3	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781213	GSM3775860	HCT116	Human HCT116 cell line mutant	mut4		HCT116.tp53..mut4.untreated.24hr
SAMN11671060	SRR9082127	2020-05-05T11:20:12Z	2019-05-17T13:47:41Z	12320344	603696856	0	49	206		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/082/SRR9082127.sralite.1	SRX5857338		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781212	simple	9606	Homo sapiens	GSM3775859							no					GEO	SRA887899		public	8B48A11DBD7C17F8ED02F955B8B0F6F4	2C4391736C6E985DBB48C384FFC3B0AA	11671060	HCT116 mut4 rep2	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781212	GSM3775859	HCT116	Human HCT116 cell line mutant	mut4		HCT116.tp53..mut4.untreated.24hr
SAMN11671061	SRR9082126	2020-05-05T11:20:12Z	2019-05-17T13:47:18Z	12311196	603248604	0	49	207		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR009/082/SRR9082126/SRR9082126.sralite.1	SRX5857337		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781211	simple	9606	Homo sapiens	GSM3775858							no					GEO	SRA887899		public	22348B89FB5B8108AE48623A516A50DA	FFA1B794B01D847007AFBE734D325731	11671061	HCT116 mut4 rep1	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781211	GSM3775858	HCT116	Human HCT116 cell line mutant	mut4		HCT116.tp53..mut4.untreated.24hr
SAMN11671062	SRR9082125	2020-05-05T11:20:12Z	2019-05-17T13:47:36Z	12312860	603330140	0	49	205		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/082/SRR9082125.sralite.1	SRX5857336		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781210	simple	9606	Homo sapiens	GSM3775857							no					GEO	SRA887899		public	12F13AFF66A05FFE5A523FEC81124781	E7A4B965E8E548DE47C59193E73DBCEE	11671062	HCT116 rep3	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781210	GSM3775857	HCT116	Human HCT116 cell line mutant			HCT116.tp53..non_mut.untreated.24hr
SAMN11671063	SRR9082124	2020-05-05T11:20:12Z	2019-05-17T13:47:30Z	12310274	603203426	0	49	207		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/082/SRR9082124.sralite.1	SRX5857335		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781209	simple	9606	Homo sapiens	GSM3775856							no					GEO	SRA887899		public	55AAC397D81A0672713CAAB9B96B536C	F29AE6A87760E4CC1FF69C6B7F55398D	11671063	HCT116 rep2	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781209	GSM3775856	HCT116	Human HCT116 cell line mutant			HCT116.tp53..non_mut.untreated.24hr
SAMN11671064	SRR9082123	2020-05-05T11:20:12Z	2019-05-17T13:47:51Z	12316629	603514821	0	49	206		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/082/SRR9082123.sralite.1	SRX5857334		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781214	simple	9606	Homo sapiens	GSM3775855							no					GEO	SRA887899		public	7CC16C2C9FD669118B26D1B52737767C	5AFBEA24F5604FA524C1E0F83BC742A0	11671064	HCT116 rep1	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781214	GSM3775855	HCT116	Human HCT116 cell line WT			HCT116.tp53..non_mut.untreated.24hr
SAMN11671065	SRR9082137	2020-05-05T11:20:12Z	2019-05-17T13:47:50Z	12309452	603163148	0	49	207		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/082/SRR9082137.sralite.1	SRX5857348		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781223	simple	9606	Homo sapiens	GSM3775869							no					GEO	SRA887899		public	4E92AEF87CA0F8378E7480584BC2401E	87EFC2598961B20EEF0F7B382AFD1E5C	11671065	HCT116 doxorubicin treated rep3	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781223	GSM3775869	HCT116	Human HCT116 cell line WT		1uM doxorubicin for 24 hours	HCT116.tp53..non_mut.1uM.doxorubicin.24hr
SAMN11671066	SRR9082132	2020-05-05T11:20:12Z	2019-05-17T13:48:03Z	12319809	603670641	0	49	205		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/082/SRR9082132.sralite.1	SRX5857343		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781218	simple	9606	Homo sapiens	GSM3775864							no					GEO	SRA887899		public	FF020DDBC404299C00C3E4E675C4A4B6	B038CCA287659C5DC37FF3ECEA8E3866	11671066	HCT116 mut9 rep1	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781218	GSM3775864	HCT116	Human HCT116 cell line mutant	mut9		HCT116.tp53..mut9.untreated.24hr
SAMN11671067	SRR9082131	2020-05-05T11:20:12Z	2019-05-17T13:47:33Z	11261101	551793949	0	49	267		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/082/SRR9082131.sralite.1	SRX5857342		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781217	simple	9606	Homo sapiens	GSM3775863							no					GEO	SRA887899		public	26915BCF327B51577BC021F1D60FE0F3	592082AE57BC846E0D33AFB74C8AB99B	11671067	HCT116 mut5 rep3	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781217	GSM3775863	HCT116	Human HCT116 cell line mutant	mut5		HCT116.tp53..mut5.untreated.24hr
SAMN11671068	SRR9082146	2020-05-05T11:20:13Z	2019-05-17T13:47:55Z	12308758	603129142	0	49	206		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/082/SRR9082146.sralite.1	SRX5857357		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781232	simple	9606	Homo sapiens	GSM3775878							no					GEO	SRA887899		public	7EC832A802FDBACB0C50A621CA659A81	A39DF6DB1EAEBACA5DDFBF68912B5B76	11671068	HCT116 mut9 doxorubicin treated rep3	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781232	GSM3775878	HCT116	Human HCT116 cell line mutant	mut9	1uM doxorubicin for 24 hours	HCT116.tp53..mut9.1uM.doxorubicin.24hr
SAMN11671069	SRR9082145	2020-05-05T11:20:13Z	2019-05-17T13:48:41Z	12314053	603388597	0	49	212		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/082/SRR9082145.sralite.1	SRX5857356		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781231	simple	9606	Homo sapiens	GSM3775877							no					GEO	SRA887899		public	8200E048B86E090A672B33566D385EC3	6B87BBE889D28A0863B5C8FF6FF80878	11671069	HCT116 mut9 doxorubicin treated rep2	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781231	GSM3775877	HCT116	Human HCT116 cell line mutant	mut9	1uM doxorubicin for 24 hours	HCT116.tp53..mut9.1uM.doxorubicin.24hr
