accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	subclone	treatment
SAMN11671057	11671057	HCT116 mut5 rep2	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781216	GSM3775862	HCT116	Human HCT116 cell line mutant	mut5	
SAMN11671058	11671058	HCT116 mut5 rep1	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781215	GSM3775861	HCT116	Human HCT116 cell line mutant	mut5	
SAMN11671059	11671059	HCT116 mut4 rep3	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781213	GSM3775860	HCT116	Human HCT116 cell line mutant	mut4	
SAMN11671060	11671060	HCT116 mut4 rep2	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781212	GSM3775859	HCT116	Human HCT116 cell line mutant	mut4	
SAMN11671061	11671061	HCT116 mut4 rep1	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781211	GSM3775858	HCT116	Human HCT116 cell line mutant	mut4	
SAMN11671062	11671062	HCT116 rep3	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781210	GSM3775857	HCT116	Human HCT116 cell line mutant		
SAMN11671063	11671063	HCT116 rep2	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781209	GSM3775856	HCT116	Human HCT116 cell line mutant		
SAMN11671064	11671064	HCT116 rep1	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781214	GSM3775855	HCT116	Human HCT116 cell line WT		
SAMN11671065	11671065	HCT116 doxorubicin treated rep3	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781223	GSM3775869	HCT116	Human HCT116 cell line WT		1uM doxorubicin for 24 hours
SAMN11671066	11671066	HCT116 mut9 rep1	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781218	GSM3775864	HCT116	Human HCT116 cell line mutant	mut9	
SAMN11671067	11671067	HCT116 mut5 rep3	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781217	GSM3775863	HCT116	Human HCT116 cell line mutant	mut5	
SAMN11671068	11671068	HCT116 mut9 doxorubicin treated rep3	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781232	GSM3775878	HCT116	Human HCT116 cell line mutant	mut9	1uM doxorubicin for 24 hours
SAMN11671069	11671069	HCT116 mut9 doxorubicin treated rep2	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781231	GSM3775877	HCT116	Human HCT116 cell line mutant	mut9	1uM doxorubicin for 24 hours
SAMN11671070	11671070	HCT116 mut9 doxorubicin treated rep1	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781230	GSM3775876	HCT116	Human HCT116 cell line mutant	mut9	1uM doxorubicin for 24 hours
SAMN11671071	11671071	HCT116 mut5 doxorubicin treated rep3	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781228	GSM3775875	HCT116	Human HCT116 cell line mutant	mut5	1uM doxorubicin for 24 hours
SAMN11671072	11671072	HCT116 mut5 doxorubicin treated rep2	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781229	GSM3775874	HCT116	Human HCT116 cell line mutant	mut5	1uM doxorubicin for 24 hours
