BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	genotype/variation	source_name	treatment	group
SAMN11810144	SRR9104863	2019-08-30T16:32:09Z	2019-05-22T04:26:12Z	4957519	371813925	0	75	98	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR9104863/SRR9104863.1	SRX5879814		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802577	simple	9606	Homo sapiens	GSM3790428							no					GEO	SRA889226		public	AD3CA90D510CDF2117CDFAF2143B9872	A76456CD67FD1B64AF02AF90211D0E99	11810144	K562 DMSO R175H_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802577	GSM3790428	K562	R175H	Acute myeloid leukemia cell line	DMSO	K562.R175H.DMSO
SAMN11810143	SRR9104864	2019-08-30T16:32:09Z	2019-05-22T04:40:38Z	17619223	1321441725	0	75	344	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9104864/SRR9104864.1	SRX5879815		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802578	simple	9606	Homo sapiens	GSM3790429							no					GEO	SRA889226		public	76809E465EA25AAEEB8F654A15F34AB1	D04EFC38EC215BD709E3729F9CA6C04F	11810143	K562 DMSO R175H_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802578	GSM3790429	K562	R175H	Acute myeloid leukemia cell line	DMSO	K562.R175H.DMSO
SAMN11810142	SRR9104865	2019-08-30T16:32:09Z	2019-05-22T04:36:28Z	5298567	397392525	0	75	111	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9104865/SRR9104865.1	SRX5879816		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802579	simple	9606	Homo sapiens	GSM3790430							no					GEO	SRA889226		public	B85D7BA13A32704D7D3F7391F3B1F008	6AC414D7B9DBDCE52215F6088FBC9C91	11810142	K562 DMSO R175H_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802579	GSM3790430	K562	R175H	Acute myeloid leukemia cell line	DMSO	K562.R175H.DMSO
SAMN11810141	SRR9104866	2019-08-30T16:32:09Z	2019-05-22T04:26:29Z	4263251	319743825	0	75	87	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9104866/SRR9104866.1	SRX5879817		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802580	simple	9606	Homo sapiens	GSM3790431							no					GEO	SRA889226		public	B15B73FB16AB29525EEC0D62F28CC46A	7E525EA50B350EEE4669BD35D090E155	11810141	K562 DMSO Y220C_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802580	GSM3790431	K562	Y220C	Acute myeloid leukemia cell line	DMSO	K562.Y220C.DMSO
SAMN11810140	SRR9104867	2019-08-30T16:32:09Z	2019-05-22T04:36:05Z	4984832	373862400	0	75	99	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9104867/SRR9104867.1	SRX5879818		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802581	simple	9606	Homo sapiens	GSM3790432							no					GEO	SRA889226		public	CE22D488519162F78AE3E7B6D250CDD4	A929C225B24D238DCD9E2C02ED5D2E68	11810140	K562 DMSO Y220C_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802581	GSM3790432	K562	Y220C	Acute myeloid leukemia cell line	DMSO	K562.Y220C.DMSO
SAMN11810139	SRR9104868	2019-08-30T16:32:09Z	2019-05-22T04:36:18Z	5535055	415129125	0	75	112	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9104868/SRR9104868.1	SRX5879819		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802582	simple	9606	Homo sapiens	GSM3790433							no					GEO	SRA889226		public	2F2248D96D68B68359181F96BF58643A	B19E48E5383FBB5BADED82569D76FC47	11810139	K562 DMSO Y220C_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802582	GSM3790433	K562	Y220C	Acute myeloid leukemia cell line	DMSO	K562.Y220C.DMSO
SAMN11810138	SRR9104869	2019-08-30T16:32:09Z	2019-05-22T04:26:09Z	4742203	355665225	0	75	95	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR9104869/SRR9104869.1	SRX5879820		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802583	simple	9606	Homo sapiens	GSM3790434							no					GEO	SRA889226		public	CA2530B2CAE86DBC22CC2EF19209E037	ED296218742F800988A5E9DB0991504E	11810138	K562 DMSO M237I_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802583	GSM3790434	K562	M237I	Acute myeloid leukemia cell line	DMSO	K562.M237I.DMSO
SAMN11810137	SRR9104870	2019-08-30T16:32:09Z	2019-05-22T04:36:31Z	4740911	355568325	0	75	95	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR9104870/SRR9104870.1	SRX5879821		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802584	simple	9606	Homo sapiens	GSM3790435							no					GEO	SRA889226		public	F67100150898545B4DE28DAD85A3E8A7	52EA53C83550B4FD7F3CEDA4B41D481D	11810137	K562 DMSO M237I_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802584	GSM3790435	K562	M237I	Acute myeloid leukemia cell line	DMSO	K562.M237I.DMSO
SAMN11810136	SRR9104871	2019-08-30T16:32:09Z	2019-05-22T04:37:40Z	10562611	792195825	0	75	208	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR9104871/SRR9104871.1	SRX5879822		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802585	simple	9606	Homo sapiens	GSM3790436							no					GEO	SRA889226		public	069809FB89D7ECF3EAEC285D3434C918	4AE88B14FE6AF89A25B199AAA1C7E41B	11810136	K562 DMSO M237I_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802585	GSM3790436	K562	M237I	Acute myeloid leukemia cell line	DMSO	K562.M237I.DMSO
SAMN11810135	SRR9104872	2019-08-30T16:32:09Z	2019-05-22T04:26:19Z	4394298	329572350	0	75	89	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR9104872/SRR9104872.1	SRX5879823		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802586	simple	9606	Homo sapiens	GSM3790437							no					GEO	SRA889226		public	98AE66E323285B446F40A2E5B32B578C	F405801711978ED648D497BF4318AE62	11810135	K562 DMSO R248Q_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802586	GSM3790437	K562	R248Q	Acute myeloid leukemia cell line	DMSO	K562.R248Q.DMSO
