accession	uid	title	organization	taxonomy	sra	geo	cell line	genotype/variation	source_name	treatment
SAMN11810122	11810122	MOLM13 Daunorubicin R248Q_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802660	GSM3790511	MOLM13	R248Q	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810123	11810123	K562 DMSO WT_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802598	GSM3790449	K562	WT	Acute myeloid leukemia cell line	DMSO
SAMN11810124	11810124	K562 DMSO KO_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802597	GSM3790448	K562	KO	Acute myeloid leukemia cell line	DMSO
SAMN11810125	11810125	K562 DMSO KO_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802596	GSM3790447	K562	KO	Acute myeloid leukemia cell line	DMSO
SAMN11810126	11810126	K562 DMSO KO_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802595	GSM3790446	K562	KO	Acute myeloid leukemia cell line	DMSO
SAMN11810127	11810127	K562 DMSO R282W_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802594	GSM3790445	K562	R282W	Acute myeloid leukemia cell line	DMSO
SAMN11810128	11810128	K562 DMSO R282W_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802593	GSM3790444	K562	R282W	Acute myeloid leukemia cell line	DMSO
SAMN11810129	11810129	K562 DMSO R282W_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802592	GSM3790443	K562	R282W	Acute myeloid leukemia cell line	DMSO
SAMN11810130	11810130	K562 DMSO R273H_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802591	GSM3790442	K562	R273H	Acute myeloid leukemia cell line	DMSO
SAMN11810131	11810131	K562 DMSO R273H_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802590	GSM3790441	K562	R273H	Acute myeloid leukemia cell line	DMSO
SAMN11810132	11810132	K562 DMSO R273H_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802589	GSM3790440	K562	R273H	Acute myeloid leukemia cell line	DMSO
