BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	replicate	source_name	treatment
SAMN11895328	SRR9162831	2020-04-10T03:33:52Z	2019-05-30T15:58:52Z	25163161	1887237075	0	75	736		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR009/162/SRR9162831/SRR9162831.sralite.1	SRX5935792		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199906	PRJNA545509	3	545509	SRS4848928	simple	9606	Homo sapiens	GSM3833398							no					GEO	SRA892195		public	11CD6CC4CE602B314B97E200C4B37EBC	4C9D30752CE4DD7D3A86D5D9BF2A22FF	11895328	JP_Pal_r2	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS4848928	GSM3833398	SUM159	2	breast cancer cells SUM159	palbociclib
SAMN11895329	SRR9162830	2020-04-10T03:33:52Z	2019-05-30T16:02:13Z	26511872	1988390400	0	75	764		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/162/SRR9162830.sralite.1	SRX5935791		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199906	PRJNA545509	3	545509	SRS4848926	simple	9606	Homo sapiens	GSM3833397							no					GEO	SRA892195		public	6ACF99531CA8354C4B6B762CCB5636A9	865FE636A31327845D8856E0904E046E	11895329	JP_Pal_r1	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS4848926	GSM3833397	SUM159	1	breast cancer cells SUM159	palbociclib
SAMN11895330	SRR9162829	2020-04-10T03:33:52Z	2019-05-30T15:59:37Z	24773047	1857978525	0	75	710		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/162/SRR9162829.sralite.1	SRX5935790		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199906	PRJNA545509	3	545509	SRS4848924	simple	9606	Homo sapiens	GSM3833396							no					GEO	SRA892195		public	E32BDC718B1AB6DA4CC9B29883A285AE	AD91076448D64D44C63C4757240F91D2	11895330	JP_JQ1_r2	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS4848924	GSM3833396	SUM159	2	breast cancer cells SUM159	JQ1
SAMN11895331	SRR9162828	2020-04-10T03:33:52Z	2019-05-30T16:10:47Z	25792018	1934401350	0	75	741		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/162/SRR9162828.sralite.1	SRX5935789		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199906	PRJNA545509	3	545509	SRS4848925	simple	9606	Homo sapiens	GSM3833395							no					GEO	SRA892195		public	AA95B0E86CB8036CF984A4AC218A1650	4EF2973E50E75EB35A7F3064E7777509	11895331	JP_JQ1_r1	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS4848925	GSM3833395	SUM159	1	breast cancer cells SUM159	JQ1
SAMN11895332	SRR9162827	2020-04-10T03:33:52Z	2019-05-30T15:59:00Z	27496023	2062201725	0	75	791		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/162/SRR9162827.sralite.1	SRX5935788		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199906	PRJNA545509	3	545509	SRS4848923	simple	9606	Homo sapiens	GSM3833394							no					GEO	SRA892195		public	F9BA24543946049707624E794DDA100B	A37758F9A6DCB0A3045729499999B897	11895332	JP_DMSO_r2	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS4848923	GSM3833394	SUM159	2	breast cancer cells SUM159	DMSO
SAMN11895333	SRR9162826	2020-04-10T03:33:52Z	2019-05-30T15:57:51Z	22115382	1658653650	0	75	644		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/162/SRR9162826.sralite.1	SRX5935787		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199906	PRJNA545509	3	545509	SRS4848922	simple	9606	Homo sapiens	GSM3833393							no					GEO	SRA892195		public	E86C72E0A1B75F707D1D81540B01FCDA	45102F43BA148BAF5933F71ABE068785	11895333	JP_DMSO_r1	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS4848922	GSM3833393	SUM159	1	breast cancer cells SUM159	DMSO
SAMN11895334	SRR9162825	2020-04-10T03:33:52Z	2019-05-30T15:59:57Z	26827334	2012050050	0	75	769		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/162/SRR9162825.sralite.1	SRX5935786		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199906	PRJNA545509	3	545509	SRS4848921	simple	9606	Homo sapiens	GSM3833392							no					GEO	SRA892195		public	F8B0EC95F966013A490E994AB4A39EA3	4E12396903C1CE22953E2271342A500B	11895334	Pre_r2	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS4848921	GSM3833392	SUM159	2	breast cancer cells SUM159	pre-treatment
SAMN11895335	SRR9162824	2020-04-10T03:33:51Z	2019-05-30T16:00:27Z	26836613	2012745975	0	75	771		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/162/SRR9162824.sralite.1	SRX5935785		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199906	PRJNA545509	3	545509	SRS4848920	simple	9606	Homo sapiens	GSM3833391							no					GEO	SRA892195		public	DA837077685A8943728FCD6909F22D7E	04F150F90C1F67A3F37C6AA6D48626A5	11895335	Pre_r1	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS4848920	GSM3833391	SUM159	1	breast cancer cells SUM159	pre-treatment
SAMN11895365	SRR9162841	2020-04-10T03:33:52Z	2019-05-30T15:59:22Z	21390272	1604270400	0	75	623		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/162/SRR9162841.sralite.1	SRX5935802		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199906	PRJNA545509	3	545509	SRS4848937	simple	9606	Homo sapiens	GSM3833408							no					GEO	SRA892195		public	5106F42984B791B11B23A1CD25463A05	F793387A8E9DAB1E94E74037D77E9B5A	11895365	JT_JQ1Tax_r2	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS4848937	GSM3833408	SUM159	2	breast cancer cells SUM159	JQ1+paclitaxel
SAMN11895366	SRR9162835	2020-04-10T03:33:52Z	2019-05-30T15:59:41Z	27042315	2028173625	0	75	782		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/162/SRR9162835.sralite.1	SRX5935796		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199906	PRJNA545509	3	545509	SRS4848931	simple	9606	Homo sapiens	GSM3833402							no					GEO	SRA892195		public	132BA5E3165A04F110904478379BFDD5	5E510623FC6DE1E7B4C8BECD227A6DC9	11895366	JT_DMSO_r2	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS4848931	GSM3833402	SUM159	2	breast cancer cells SUM159	DMSO
