BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	passage	source_name	treatment	treatment time	group
SAMN12237965	SRR9660830	2019-12-30T16:23:26Z	2019-07-09T15:04:23Z	6665938	502966697	0	75	202		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/660/SRR9660830.sralite.1	SRX6421780		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078653	simple	9606	Homo sapiens	GSM3934406							no					GEO	SRA919019		public	020336CD4B1A2FC83ACB475BEFF6A73A	BF5742390234171C37494CB26199B587	12237965	Gbm2_Mebendazole_0.5uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078653	GSM3934406	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Mebendazole_0.5uM	3 days	GBM2.Mebendazole_0.5uM.72hrs
SAMN12237965	SRR9660831	2019-12-30T16:23:26Z	2019-07-09T15:04:31Z	6604425	498304436	0	75	200		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/660/SRR9660831.sralite.1	SRX6421780		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078653	simple	9606	Homo sapiens	GSM3934406							no					GEO	SRA919019		public	4995673CF7AB9C15565185F580008C4B	7570586A8106F7C92C20E1D9081C33D3	12237965	Gbm2_Mebendazole_0.5uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078653	GSM3934406	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Mebendazole_0.5uM	3 days	GBM2.Mebendazole_0.5uM.72hrs
SAMN12237965	SRR9660832	2019-12-30T16:23:26Z	2019-07-09T15:04:19Z	6761658	510148086	0	75	207		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/660/SRR9660832.sralite.1	SRX6421780		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078653	simple	9606	Homo sapiens	GSM3934406							no					GEO	SRA919019		public	2D1B19CC9004DFC200E86E3190FF03C2	CE1A04CB20D123294797A446A9E9812C	12237965	Gbm2_Mebendazole_0.5uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078653	GSM3934406	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Mebendazole_0.5uM	3 days	GBM2.Mebendazole_0.5uM.72hrs
SAMN12237965	SRR9660833	2019-12-30T16:23:26Z	2019-07-09T15:04:36Z	6727463	507565739	0	75	205		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/660/SRR9660833.sralite.1	SRX6421780		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078653	simple	9606	Homo sapiens	GSM3934406							no					GEO	SRA919019		public	DB1F8778B2D7F23C239BEB79ACFA56D6	836339A78E4C8EAEFACE3AE9226E8447	12237965	Gbm2_Mebendazole_0.5uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078653	GSM3934406	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Mebendazole_0.5uM	3 days	GBM2.Mebendazole_0.5uM.72hrs
SAMN12237972	SRR9660826	2019-12-30T16:23:26Z	2019-07-09T15:04:34Z	6522438	492141450	0	75	197		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/660/SRR9660826.sralite.1	SRX6421779		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078652	simple	9606	Homo sapiens	GSM3934405							no					GEO	SRA919019		public	16D5EF235ED62FBCAE1DB7B430F113BA	BE66E9AEB3044FF28E0C331D0AFA5F62	12237972	Gbm2_Fenbendazole_0.5uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078652	GSM3934405	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Fenbendazole_0.5uM	3 days	GBM2.Fenbendazole_0.5uM.72hrs
SAMN12237972	SRR9660827	2019-12-30T16:23:26Z	2019-07-09T15:04:33Z	6465649	487831226	0	75	195		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/660/SRR9660827.sralite.1	SRX6421779		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078652	simple	9606	Homo sapiens	GSM3934405							no					GEO	SRA919019		public	E0C3D5056F5516357AB9A48DC1D0C877	8D253FD649C9A24F51D7BC5A977E2C4E	12237972	Gbm2_Fenbendazole_0.5uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078652	GSM3934405	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Fenbendazole_0.5uM	3 days	GBM2.Fenbendazole_0.5uM.72hrs
SAMN12237972	SRR9660828	2019-12-30T16:23:26Z	2019-07-09T15:04:33Z	6605419	498361504	0	75	201		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/660/SRR9660828.sralite.1	SRX6421779		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078652	simple	9606	Homo sapiens	GSM3934405							no					GEO	SRA919019		public	AE72B31CC2F34EB3FEFF0C99E92E4242	869843820C76C1A3D411F8AE1C9823C1	12237972	Gbm2_Fenbendazole_0.5uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078652	GSM3934405	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Fenbendazole_0.5uM	3 days	GBM2.Fenbendazole_0.5uM.72hrs
SAMN12237972	SRR9660829	2019-12-30T16:23:26Z	2019-07-09T15:04:35Z	6582207	496608751	0	75	199		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/660/SRR9660829.sralite.1	SRX6421779		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078652	simple	9606	Homo sapiens	GSM3934405							no					GEO	SRA919019		public	A989EF87A1D00B2D3A58E93E3DFEC2F0	DD79B2D2A342D957080483F88A933A43	12237972	Gbm2_Fenbendazole_0.5uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078652	GSM3934405	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Fenbendazole_0.5uM	3 days	GBM2.Fenbendazole_0.5uM.72hrs
SAMN12237973	SRR9660822	2019-12-30T16:23:26Z	2019-07-09T15:04:41Z	7069839	533855167	0	75	216		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/660/SRR9660822.sralite.1	SRX6421778		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078651	simple	9606	Homo sapiens	GSM3934404							no					GEO	SRA919019		public	042F86040AEDB4FB99D14341FB9E5A13	6567D6FCA89F9816361DA0651D9BFC17	12237973	Gbm2_Bmp4_3	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078651	GSM3934404	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Bmp4 (100ng/ml)	3 days	GBM2.Bmp4..100ng.ml..72hrs
SAMN12237973	SRR9660823	2019-12-30T16:23:26Z	2019-07-09T15:04:36Z	7022439	530234628	0	75	214		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/660/SRR9660823.sralite.1	SRX6421778		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078651	simple	9606	Homo sapiens	GSM3934404							no					GEO	SRA919019		public	6188B75B7783C17D91A2D1851995B45D	C6E1B6FA28D4D4EDCD2096371028ABC0	12237973	Gbm2_Bmp4_3	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078651	GSM3934404	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Bmp4 (100ng/ml)	3 days	GBM2.Bmp4..100ng.ml..72hrs
