accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	passage	source_name	treatment	treatment time
SAMN12237965	12237965	Gbm2_Mebendazole_0.5uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078653	GSM3934406	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Mebendazole_0.5uM	3 days
SAMN12237972	12237972	Gbm2_Fenbendazole_0.5uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078652	GSM3934405	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Fenbendazole_0.5uM	3 days
SAMN12237973	12237973	Gbm2_Bmp4_3	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078651	GSM3934404	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Bmp4 (100ng/ml)	3 days
SAMN12237975	12237975	Gbm2_Bmp4_2	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078650	GSM3934403	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Bmp4 (100ng/ml)	3 days
SAMN12237976	12237976	Gbm2_Bmp4_1	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078649	GSM3934402	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Bmp4 (100ng/ml)	3 days
SAMN12237993	12237993	Gbm2_Valproic_Acid_15uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078663	GSM3934416	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Valproic_Acid_15uM	1 days
SAMN12237994	12237994	Gbm2_TSA_1uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078662	GSM3934415	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	TSA_1uM	1 days
SAMN12237995	12237995	Gbm2_SAHA_3uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078661	GSM3934414	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	SAHA_3uM	1 days
SAMN12237996	12237996	Gbm2_DMSO_0.1%	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078660	GSM3934413	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	DMSO_0.1%	1 days
SAMN12237997	12237997	Gbm2_Digoxin_0.3uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078659	GSM3934412	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Digoxin_0.3uM	3 days
SAMN12237999	12237999	Gbm2_Digitoxigenin_0.3uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078658	GSM3934411	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Digitoxigenin_0.3uM	3 days
SAMN12238000	12238000	Gbm2_Etoposide_0.3uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078657	GSM3934410	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Etoposide_0.3uM	3 days
SAMN12238001	12238001	Gbm2_Irinotecan_0.5uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078656	GSM3934409	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Irinotecan_0.5uM	3 days
SAMN12238002	12238002	Gbm2_Trifluridine_3uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078655	GSM3934408	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Trifluridine_3uM	3 days
SAMN12238003	12238003	Gbm2_Cytarabine_0.3uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078654	GSM3934407	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Cytarabine_0.3uM	3 days
SAMN12238005	12238005	Gbm2_Serum_2	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078647	GSM3934400	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Serum (FBS 10%)	3 days
SAMN12238006	12238006	Gbm2_Serum_1	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078646	GSM3934399	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Serum (FBS 10%)	3 days
SAMN12238012	12238012	Gbm2_Control_3	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078645	GSM3934398	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Untreated Control	3 days
SAMN12238021	12238021	Gbm2_Control_2	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078644	GSM3934397	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Untreated Control	3 days
SAMN12238022	12238022	Gbm2_Control_1	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078643	GSM3934396	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Untreated Control	3 days
SAMN12238055	12238055	Gbm2_Serum_3	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078648	GSM3934401	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Serum (FBS 10%)	3 days
