accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment	treatment time
SAMN12280528	12280528	SKMel19_6h_N2	Michigan State University	9606	SRS5102900	GSM3942144	melanoma cell line SKMel19	Melanoma Cell Line	CCG-222740	6 hr
SAMN12280529	12280529	SKMel19_6h_N1	Michigan State University	9606	SRS5102899	GSM3942143	melanoma cell line SKMel19	Melanoma Cell Line	CCG-222740	6 hr
SAMN12280530	12280530	SKMel19_2h_N2	Michigan State University	9606	SRS5102898	GSM3942142	melanoma cell line SKMel19	Melanoma Cell Line	CCG-222740	2 hr
SAMN12280531	12280531	SKMel19_2h_N1	Michigan State University	9606	SRS5102897	GSM3942141	melanoma cell line SKMel19	Melanoma Cell Line	CCG-222740	2 hr
SAMN12280532	12280532	SKMel19_0h_N2	Michigan State University	9606	SRS5102896	GSM3942140	melanoma cell line SKMel19	Melanoma Cell Line	control	0 hr
SAMN12280533	12280533	SKMel19_0h_N1	Michigan State University	9606	SRS5102895	GSM3942139	melanoma cell line SKMel19	Melanoma Cell Line	control	0 hr
SAMN12280534	12280534	SKMel2_24h_N2	Michigan State University	9606	SRS5102894	GSM3942138	melanoma cell line SKMel2	Melanoma Cell Line	CCG-222740	24 hr
SAMN12280535	12280535	SKMel2_24h_N1	Michigan State University	9606	SRS5102893	GSM3942137	melanoma cell line SKMel2	Melanoma Cell Line	CCG-222740	24 hr
SAMN12280536	12280536	SKMel2_6h_N2	Michigan State University	9606	SRS5102892	GSM3942136	melanoma cell line SKMel2	Melanoma Cell Line	CCG-222740	6 hr
SAMN12280537	12280537	SKMel2_6h_N1	Michigan State University	9606	SRS5102891	GSM3942135	melanoma cell line SKMel2	Melanoma Cell Line	CCG-222740	6 hr
SAMN12280538	12280538	SKMel2_2h_N2	Michigan State University	9606	SRS5102890	GSM3942134	melanoma cell line SKMel2	Melanoma Cell Line	CCG-222740	2 hr
SAMN12280539	12280539	SKMel2_2h_N1	Michigan State University	9606	SRS5102889	GSM3942133	melanoma cell line SKMel2	Melanoma Cell Line	CCG-222740	2 hr
SAMN12280540	12280540	SKMel2_0h_N2	Michigan State University	9606	SRS5102888	GSM3942132	melanoma cell line SKMel2	Melanoma Cell Line	control	0 hr
SAMN12280541	12280541	SKMel2_0h_N1	Michigan State University	9606	SRS5102887	GSM3942131	melanoma cell line SKMel2	Melanoma Cell Line	control	0 hr
SAMN12280542	12280542	WM3451_2h_N1	Michigan State University	9606	SRS5102913	GSM3942157	melanoma cell line WM3451	Melanoma Cell Line	CCG-222740	2 hr
SAMN12280543	12280543	WM3451_24h_N2	Michigan State University	9606	SRS5102918	GSM3942162	melanoma cell line WM3451	Melanoma Cell Line	CCG-222740	24 hr
SAMN12280544	12280544	WM3451_24h_N1	Michigan State University	9606	SRS5102917	GSM3942161	melanoma cell line WM3451	Melanoma Cell Line	CCG-222740	24 hr
SAMN12280545	12280545	WM3451_0h_N2	Michigan State University	9606	SRS5102912	GSM3942156	melanoma cell line WM3451	Melanoma Cell Line	control	0 hr
SAMN12280546	12280546	WM3451_0h_N1	Michigan State University	9606	SRS5102911	GSM3942155	melanoma cell line WM3451	Melanoma Cell Line	control	0 hr
SAMN12280547	12280547	SKMel147_24h_N2	Michigan State University	9606	SRS5102910	GSM3942154	melanoma cell line SKMel147	Melanoma Cell Line	CCG-222740	24 hr
SAMN12280548	12280548	SKMel147_24h_N1	Michigan State University	9606	SRS5102909	GSM3942153	melanoma cell line SKMel147	Melanoma Cell Line	CCG-222740	24 hr
SAMN12280549	12280549	SKMel147_6h_N2	Michigan State University	9606	SRS5102908	GSM3942152	melanoma cell line SKMel147	Melanoma Cell Line	CCG-222740	6 hr
SAMN12280550	12280550	SKMel147_6h_N1	Michigan State University	9606	SRS5102907	GSM3942151	melanoma cell line SKMel147	Melanoma Cell Line	CCG-222740	6 hr
SAMN12280551	12280551	SKMel147_2h_N2	Michigan State University	9606	SRS5102906	GSM3942150	melanoma cell line SKMel147	Melanoma Cell Line	CCG-222740	2 hr
SAMN12280552	12280552	WM3623_24h_N2	Michigan State University	9606	SRS5102926	GSM3942170	melanoma cell line WM3623	Melanoma Cell Line	CCG-222740	24 hr
SAMN12280553	12280553	WM3623_24h_N1	Michigan State University	9606	SRS5102925	GSM3942169	melanoma cell line WM3623	Melanoma Cell Line	CCG-222740	24 hr
SAMN12280554	12280554	WM3623_6h_N2	Michigan State University	9606	SRS5102924	GSM3942168	melanoma cell line WM3623	Melanoma Cell Line	CCG-222740	6 hr
SAMN12280555	12280555	WM3623_6h_N1	Michigan State University	9606	SRS5102923	GSM3942167	melanoma cell line WM3623	Melanoma Cell Line	CCG-222740	6 hr
SAMN12280556	12280556	WM3623_2h_N2	Michigan State University	9606	SRS5102922	GSM3942166	melanoma cell line WM3623	Melanoma Cell Line	CCG-222740	2 hr
SAMN12280557	12280557	WM3623_2h_N1	Michigan State University	9606	SRS5102921	GSM3942165	melanoma cell line WM3623	Melanoma Cell Line	CCG-222740	2 hr
SAMN12280558	12280558	WM3623_0h_N2	Michigan State University	9606	SRS5102920	GSM3942164	melanoma cell line WM3623	Melanoma Cell Line	control	0 hr
SAMN12280559	12280559	WM3623_0h_N1	Michigan State University	9606	SRS5102919	GSM3942163	melanoma cell line WM3623	Melanoma Cell Line	control	0 hr
SAMN12280560	12280560	WM3451_6h_N2	Michigan State University	9606	SRS5102916	GSM3942160	melanoma cell line WM3451	Melanoma Cell Line	CCG-222740	6 hr
SAMN12280561	12280561	WM3451_6h_N1	Michigan State University	9606	SRS5102915	GSM3942159	melanoma cell line WM3451	Melanoma Cell Line	CCG-222740	6 hr
SAMN12280562	12280562	WM3451_2h_N2	Michigan State University	9606	SRS5102914	GSM3942158	melanoma cell line WM3451	Melanoma Cell Line	CCG-222740	2 hr
SAMN12280563	12280563	SKMel147_2h_N1	Michigan State University	9606	SRS5102905	GSM3942149	melanoma cell line SKMel147	Melanoma Cell Line	CCG-222740	2 hr
SAMN12280564	12280564	SKMel147_0h_N2	Michigan State University	9606	SRS5102904	GSM3942148	melanoma cell line SKMel147	Melanoma Cell Line	control	0 hr
SAMN12280565	12280565	SKMel147_0h_N1	Michigan State University	9606	SRS5102903	GSM3942147	melanoma cell line SKMel147	Melanoma Cell Line	control	0 hr
SAMN12280566	12280566	SKMel19_24h_N2	Michigan State University	9606	SRS5102902	GSM3942146	melanoma cell line SKMel19	Melanoma Cell Line	CCG-222740	24 hr
SAMN12280567	12280567	SKMel19_24h_N1	Michigan State University	9606	SRS5102901	GSM3942145	melanoma cell line SKMel19	Melanoma Cell Line	CCG-222740	24 hr
