accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment
SAMN12741537	12741537	IGR37_DMSO_t48h_R1	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382290	GSM4078127	IGR37	melanoma cell line	IGR37_DMSO_t48h	DMSO
SAMN12741538	12741538	501mel_siSCD_2_t48h_R3	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382289	GSM4078126	501mel	melanoma cell line	501mel_siSCD_2_t48h	20nM siSCD#2 48h
SAMN12741549	12741549	IGR37_siSCD_2_t48h_R2	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382307	GSM4078144	IGR37	melanoma cell line	IGR37_siSCD_2_t48h	20nM siSCD#2 48h
SAMN12741550	12741550	IGR37_siSCD_2_t48h_R13	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382306	GSM4078143	IGR37	melanoma cell line	IGR37_siSCD_2_t48h	20nM siSCD#2 48h
SAMN12741551	12741551	IGR37_siSCD_2_t48h_R1	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382305	GSM4078142	IGR37	melanoma cell line	IGR37_siSCD_2_t48h	20nM siSCD#2 48h
SAMN12741553	12741553	IGR37_siSCD_1_t48h_R3	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382304	GSM4078141	IGR37	melanoma cell line	IGR37_siSCD_1_t48h	20nM siSCD#1 48h
SAMN12741554	12741554	IGR37_siSCD_1_t48h_R2	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382303	GSM4078140	IGR37	melanoma cell line	IGR37_siSCD_1_t48h	20nM siSCD#1 48h
SAMN12741555	12741555	IGR37_siSCD_1_t48h_R1	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382302	GSM4078139	IGR37	melanoma cell line	IGR37_siSCD_1_t48h	20nM siSCD#1 48h
SAMN12741556	12741556	IGR37_siCTR_t48h_R3	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382301	GSM4078138	IGR37	melanoma cell line	IGR37_siCTR_t48h	20nM siCTRL 48h
SAMN12741557	12741557	IGR37_siCTR_t48h_R2	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382300	GSM4078137	IGR37	melanoma cell line	IGR37_siCTR_t48h	20nM siCTRL 48h
