accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	egfr status	source_name	treatment
SAMN13291207	13291207	L0615_UNT_rep2_RNAseq	Nencki Institute	9606	SRS5663466	GSM4161783	L0615	GBM-derived stem cells	high	L0615_UNT_RNAseq	Untreated
SAMN13291208	13291208	L0615_BMP4TMZ_RNAseq	Nencki Institute	9606	SRS5663470	GSM4161787	L0615	GBM-derived stem cells	high	L0615_BMP4TMZ_RNAseq	BMP4 and Temozolomide
SAMN13291209	13291209	L0615_BMP4_rep2_RNAseq	Nencki Institute	9606	SRS5663469	GSM4161786	L0615	GBM-derived stem cells	high	L0615_BMP4_RNAseq	BMP4
SAMN13291210	13291210	L0615_BMP4_rep1_RNAseq	Nencki Institute	9606	SRS5663468	GSM4161785	L0615	GBM-derived stem cells	high	L0615_BMP4_RNAseq	BMP4
SAMN13291211	13291211	L0615_TMZ_RNAseq	Nencki Institute	9606	SRS5663467	GSM4161784	L0615	GBM-derived stem cells	high	L0615_TMZ_RNAseq	Temozlomide
SAMN13291212	13291212	L0615_UNT_rep1_RNAseq	Nencki Institute	9606	SRS5663465	GSM4161782	L0615	GBM-derived stem cells	high	L0615_UNT_RNAseq	Untreated
SAMN13291213	13291213	L0125_BMP4TMZ_RNAseq	Nencki Institute	9606	SRS5663464	GSM4161781	L0125	GBM-derived stem cells	low	L0125_BMP4TMZ_RNAseq	BMP4 and Temozolomide
SAMN13291214	13291214	L0125_BMP4_rep2_RNAseq	Nencki Institute	9606	SRS5663463	GSM4161780	L0125	GBM-derived stem cells	low	L0125_BMP4_RNAseq	BMP4
SAMN13291215	13291215	L0125_BMP4_rep1_RNAseq	Nencki Institute	9606	SRS5663462	GSM4161779	L0125	GBM-derived stem cells	low	L0125_BMP4_RNAseq	BMP4
SAMN13291275	13291275	L0125_TMZ_RNAseq	Nencki Institute	9606	SRS5663461	GSM4161778	L0125	GBM-derived stem cells	low	L0125_TMZ_RNAseq	Temozlomide
SAMN13291276	13291276	L0125_UNT_rep2_RNAseq	Nencki Institute	9606	SRS5663460	GSM4161777	L0125	GBM-derived stem cells	low	L0125_UNT_RNAseq	Untreated
SAMN13291277	13291277	L0125_UNT_rep1_RNAseq	Nencki Institute	9606	SRS5663459	GSM4161776	L0125	GBM-derived stem cells	low	L0125_UNT_RNAseq	Untreated
