BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	egfr status	source_name	treatment
SAMN13291207	SRR10461724	2021-05-05T17:46:20Z	2019-11-16T01:41:17Z	15958978	2408744646	15958978	150	1060		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10461/SRR10461724/SRR10461724.lite.1	SRX7156220		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP230182	PRJNA589752	3	589752	SRS5663466	simple	9606	Homo sapiens	GSM4161783							no					GEO	SRA997007		public	43BD1CD151D57F1979979FC950D35083	18EC9E2017E2C10782E3DFAFDC064B34	13291207	L0615_UNT_rep2_RNAseq	Nencki Institute	9606	SRS5663466	GSM4161783	L0615	GBM-derived stem cells	high	L0615_UNT_RNAseq	Untreated
SAMN13291208	SRR10461728	2021-05-05T17:46:20Z	2019-11-16T01:46:52Z	28733717	4332227166	28733717	150	1749		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10461/SRR10461728/SRR10461728.lite.1	SRX7156224		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP230182	PRJNA589752	3	589752	SRS5663470	simple	9606	Homo sapiens	GSM4161787							no					GEO	SRA997007		public	E9C26DE6C3DFE679AF327ADAF1C64D6D	BA6DD01C3C58197E777BE2358F33C7FD	13291208	L0615_BMP4TMZ_RNAseq	Nencki Institute	9606	SRS5663470	GSM4161787	L0615	GBM-derived stem cells	high	L0615_BMP4TMZ_RNAseq	BMP4 and Temozolomide
SAMN13291209	SRR10461727	2021-05-05T17:46:20Z	2019-11-16T01:40:58Z	14807761	2234885336	14807761	150	967		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10461/SRR10461727/SRR10461727.lite.1	SRX7156223		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP230182	PRJNA589752	3	589752	SRS5663469	simple	9606	Homo sapiens	GSM4161786							no					GEO	SRA997007		public	734DDD408E0C78CE9E9ABB6E304918B3	C933935878DB885BF6D2F6CC4B29ED39	13291209	L0615_BMP4_rep2_RNAseq	Nencki Institute	9606	SRS5663469	GSM4161786	L0615	GBM-derived stem cells	high	L0615_BMP4_RNAseq	BMP4
SAMN13291210	SRR10461726	2021-05-05T17:46:20Z	2019-11-16T01:49:09Z	30369882	4581557624	30369882	150	1840		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10461/SRR10461726/SRR10461726.lite.1	SRX7156222		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP230182	PRJNA589752	3	589752	SRS5663468	simple	9606	Homo sapiens	GSM4161785							no					GEO	SRA997007		public	47F8CCE66820960AF7DD4E2E8C8FC4C2	CE2CF21B3762E938E0B71B5D586A4C34	13291210	L0615_BMP4_rep1_RNAseq	Nencki Institute	9606	SRS5663468	GSM4161785	L0615	GBM-derived stem cells	high	L0615_BMP4_RNAseq	BMP4
SAMN13291211	SRR10461725	2021-05-05T17:46:20Z	2019-11-16T01:47:31Z	28563412	4309223491	28563412	150	1719		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10461/SRR10461725/SRR10461725.lite.1	SRX7156221		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP230182	PRJNA589752	3	589752	SRS5663467	simple	9606	Homo sapiens	GSM4161784							no					GEO	SRA997007		public	7D01DACC7D81478EEF3D00E5497440C5	E70FEF3066631055D4CC0D7A6E5FA2FC	13291211	L0615_TMZ_RNAseq	Nencki Institute	9606	SRS5663467	GSM4161784	L0615	GBM-derived stem cells	high	L0615_TMZ_RNAseq	Temozlomide
SAMN13291212	SRR10461723	2021-05-05T17:46:20Z	2019-11-16T01:45:59Z	27854426	4203344923	27854426	150	1705		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10461/SRR10461723/SRR10461723.lite.1	SRX7156219		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP230182	PRJNA589752	3	589752	SRS5663465	simple	9606	Homo sapiens	GSM4161782							no					GEO	SRA997007		public	DE74453A049FE48456AC82F0DAFE4403	49B5978B1B21930C16A022D41597D0D8	13291212	L0615_UNT_rep1_RNAseq	Nencki Institute	9606	SRS5663465	GSM4161782	L0615	GBM-derived stem cells	high	L0615_UNT_RNAseq	Untreated
SAMN13291213	SRR10461722	2021-05-05T17:46:20Z	2019-11-16T01:48:01Z	29728663	4486844819	29728663	150	1796		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10461/SRR10461722/SRR10461722.lite.1	SRX7156218		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP230182	PRJNA589752	3	589752	SRS5663464	simple	9606	Homo sapiens	GSM4161781							no					GEO	SRA997007		public	B590C7BF129F6A55423C5666A2C28837	750C6D4CA54FF6E778F66B0F5C927351	13291213	L0125_BMP4TMZ_RNAseq	Nencki Institute	9606	SRS5663464	GSM4161781	L0125	GBM-derived stem cells	low	L0125_BMP4TMZ_RNAseq	BMP4 and Temozolomide
SAMN13291214	SRR10461721	2021-05-05T17:46:20Z	2019-11-16T01:44:23Z	27594530	4166851497	27594530	151	1678		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10461/SRR10461721/SRR10461721.lite.1	SRX7156217		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP230182	PRJNA589752	3	589752	SRS5663463	simple	9606	Homo sapiens	GSM4161780							no					GEO	SRA997007		public	1F7EE5785468FCB2FDC8767EF8310AF0	2F7F70C7FDFC46CF694A772F16B553BA	13291214	L0125_BMP4_rep2_RNAseq	Nencki Institute	9606	SRS5663463	GSM4161780	L0125	GBM-derived stem cells	low	L0125_BMP4_RNAseq	BMP4
SAMN13291215	SRR10461720	2021-05-05T17:46:20Z	2019-11-16T01:46:10Z	28127352	4244907063	28127352	150	1703		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10461/SRR10461720/SRR10461720.lite.1	SRX7156216		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP230182	PRJNA589752	3	589752	SRS5663462	simple	9606	Homo sapiens	GSM4161779							no					GEO	SRA997007		public	28511DEC3A967362D916A3B4AB39B92E	98B934027E09DAEFDE8898B0F818FB8A	13291215	L0125_BMP4_rep1_RNAseq	Nencki Institute	9606	SRS5663462	GSM4161779	L0125	GBM-derived stem cells	low	L0125_BMP4_RNAseq	BMP4
SAMN13291275	SRR10461719	2021-05-05T17:46:20Z	2019-11-16T01:49:58Z	34779270	5248607776	34779270	150	2106		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10461/SRR10461719/SRR10461719.lite.1	SRX7156215		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP230182	PRJNA589752	3	589752	SRS5663461	simple	9606	Homo sapiens	GSM4161778							no					GEO	SRA997007		public	9C54D4660BEC3C841894DFD3EA191B39	D86ABAF1E5ABDD3DF4506565A5A6E00E	13291275	L0125_TMZ_RNAseq	Nencki Institute	9606	SRS5663461	GSM4161778	L0125	GBM-derived stem cells	low	L0125_TMZ_RNAseq	Temozlomide
