BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	culture condition	source_name	treatment	cell_line	group
SAMN13412992	SRR10545416	2020-01-08T16:18:13Z	2019-11-27T22:43:52Z	7156994	1041167799	7156994	145	395		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545416/SRR10545416.1	SRX7228519		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729244	simple	9606	Homo sapiens	GSM4195156							no					GEO	SRA1003760		public	F3D738630FC32A5FF10E9F30D03A3B91	75718C8D8EF903DA8BF55D288F4D712C	13412992	MGH1505	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729244	GSM4195156	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	None	MGH1505	MGH1505.None
SAMN13412991	SRR10545417	2020-01-08T16:18:13Z	2019-11-29T07:42:11Z	27039922	4065772250	27039922	150	1453		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10545417/SRR10545417.1	SRX7228520		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729245	simple	9606	Homo sapiens	GSM4195157							no					GEO	SRA1003760		public	02C8E79B32544A3AF7A3B343A9F63758	4474F881BC8B16CC68C930194882D812	13412991	MGH1494	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729245	GSM4195157	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	None	MGH1494	MGH1494.None
SAMN13412990	SRR10545418	2020-01-08T16:18:13Z	2019-11-27T23:00:19Z	12831131	1932841978	12831131	150	710		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545418/SRR10545418.1	SRX7228521		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729246	simple	9606	Homo sapiens	GSM4195158							no					GEO	SRA1003760		public	C4E202416263F6ED40C07CCB042404E9	83E2FE5EDC5D3EC7219BDF82DFA11E5D	13412990	MGH937	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729246	GSM4195158	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	None	MGH937	MGH937.None
SAMN13412985	SRR10545419	2020-01-08T16:18:13Z	2019-11-27T22:47:24Z	7368410	1075007369	7368410	145	405		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545419/SRR10545419.1	SRX7228522		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729247	simple	9606	Homo sapiens	GSM4195159							no					GEO	SRA1003760		public	6E4157E159F427C1869B7580C3EECFDF	30CD4A7D2F2F1EB15E0F66E2B2865840	13412985	MGH1222	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729247	GSM4195159	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	None	MGH1222	MGH1222.None
SAMN13412984	SRR10545420	2020-01-08T16:18:13Z	2019-11-27T23:02:50Z	12566775	1887109849	12566775	150	688		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545420/SRR10545420.1	SRX7228523		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729248	simple	9606	Homo sapiens	GSM4195160							no					GEO	SRA1003760		public	7663B26D1252B919ED083B22BC046324	8BCA24310525E13CA6D5E4E39F0851C8	13412984	MGH1473	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729248	GSM4195160	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	None	MGH1473	MGH1473.None
SAMN13412986	SRR10545421	2020-01-08T16:18:13Z	2019-11-27T23:55:25Z	50374638	7540151707	50374638	149	2700		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10545421/SRR10545421.1	SRX7228524		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729249	simple	9606	Homo sapiens	GSM4195161							no					GEO	SRA1003760		public	1E3AC1CF2CAAC4758127827B3E9C5F50	654AADE78FFAD87D31B05E2147BD7BBA	13412986	MGH1312	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729249	GSM4195161	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	None	MGH1312	MGH1312.None
SAMN13412989	SRR10545422	2020-01-08T16:18:13Z	2019-11-27T22:43:52Z	5095682	767366758	5095682	150	293		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054542/SRR10545422.1	SRX7228525		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729250	simple	9606	Homo sapiens	GSM4195162							no					GEO	SRA1003760		public	26CC920CD904A1544010B0153B72109F	0F63EC18E0048A6958959516567B57F9	13412989	PDAC2_VEH_D0	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729250	GSM4195162	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC2	PDAC2.DMSO.0
SAMN13412988	SRR10545423	2020-01-08T16:18:13Z	2019-11-27T22:45:28Z	5597331	843444670	5597331	150	322		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545423/SRR10545423.1	SRX7228526		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729251	simple	9606	Homo sapiens	GSM4195163							no					GEO	SRA1003760		public	931F63E74C4E39930A0B03914D32B69C	04072BFA1D2FF7C352DC2BC641E15505	13412988	PDAC2_FFX_D0	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729251	GSM4195163	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC2	PDAC2.FFX.0
SAMN13412987	SRR10545424	2020-01-08T16:18:13Z	2019-11-27T22:37:39Z	6613020	988575910	6613020	149	374		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054542/SRR10545424.1	SRX7228527		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729252	simple	9606	Homo sapiens	GSM4195164							no					GEO	SRA1003760		public	2A1BCEBF5F6ABD296F291B38D0C82B31	96EFF7BE727E26036F99A83E26249D3C	13412987	PDAC2_FFX_D4	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729252	GSM4195164	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC2	PDAC2.FFX.4
SAMN13412983	SRR10545425	2020-01-08T16:18:13Z	2019-11-28T02:36:32Z	13537257	2038772872	13537257	150	773		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054542/SRR10545425.1	SRX7228528		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729253	simple	9606	Homo sapiens	GSM4195165							no					GEO	SRA1003760		public	EF698C0E83BEA9F54820BECBFB5AC03C	D3D3857C8F5AE97C4EAC68F53035B6FF	13412983	PDAC2_FFX_D14	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729253	GSM4195165	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC2	PDAC2.FFX.14
