accession	uid	title	organization	taxonomy	sra	geo	cell line	passage	source_name	tissue origin	treatment
SAMN13615532	13615532	Run1_Pano_3	Creighton University	9606	SRS5845559	GSM4222756	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	Panobinostat
SAMN13615533	13615533	Run1_Pano_2	Creighton University	9606	SRS5845555	GSM4222755	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	Panobinostat
SAMN13615534	13615534	Run1_Pano_1	Creighton University	9606	SRS5845554	GSM4222754	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	Panobinostat
SAMN13615535	13615535	Run1_FC65_plus_Pano_3	Creighton University	9606	SRS5845553	GSM4222753	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	E64FC65 + Panobinostat
SAMN13615536	13615536	Run1_FC65_plus_Pano_2	Creighton University	9606	SRS5845550	GSM4222752	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	E64FC65 + Panobinostat
SAMN13615537	13615537	Run1_FC65_plus_Pano_1	Creighton University	9606	SRS5845552	GSM4222751	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	E64FC65 + Panobinostat
SAMN13615538	13615538	Run1_FC65_3	Creighton University	9606	SRS5845549	GSM4222750	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	E64FC65
SAMN13615540	13615540	Run1_FC65_2	Creighton University	9606	SRS5845548	GSM4222749	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	E64FC65
SAMN13615542	13615542	Run1_FC65_1	Creighton University	9606	SRS5845547	GSM4222748	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	E64FC65
SAMN13615543	13615543	Run1_DMSO_3	Creighton University	9606	SRS5845551	GSM4222747	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	DMSO
SAMN13615545	13615545	Run1_DMSO_2	Creighton University	9606	SRS5845546	GSM4222746	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	DMSO
SAMN13615546	13615546	Run1_DMSO_1	Creighton University	9606	SRS5845544	GSM4222745	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	DMSO
SAMN13615550	13615550	Run2_shATF3_FC26_plus_Pano_3	Creighton University	9606	SRS5845574	GSM4222774	PANC-1	9	PANC-1 human pancreatic cancer cell line	pancreas	ATF3 shRNA E64FC65 + Panobinostat
