BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	replicate	source_name	treatment	group
SAMN13636160	SRR10740726	2020-06-01T18:03:05Z	2019-12-19T17:10:05Z	55214048	16564214400	55214048	300	4962		https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/010488/SRR10740726	SRX7416322		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP238226	PRJNA596778	3	596778	SRS5863170	simple	9606	Homo sapiens	GSM4226504							no					GEO	SRA1014401		public	61994F585DD97FA6616B4A2E7DDB309F	113B41D4F23E28E98FF7B0F603DDA716	13636160	1533-ADC-1: HKC_wt_D0-1	Rathmell Lab, Hematology and Oncology, Vanderbilt University Medical Center	9606	SRS5863170	GSM4226504	HKC	rep 1	HKC proximal tubule cells	DMSO	HKC.dmso
SAMN13636171	SRR10740727	2020-06-01T18:03:05Z	2019-12-19T17:13:13Z	57967387	17390216100	57967387	300	5293		https://sra-download.ncbi.nlm.nih.gov/traces/sra79/SRR/010488/SRR10740727	SRX7416323		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP238226	PRJNA596778	3	596778	SRS5863171	simple	9606	Homo sapiens	GSM4226505							no					GEO	SRA1014401		public	9A8CD7C97A3C034F059D33E8DB3FBA09	F16628DF4137CF48E9ABB940598A38CF	13636171	1533-ADC-2: HKC_wt_D0-2	Rathmell Lab, Hematology and Oncology, Vanderbilt University Medical Center	9606	SRS5863171	GSM4226505	HKC	rep 2	HKC proximal tubule cells	DMSO	HKC.dmso
SAMN13636165	SRR10740728	2020-06-01T18:03:05Z	2019-12-19T17:06:43Z	61295519	18388655700	61295519	300	5541		https://sra-download.ncbi.nlm.nih.gov/traces/sra79/SRR/010488/SRR10740728	SRX7416324		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP238226	PRJNA596778	3	596778	SRS5863173	simple	9606	Homo sapiens	GSM4226506							no					GEO	SRA1014401		public	2099118C1DAEBBC25B5B004A7CEDE0FA	2EEDE190EF32024D2670E99F6C3C2AE0	13636165	1533-ADC-3: HKC_wt_D300-1	Rathmell Lab, Hematology and Oncology, Vanderbilt University Medical Center	9606	SRS5863173	GSM4226506	HKC	rep 1	HKC proximal tubule cells	300nM Decitabine	HKC.dac_300nM
SAMN13636164	SRR10740729	2020-06-01T18:03:05Z	2019-12-19T17:03:57Z	49697015	14909104500	49697015	300	4424		https://sra-download.ncbi.nlm.nih.gov/traces/sra79/SRR/010488/SRR10740729	SRX7416325		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP238226	PRJNA596778	3	596778	SRS5863175	simple	9606	Homo sapiens	GSM4226507							no					GEO	SRA1014401		public	5486F3916288AB82579502A2E5C1A263	425D361D796BC07C9C6C5F2151EA9F52	13636164	1533-ADC-4: HKC_wt_D300-2	Rathmell Lab, Hematology and Oncology, Vanderbilt University Medical Center	9606	SRS5863175	GSM4226507	HKC	rep 2	HKC proximal tubule cells	300nM Decitabine	HKC.dac_300nM
SAMN13636170	SRR10740730	2020-06-01T18:03:05Z	2019-12-19T17:01:26Z	55053083	16515924900	55053083	300	4941		https://sra-download.ncbi.nlm.nih.gov/traces/sra79/SRR/010488/SRR10740730	SRX7416326		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP238226	PRJNA596778	3	596778	SRS5863174	simple	9606	Homo sapiens	GSM4226508							no					GEO	SRA1014401		public	75B4D6D8E620BD84404C65A35DF3C683	A43A6EF35B30DD4B3D6F973A57034F72	13636170	1533-ADC-9: HKC_wt_D100-1	Rathmell Lab, Hematology and Oncology, Vanderbilt University Medical Center	9606	SRS5863174	GSM4226508	HKC	rep 1	HKC proximal tubule cells	100nM Decitabine	HKC.dac_100nM
SAMN13636169	SRR10740731	2020-06-01T18:03:05Z	2019-12-19T17:13:36Z	62400127	18720038100	62400127	300	5580		https://sra-download.ncbi.nlm.nih.gov/traces/sra79/SRR/010488/SRR10740731	SRX7416327		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP238226	PRJNA596778	3	596778	SRS5863172	simple	9606	Homo sapiens	GSM4226509							no					GEO	SRA1014401		public	72FA4F2ACFD28680C3464C4DE7C4B43F	A1450AF2DC549D75565502CA5FE893D1	13636169	1533-ADC-10: HKC_wt_D100-2	Rathmell Lab, Hematology and Oncology, Vanderbilt University Medical Center	9606	SRS5863172	GSM4226509	HKC	rep 2	HKC proximal tubule cells	100nM Decitabine	HKC.dac_100nM
SAMN13636168	SRR10740732	2020-06-01T18:03:05Z	2019-12-19T16:59:07Z	46368877	13910663100	46368877	300	4196		https://sra-download.ncbi.nlm.nih.gov/traces/sra79/SRR/010488/SRR10740732	SRX7416328		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP238226	PRJNA596778	3	596778	SRS5863176	simple	9606	Homo sapiens	GSM4226510							no					GEO	SRA1014401		public	68F455005711B4F8ED4920EB6D48C24F	273208103BC394405F2C10201275131D	13636168	1534-ADC-1: 7860_wt_D0-1	Rathmell Lab, Hematology and Oncology, Vanderbilt University Medical Center	9606	SRS5863176	GSM4226510	786-0	rep 1	786-0 RCC cells	DMSO	dmso.786
SAMN13636167	SRR10740733	2020-06-01T18:03:05Z	2019-12-19T17:20:43Z	63462578	19038773400	63462578	300	5854		https://sra-download.ncbi.nlm.nih.gov/traces/sra79/SRR/010488/SRR10740733	SRX7416329		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP238226	PRJNA596778	3	596778	SRS5863179	simple	9606	Homo sapiens	GSM4226511							no					GEO	SRA1014401		public	70C360BA4DFFFF69FB2DD805352F90ED	EB18FBA7CB3362BD500336392C6842E1	13636167	1534-ADC-2: 7860_wt_D0-2	Rathmell Lab, Hematology and Oncology, Vanderbilt University Medical Center	9606	SRS5863179	GSM4226511	786-0	rep 2	786-0 RCC cells	DMSO	dmso.786
SAMN13636166	SRR10740734	2020-06-01T18:03:05Z	2019-12-19T17:17:31Z	71575804	21472741200	71575804	300	6556		https://sra-download.ncbi.nlm.nih.gov/traces/sra79/SRR/010488/SRR10740734	SRX7416330		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP238226	PRJNA596778	3	596778	SRS5863177	simple	9606	Homo sapiens	GSM4226512							no					GEO	SRA1014401		public	0C0F377A6E33EE07645A530FE97141C3	EEFCD8B55AF774DFCA56723E607FABA7	13636166	1534-ADC-3: 7860_wt_D100-1	Rathmell Lab, Hematology and Oncology, Vanderbilt University Medical Center	9606	SRS5863177	GSM4226512	786-0	rep 1	786-0 RCC cells	100nM Decitabine	dac_100nM.786
SAMN13636163	SRR10740735	2020-06-01T18:03:05Z	2019-12-19T17:25:58Z	65697768	19709330400	65697768	300	5919		https://sra-download.ncbi.nlm.nih.gov/traces/sra79/SRR/010488/SRR10740735	SRX7416331		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP238226	PRJNA596778	3	596778	SRS5863178	simple	9606	Homo sapiens	GSM4226513							no					GEO	SRA1014401		public	E59F51D91C805CF290EDF56F57F747F4	8AF66C18D5ADA3C2F1B0490A7A6A1B8A	13636163	1534-ADC-4: 7860_wt_D100-2	Rathmell Lab, Hematology and Oncology, Vanderbilt University Medical Center	9606	SRS5863178	GSM4226513	786-0	rep 2	786-0 RCC cells	100nM Decitabine	dac_100nM.786
