accession	uid	title	organization	taxonomy	sra	geo	cell line	disease	dose	source_name	treatment
SAMN13930157	13930157	GTG_140_56: NCI-H1299	Oncology Discovery, Abbvie	9606	SRS6068227	GSM4285922	NCI-H1299	non-small cell lung carcinoma	.	NCI-H1299	DMSO
SAMN13930158	13930158	GTG_140_55: NCI-H1299	Oncology Discovery, Abbvie	9606	SRS6068228	GSM4285921	NCI-H1299	non-small cell lung carcinoma	.	NCI-H1299	DMSO
SAMN13930159	13930159	GTG_140_36: Kasumi-1	Oncology Discovery, Abbvie	9606	SRS6068226	GSM4285920	Kasumi-1	acute myeloid leukemia	200 nM	Kasumi-1	ABBV-744
SAMN13930160	13930160	GTG_140_35: Kasumi-1	Oncology Discovery, Abbvie	9606	SRS6068225	GSM4285919	Kasumi-1	acute myeloid leukemia	200 nM	Kasumi-1	ABBV-744
SAMN13930161	13930161	GTG_140_34: Kasumi-1	Oncology Discovery, Abbvie	9606	SRS6068224	GSM4285918	Kasumi-1	acute myeloid leukemia	100 nM	Kasumi-1	ABBV-075
SAMN13930162	13930162	GTG_140_33: Kasumi-1	Oncology Discovery, Abbvie	9606	SRS6068223	GSM4285917	Kasumi-1	acute myeloid leukemia	100 nM	Kasumi-1	ABBV-075
SAMN13930163	13930163	GTG_140_32: Kasumi-1	Oncology Discovery, Abbvie	9606	SRS6068222	GSM4285916	Kasumi-1	acute myeloid leukemia	.	Kasumi-1	DMSO
SAMN13930164	13930164	GTG_140_31: Kasumi-1	Oncology Discovery, Abbvie	9606	SRS6068221	GSM4285915	Kasumi-1	acute myeloid leukemia	.	Kasumi-1	DMSO
SAMN13930165	13930165	GTG_140_24: MV-4-11	Oncology Discovery, Abbvie	9606	SRS6068220	GSM4285914	MV-4-11	acute myeloid leukemia	200 nM	MV-4-11	ABBV-744
SAMN13930166	13930166	GTG_140_23: MV-4-11	Oncology Discovery, Abbvie	9606	SRS6068219	GSM4285913	MV-4-11	acute myeloid leukemia	200 nM	MV-4-11	ABBV-744
SAMN13930167	13930167	GTG_140_22: MV-4-11	Oncology Discovery, Abbvie	9606	SRS6068218	GSM4285912	MV-4-11	acute myeloid leukemia	100 nM	MV-4-11	ABBV-075
SAMN13930168	13930168	GTG_140_21: MV-4-11	Oncology Discovery, Abbvie	9606	SRS6068217	GSM4285911	MV-4-11	acute myeloid leukemia	100 nM	MV-4-11	ABBV-075
SAMN13930169	13930169	GTG_140_20: MV-4-11	Oncology Discovery, Abbvie	9606	SRS6068216	GSM4285910	MV-4-11	acute myeloid leukemia	.	MV-4-11	DMSO
SAMN13930170	13930170	GTG_140_19: MV-4-11	Oncology Discovery, Abbvie	9606	SRS6068215	GSM4285909	MV-4-11	acute myeloid leukemia	.	MV-4-11	DMSO
SAMN13930172	13930172	GTG_140_12: SKM-1	Oncology Discovery, Abbvie	9606	SRS6068214	GSM4285908	SKM-1	acute myeloid leukemia	200 nM	SKM-1	ABBV-744
SAMN13930173	13930173	GTG_140_11: SKM-1	Oncology Discovery, Abbvie	9606	SRS6068213	GSM4285907	SKM-1	acute myeloid leukemia	200 nM	SKM-1	ABBV-744
SAMN13930174	13930174	GTG_140_10: SKM-1	Oncology Discovery, Abbvie	9606	SRS6068212	GSM4285906	SKM-1	acute myeloid leukemia	100 nM	SKM-1	ABBV-075
SAMN13930175	13930175	GTG_140_07: SKM-1	Oncology Discovery, Abbvie	9606	SRS6068209	GSM4285903	SKM-1	acute myeloid leukemia	.	SKM-1	DMSO
SAMN13930176	13930176	GTG_140_09: SKM-1	Oncology Discovery, Abbvie	9606	SRS6068211	GSM4285905	SKM-1	acute myeloid leukemia	100 nM	SKM-1	ABBV-075
SAMN13930177	13930177	GTG_140_08: SKM-1	Oncology Discovery, Abbvie	9606	SRS6068210	GSM4285904	SKM-1	acute myeloid leukemia	.	SKM-1	DMSO
SAMN13930188	13930188	GTG_140_60: NCI-H1299	Oncology Discovery, Abbvie	9606	SRS6068232	GSM4285926	NCI-H1299	non-small cell lung carcinoma	200 nM	NCI-H1299	ABBV-744
SAMN13930189	13930189	GTG_140_59: NCI-H1299	Oncology Discovery, Abbvie	9606	SRS6068231	GSM4285925	NCI-H1299	non-small cell lung carcinoma	200 nM	NCI-H1299	ABBV-744
SAMN13930190	13930190	GTG_140_58: NCI-H1299	Oncology Discovery, Abbvie	9606	SRS6068230	GSM4285924	NCI-H1299	non-small cell lung carcinoma	100 nM	NCI-H1299	ABBV-075
SAMN13930191	13930191	GTG_140_57: NCI-H1299	Oncology Discovery, Abbvie	9606	SRS6068229	GSM4285923	NCI-H1299	non-small cell lung carcinoma	100 nM	NCI-H1299	ABBV-075
