BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	genotype	source_name	treatment
SAMN13942365	SRR10987766	2022-02-02T11:44:10Z	2020-01-29T22:00:25Z	40341676	3046059719	0	75	1133		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR010/10987/SRR10987766/SRR10987766.lite.1	SRX7649217		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 550	SRP245965	PRJNA603844	3	603844	SRS6078778	simple	9606	Homo sapiens	GSM4289812							no					GEO	SRA1034363		public	F727D99941B800A07E0FACE30CA97B37	2346AC61B0B318B7AF1DA9C6F39E444D	13942365	HCT116-SPARCLE_OE-DOX-b	Institute for Biotechnology, UNAM	9606	SRS6078778	GSM4289812	HCT116	SPARCLE OVER-EXPRESSION	HCT116_DOX-OE	Doxorubicin 1uM
SAMN13942366	SRR10987765	2022-02-02T11:44:10Z	2020-01-29T21:55:10Z	47306129	3572558985	0	75	1318		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR010/10987/SRR10987765/SRR10987765.lite.1	SRX7649216		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 550	SRP245965	PRJNA603844	3	603844	SRS6078777	simple	9606	Homo sapiens	GSM4289811							no					GEO	SRA1034363		public	64312F64656D72F2499A7885AA02D0C6	0593624120864836C979462AA9A820FF	13942366	HCT116-SPARCLE_OE-DOX-a	Institute for Biotechnology, UNAM	9606	SRS6078777	GSM4289811	HCT116	SPARCLE OVER-EXPRESSION	HCT116_DOX-OE	Doxorubicin 1uM
SAMN13942367	SRR10987764	2022-02-02T11:44:10Z	2020-01-29T22:14:50Z	48038736	3626853700	0	75	1333		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR010/10987/SRR10987764/SRR10987764.lite.1	SRX7649215		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 550	SRP245965	PRJNA603844	3	603844	SRS6078776	simple	9606	Homo sapiens	GSM4289810							no					GEO	SRA1034363		public	CC0C5B5611FA81D676C07CB6D5CAE2A2	FC81FE19CDE2FEEAFBEDD0181647BD0E	13942367	HCT116-SPARCLE_KO-DOX-b	Institute for Biotechnology, UNAM	9606	SRS6078776	GSM4289810	HCT116	SPARCLE KO	HCT116_DOX-KO	Doxorubicin 1uM
SAMN13942368	SRR10987763	2022-02-02T11:44:10Z	2020-01-29T23:13:53Z	47363909	3576105352	0	75	1316		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR010/10987/SRR10987763/SRR10987763.lite.1	SRX7649214		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 550	SRP245965	PRJNA603844	3	603844	SRS6078775	simple	9606	Homo sapiens	GSM4289809							no					GEO	SRA1034363		public	96D64D6AB120F235C733876B0CC91B50	FAC46CBBB2B94F3945DF6900705D0EE2	13942368	HCT116-SPARCLE_KO-DOX-a	Institute for Biotechnology, UNAM	9606	SRS6078775	GSM4289809	HCT116	SPARCLE KO	HCT116_DOX-KO	Doxorubicin 1uM
SAMN13942369	SRR10987762	2022-02-02T11:44:10Z	2020-01-29T21:47:21Z	34711950	2619749412	0	75	963		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR010/10987/SRR10987762/SRR10987762.lite.1	SRX7649213		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 550	SRP245965	PRJNA603844	3	603844	SRS6078774	simple	9606	Homo sapiens	GSM4289808							no					GEO	SRA1034363		public	6D96B56E2BA2D8D060EF711EF53C0F16	9E2902731E03983BE526E913A989BB06	13942369	HCT116-WT-DOX-b	Institute for Biotechnology, UNAM	9606	SRS6078774	GSM4289808	HCT116	WT	HCT116_DOX-WT	Doxorubicin 1uM
SAMN13942370	SRR10987761	2022-02-02T11:44:10Z	2020-01-29T21:50:25Z	38126673	2878713138	0	75	1057		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR010/10987/SRR10987761/SRR10987761.lite.1	SRX7649212		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 550	SRP245965	PRJNA603844	3	603844	SRS6078773	simple	9606	Homo sapiens	GSM4289807							no					GEO	SRA1034363		public	D7004E81C294EB61F14CBF639C9E9551	FBD172D493DB02A9C0F5750713A98FBC	13942370	HCT116-WT-DOX-a	Institute for Biotechnology, UNAM	9606	SRS6078773	GSM4289807	HCT116	WT	HCT116_DOX-WT	Doxorubicin 1uM
SAMN13942371	SRR10987760	2022-02-02T11:44:10Z	2020-01-29T21:50:05Z	43339928	3273044637	0	75	1204		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR010/10987/SRR10987760/SRR10987760.lite.1	SRX7649211		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 550	SRP245965	PRJNA603844	3	603844	SRS6078772	simple	9606	Homo sapiens	GSM4289806							no					GEO	SRA1034363		public	1438D70808939B76ED32D63629191FBF	D44C138A1BB7E4AAEC95989A75C92C28	13942371	HCT116-SPARCLE_OE-ctr-b	Institute for Biotechnology, UNAM	9606	SRS6078772	GSM4289806	HCT116	SPARCLE OVER-EXPRESSION	HCT116_Control-OE	None
SAMN13942372	SRR10987759	2022-02-02T11:44:10Z	2020-01-29T21:57:37Z	55560553	4195556429	0	75	1553		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR010/10987/SRR10987759/SRR10987759.lite.1	SRX7649210		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 550	SRP245965	PRJNA603844	3	603844	SRS6078771	simple	9606	Homo sapiens	GSM4289805							no					GEO	SRA1034363		public	6BD64C584696602369E0D08F4777F411	35BE26959D7CACD8AC67B0B09C1D74BC	13942372	HCT116-SPARCLE_OE-ctr-a	Institute for Biotechnology, UNAM	9606	SRS6078771	GSM4289805	HCT116	SPARCLE OVER-EXPRESSION	HCT116_Control-OE	None
SAMN13942373	SRR10987758	2022-02-02T11:44:10Z	2020-01-29T21:46:40Z	39452681	2978452695	0	75	1089		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR010/10987/SRR10987758/SRR10987758.lite.1	SRX7649209		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 550	SRP245965	PRJNA603844	3	603844	SRS6078770	simple	9606	Homo sapiens	GSM4289804							no					GEO	SRA1034363		public	4A7A18CABD62F3436242CFC72064B033	AC3EF5ABE832C240E67D7266F605DEBC	13942373	HCT116-SPARCLE_KO-ctr-b	Institute for Biotechnology, UNAM	9606	SRS6078770	GSM4289804	HCT116	SPARCLE KO	HCT116_Control-KO	None
SAMN13942374	SRR10987757	2022-02-02T11:44:10Z	2020-01-29T21:46:58Z	39289667	2967685712	0	75	1083		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR010/10987/SRR10987757/SRR10987757.lite.1	SRX7649208		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 550	SRP245965	PRJNA603844	3	603844	SRS6078769	simple	9606	Homo sapiens	GSM4289803							no					GEO	SRA1034363		public	6E8B7B3C90FCCC5DC06920ED7FEC979A	19A8DCAD255A438D3A2D081F740749BF	13942374	HCT116-SPARCLE_KO-ctr-a	Institute for Biotechnology, UNAM	9606	SRS6078769	GSM4289803	HCT116	SPARCLE KO	HCT116_Control-KO	None
