BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell type	lentivirus	source_name	time point	treatment
SAMN14070734	SRR11048308	2020-05-26T16:36:32Z	2020-02-08T15:11:05Z	29943530	1521048570	0	50	882		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11048/SRR11048308/SRR11048308.lite.1	SRX7698330		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP247777	PRJNA605563	3	605563	SRS6122819	simple	9606	Homo sapiens	GSM4301493							no					GEO	SRA1040124		public	CA7779714259AAA6673B4576155B1866	5A1CEE1C3BC473E3514CD5D57517359F	14070734	shALKBH5-#1 ActD 12h	Chen Lab, Systems Biology, City of Hope	9606	SRS6122819	GSM4301493	Acute myeloid leukemia	shALKBH5-#1	AML cell line NOMO-1	12h	ActD
SAMN14070735	SRR11048307	2020-05-26T16:36:32Z	2020-02-08T14:56:24Z	32615387	1659783559	0	50	963		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR011/11048/SRR11048307/SRR11048307.lite.1	SRX7698329		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP247777	PRJNA605563	3	605563	SRS6122818	simple	9606	Homo sapiens	GSM4301492							no					GEO	SRA1040124		public	0807B8F52E3FFC45078F386E7C2C2E95	29B0A06E025BF0E8C018E859344F176F	14070735	shALKBH5-#1 ActD 8h	Chen Lab, Systems Biology, City of Hope	9606	SRS6122818	GSM4301492	Acute myeloid leukemia	shALKBH5-#1	AML cell line NOMO-1	8h	ActD
SAMN14070736	SRR11048306	2020-05-26T16:36:32Z	2020-02-08T14:54:50Z	43451970	2207297451	0	50	1275		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11048/SRR11048306/SRR11048306.lite.1	SRX7698328		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP247777	PRJNA605563	3	605563	SRS6122817	simple	9606	Homo sapiens	GSM4301491							no					GEO	SRA1040124		public	89D178B72F41B421D7FB4E4BF9E69C39	6E8D7ED24C9E11A9DC24AE45AEA1ABE1	14070736	shALKBH5-#1 ActD 0h	Chen Lab, Systems Biology, City of Hope	9606	SRS6122817	GSM4301491	Acute myeloid leukemia	shALKBH5-#1	AML cell line NOMO-1	0h	ActD
SAMN14070737	SRR11048305	2020-05-26T16:36:32Z	2020-02-08T14:55:40Z	30433085	1546629039	0	50	895		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11048/SRR11048305/SRR11048305.lite.1	SRX7698327		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP247777	PRJNA605563	3	605563	SRS6122816	simple	9606	Homo sapiens	GSM4301490							no					GEO	SRA1040124		public	8102F90C72A3D2F82685F89312F67196	04162A4329FA1C0F280263CECE06FCC2	14070737	shALKBH5-#2 ActD 12h	Chen Lab, Systems Biology, City of Hope	9606	SRS6122816	GSM4301490	Acute myeloid leukemia	shALKBH5-#2	AML cell line NOMO-1	12h	ActD
SAMN14070738	SRR11048304	2020-05-26T16:36:32Z	2020-02-08T14:55:50Z	39284525	1995969058	0	50	1156		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR011/11048/SRR11048304/SRR11048304.lite.1	SRX7698326		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP247777	PRJNA605563	3	605563	SRS6122815	simple	9606	Homo sapiens	GSM4301489							no					GEO	SRA1040124		public	C11F75C7369E0D2850472A6E0B2CBBAE	96FCD6FF96A7DEA497BF4AF9061EE83C	14070738	shALKBH5-#2 ActD 8h	Chen Lab, Systems Biology, City of Hope	9606	SRS6122815	GSM4301489	Acute myeloid leukemia	shALKBH5-#2	AML cell line NOMO-1	8h	ActD
SAMN14070739	SRR11048303	2020-05-26T16:36:32Z	2020-02-08T15:28:57Z	40956385	2077519986	0	50	1206		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11048/SRR11048303/SRR11048303.lite.1	SRX7698325		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP247777	PRJNA605563	3	605563	SRS6122814	simple	9606	Homo sapiens	GSM4301488							no					GEO	SRA1040124		public	D439B3DF025831DB1044713BDFED1764	CEC9472F3D2FE7C02C725E658CB10627	14070739	shALKBH5-#2 ActD 0h	Chen Lab, Systems Biology, City of Hope	9606	SRS6122814	GSM4301488	Acute myeloid leukemia	shALKBH5-#2	AML cell line NOMO-1	0h	ActD
SAMN14070740	SRR11048302	2020-05-26T16:36:31Z	2020-02-08T15:07:13Z	29776061	1512567305	0	50	876		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11048/SRR11048302/SRR11048302.lite.1	SRX7698324		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP247777	PRJNA605563	3	605563	SRS6122813	simple	9606	Homo sapiens	GSM4301487							no					GEO	SRA1040124		public	E99AA1EF3FE548B7202DF31E8DFD3EDB	D44BDC98E46469E4169D5952729D1A88	14070740	shNS ActD 12h Rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS6122813	GSM4301487	Acute myeloid leukemia	shNS	AML cell line NOMO-1	12h	ActD
SAMN14070741	SRR11048301	2020-05-26T16:36:31Z	2020-02-08T14:48:15Z	31105855	1579334059	0	50	918		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11048/SRR11048301/SRR11048301.lite.1	SRX7698323		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP247777	PRJNA605563	3	605563	SRS6122812	simple	9606	Homo sapiens	GSM4301486							no					GEO	SRA1040124		public	9CFEAEB73BA1AFD6282F4BEC244F4EFF	FFCE8264EA145331CC8AB4C31BA02869	14070741	shNS ActD 12h Rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS6122812	GSM4301486	Acute myeloid leukemia	shNS	AML cell line NOMO-1	12h	ActD
SAMN14070742	SRR11048300	2020-05-26T16:36:31Z	2020-02-08T14:51:43Z	37502205	1906305192	0	50	1099		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11048/SRR11048300/SRR11048300.lite.1	SRX7698322		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP247777	PRJNA605563	3	605563	SRS6122811	simple	9606	Homo sapiens	GSM4301485							no					GEO	SRA1040124		public	F0861FA1C1FB7F735AF4151ABA80710B	5387856F66F379CE0330F07BEC835430	14070742	shNS ActD 8h Rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS6122811	GSM4301485	Acute myeloid leukemia	shNS	AML cell line NOMO-1	8h	ActD
SAMN14070743	SRR11048299	2020-05-26T16:36:31Z	2020-02-08T14:50:29Z	36913256	1874043342	0	50	1099		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11048/SRR11048299/SRR11048299.lite.1	SRX7698321		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP247777	PRJNA605563	3	605563	SRS6122810	simple	9606	Homo sapiens	GSM4301484							no					GEO	SRA1040124		public	6FA64728EE2B338BB3A4CE09ED14D095	5F22FB4DFFAC58D40E95F5780067FEB6	14070743	shNS ActD 8h Rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS6122810	GSM4301484	Acute myeloid leukemia	shNS	AML cell line NOMO-1	8h	ActD
