accession	uid	title	organization	taxonomy	sra	geo	cell type	source_name	treatment
SAMN14313673	14313673	BAY1436032+Azacitidine simultaneous replicate 3 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269040	GSM4387285	Human CD45+ cells from bone marrow of PDX mouse	BAY1436032+Azacitidine simultaneous	BAY1436032+Azacitidine simultaneous
SAMN14313674	14313674	BAY1436032+Azacitidine simultaneous replicate 2 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269041	GSM4387284	Human CD45+ cells from bone marrow of PDX mouse	BAY1436032+Azacitidine simultaneous	BAY1436032+Azacitidine simultaneous
SAMN14313675	14313675	BAY1436032+Azacitidine simultaneous replicate 1 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269039	GSM4387283	Human CD45+ cells from bone marrow of PDX mouse	BAY1436032+Azacitidine simultaneous	BAY1436032+Azacitidine simultaneous
SAMN14313676	14313676	BAY1436032+Azacitidine sequential replicate 3 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269038	GSM4387282	Human CD45+ cells from bone marrow of PDX mouse	BAY1436032+Azacitidine sequential	BAY1436032+Azacitidine sequential
SAMN14313677	14313677	BAY1436032+Azacitidine sequential replicate 2 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269037	GSM4387281	Human CD45+ cells from bone marrow of PDX mouse	BAY1436032+Azacitidine sequential	BAY1436032+Azacitidine sequential
SAMN14313678	14313678	BAY1436032+Azacitidine sequential replicate 1 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269036	GSM4387280	Human CD45+ cells from bone marrow of PDX mouse	BAY1436032+Azacitidine sequential	BAY1436032+Azacitidine sequential
SAMN14313679	14313679	Azacitidine replicate 3 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269035	GSM4387279	Human CD45+ cells from bone marrow of PDX mouse	Azacitidine	Azacitidine
SAMN14313680	14313680	Azacitidine replicate 2 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269034	GSM4387278	Human CD45+ cells from bone marrow of PDX mouse	Azacitidine	Azacitidine
SAMN14313681	14313681	Azacitidine replicate 1 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269032	GSM4387277	Human CD45+ cells from bone marrow of PDX mouse	Azacitidine	Azacitidine
SAMN14313682	14313682	BAY1436032 replicate 3 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269033	GSM4387276	Human CD45+ cells from bone marrow of PDX mouse	BAY1436032	BAY1436032
SAMN14313683	14313683	BAY1436032 replicate 2 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269031	GSM4387275	Human CD45+ cells from bone marrow of PDX mouse	BAY1436032	BAY1436032
SAMN14313684	14313684	BAY1436032 replicate 1 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269030	GSM4387274	Human CD45+ cells from bone marrow of PDX mouse	BAY1436032	BAY1436032
SAMN14313685	14313685	Vehicle replicate 3 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269029	GSM4387273	Human CD45+ cells from bone marrow of PDX mouse	Vehicle	Vehicle
SAMN14313686	14313686	Vehicle replicate 2 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269028	GSM4387272	Human CD45+ cells from bone marrow of PDX mouse	Vehicle	Vehicle
SAMN14313687	14313687	Vehicle replicate 1 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269027	GSM4387271	Human CD45+ cells from bone marrow of PDX mouse	Vehicle	Vehicle
