accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source	source_name	treatment_time
SAMN14546378	14546378	Gem-resistant MIA PaCa2_control_6h_Rep2	School of Pharmacy, UCL	9606	SRS6437097	GSM4456020	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	Untreated/control_6 h
SAMN14546379	14546379	Gem-resistant MIA PaCa2_control_6h_Rep1	School of Pharmacy, UCL	9606	SRS6437096	GSM4456019	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	Untreated/control_6 h
SAMN14546380	14546380	MIA PaCa2 cell line_control_24h_Rep3	School of Pharmacy, UCL	9606	SRS6437113	GSM4456036	MIA PaCa2	pancreas ductal adenocarcinoma cell line	ATCC cell line	pancreatic cancer	Untreated/control_24 h
SAMN14546381	14546381	Gem-resistant MIA PaCa2_CM03_24h_Rep2	School of Pharmacy, UCL	9606	SRS6437109	GSM4456032	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	400nM CM03_24 h
SAMN14546382	14546382	Gem-resistant MIA PaCa2_CM03_24h_Rep1	School of Pharmacy, UCL	9606	SRS6437108	GSM4456031	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	400nM CM03_24 h
SAMN14546383	14546383	Gem-resistant MIA PaCa2_control_24h_Rep3	School of Pharmacy, UCL	9606	SRS6437107	GSM4456030	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	Untreated/control_24 h
SAMN14546384	14546384	Gem-resistant MIA PaCa2_control_24h_Rep2	School of Pharmacy, UCL	9606	SRS6437106	GSM4456029	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	Untreated/control_24 h
SAMN14546385	14546385	Gem-resistant MIA PaCa2_control_24h_Rep1	School of Pharmacy, UCL	9606	SRS6437105	GSM4456028	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	Untreated/control_24 h
SAMN14546386	14546386	MIA PaCa2 cell line_control_24h_Rep2	School of Pharmacy, UCL	9606	SRS6437112	GSM4456035	MIA PaCa2	pancreas ductal adenocarcinoma cell line	ATCC cell line	pancreatic cancer	Untreated/control_24 h
SAMN14546387	14546387	MIA PaCa2 cell line_control_24h_Rep1	School of Pharmacy, UCL	9606	SRS6437111	GSM4456034	MIA PaCa2	pancreas ductal adenocarcinoma cell line	ATCC cell line	pancreatic cancer	Untreated/control_24 h
SAMN14546388	14546388	Gem-resistant MIA PaCa2_CM03_24h_Rep3	School of Pharmacy, UCL	9606	SRS6437110	GSM4456033	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	400nM CM03_24 h
SAMN14546389	14546389	MIA PaCa2 cell line_control_6h_ Rep3	School of Pharmacy, UCL	9606	SRS6437104	GSM4456027	MIA PaCa2	pancreas ductal adenocarcinoma cell line	ATCC cell line	pancreatic cancer	Untreated/control_6 h
SAMN14546390	14546390	MIA PaCa2 cell line_control_6h_ Rep2	School of Pharmacy, UCL	9606	SRS6437103	GSM4456026	MIA PaCa2	pancreas ductal adenocarcinoma cell line	ATCC cell line	pancreatic cancer	Untreated/control_6 h
SAMN14546391	14546391	MIA PaCa2 cell line_control_6h_ Rep1	School of Pharmacy, UCL	9606	SRS6437102	GSM4456025	MIA PaCa2	pancreas ductal adenocarcinoma cell line	ATCC cell line	pancreatic cancer	Untreated/control_6 h
SAMN14546392	14546392	Gem-resistant MIA PaCa2_CM03_6h_Rep3	School of Pharmacy, UCL	9606	SRS6437101	GSM4456024	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	400nM CM03_6 h
SAMN14546393	14546393	Gem-resistant MIA PaCa2_CM03_6h_Rep2	School of Pharmacy, UCL	9606	SRS6437100	GSM4456023	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	400nM CM03_6 h
SAMN14546394	14546394	Gem-resistant MIA PaCa2_CM03_6h_Rep1	School of Pharmacy, UCL	9606	SRS6437099	GSM4456022	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	400nM CM03_6 h
SAMN14546395	14546395	Gem-resistant MIA PaCa2_control_6h_Rep3	School of Pharmacy, UCL	9606	SRS6437098	GSM4456021	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	Untreated/control_6 h
