BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	disease state	docetaxel sensitivity	source_name	group
SAMN14783912	SRR11680129	2023-04-01T20:32:43Z	2020-05-05T11:11:13Z	24598316	1279112432	0	52	412		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR011/11680/SRR11680129/SRR11680129.lite.1	SRX8241029		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP259905	PRJNA629596		629596	SRS6590674	simple	9606	Homo sapiens	GSM4508919							no					GEO	SRA1071952		public	20B922DE302E8EF557B90F6FC995FF4A	18F17F3BE9685F6ADAC2367C0CA8468C	14783912	PCa_PC3_Res_2	University of Michigan	9606	SRS6590674	GSM4508919	PC3	Prostate cancer	Resistant	PC3_Res	PC3.Resistant
SAMN14783912	SRR11680130	2023-04-01T20:32:43Z	2020-05-05T11:10:55Z	24557503	1276990156	0	52	412		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR011/11680/SRR11680130/SRR11680130.lite.1	SRX8241029		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP259905	PRJNA629596		629596	SRS6590674	simple	9606	Homo sapiens	GSM4508919							no					GEO	SRA1071952		public	B3325671CEC97064C6752A40855AD68F	D26E18726E27754B43AAB20E72EA1D6F	14783912	PCa_PC3_Res_2	University of Michigan	9606	SRS6590674	GSM4508919	PC3	Prostate cancer	Resistant	PC3_Res	PC3.Resistant
SAMN14783913	SRR11680127	2023-04-01T20:32:43Z	2020-05-05T11:11:38Z	27590359	1434698668	0	52	461		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR011/11680/SRR11680127/SRR11680127.lite.1	SRX8241028		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP259905	PRJNA629596		629596	SRS6590673	simple	9606	Homo sapiens	GSM4508918							no					GEO	SRA1071952		public	CB385602E359C8A1119331CB22AF416B	E27E1ED646F6DB61AAC72C646A66BEA0	14783913	PCa_PC3_Res_1	University of Michigan	9606	SRS6590673	GSM4508918	PC3	Prostate cancer	Resistant	PC3_Res	PC3.Resistant
SAMN14783913	SRR11680128	2023-04-01T20:32:43Z	2020-05-05T11:11:41Z	27404690	1425043880	0	52	459		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR011/11680/SRR11680128/SRR11680128.lite.1	SRX8241028		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP259905	PRJNA629596		629596	SRS6590673	simple	9606	Homo sapiens	GSM4508918							no					GEO	SRA1071952		public	3F738C8825B9585F6BCEEF2CF5A58364	AADE4E8C8B369BDB6FA22B32E8805C3F	14783913	PCa_PC3_Res_1	University of Michigan	9606	SRS6590673	GSM4508918	PC3	Prostate cancer	Resistant	PC3_Res	PC3.Resistant
SAMN14783914	SRR11680125	2023-04-01T20:32:43Z	2020-05-05T11:08:20Z	20166940	1048680880	0	52	339		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR011/11680/SRR11680125/SRR11680125.lite.1	SRX8241027		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP259905	PRJNA629596		629596	SRS6590671	simple	9606	Homo sapiens	GSM4508917							no					GEO	SRA1071952		public	BA04D83231907C126BBD996F76E47A27	6B408C8382C0DE1B991F738E9BBDA158	14783914	PCa_PC3_Sen_2	University of Michigan	9606	SRS6590671	GSM4508917	PC3	Prostate cancer	Sensitive	PC3_Sen	PC3.Sensitive
SAMN14783914	SRR11680126	2023-04-01T20:32:43Z	2020-05-05T11:08:49Z	20114934	1045976568	0	52	339		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR011/11680/SRR11680126/SRR11680126.lite.1	SRX8241027		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP259905	PRJNA629596		629596	SRS6590671	simple	9606	Homo sapiens	GSM4508917							no					GEO	SRA1071952		public	91A0184CC649F31CF3D295193427454C	B11B1395A5007344FF1176E71E9C7E73	14783914	PCa_PC3_Sen_2	University of Michigan	9606	SRS6590671	GSM4508917	PC3	Prostate cancer	Sensitive	PC3_Sen	PC3.Sensitive
SAMN14783915	SRR11680123	2023-04-01T20:32:43Z	2020-05-05T11:07:57Z	21953124	1141562448	0	52	368		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR011/11680/SRR11680123/SRR11680123.lite.1	SRX8241026		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP259905	PRJNA629596		629596	SRS6590672	simple	9606	Homo sapiens	GSM4508916							no					GEO	SRA1071952		public	8617EEDEED91F47AF8C86D1A2E361498	6D561FE68EDE22EB7C11CB2FABD9B0E5	14783915	PCa_PC3_Sen_1	University of Michigan	9606	SRS6590672	GSM4508916	PC3	Prostate cancer	Sensitive	PC3_Sen	PC3.Sensitive
SAMN14783915	SRR11680124	2023-04-01T20:32:43Z	2020-05-05T11:08:39Z	21884537	1137995924	0	52	367		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR011/11680/SRR11680124/SRR11680124.lite.1	SRX8241026		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP259905	PRJNA629596		629596	SRS6590672	simple	9606	Homo sapiens	GSM4508916							no					GEO	SRA1071952		public	8D53808963EF6FBA6391F499BAFC3306	A2FC5B0967BE1BEA263D3B08E64160C7	14783915	PCa_PC3_Sen_1	University of Michigan	9606	SRS6590672	GSM4508916	PC3	Prostate cancer	Sensitive	PC3_Sen	PC3.Sensitive
SAMN14783916	SRR11680121	2023-04-01T20:32:43Z	2020-05-05T11:11:08Z	22310390	1160140280	0	52	373		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR011/11680/SRR11680121/SRR11680121.lite.1	SRX8241025		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP259905	PRJNA629596		629596	SRS6590670	simple	9606	Homo sapiens	GSM4508915							no					GEO	SRA1071952		public	81C9EFB7BA253E6243FDA6A688389E5C	8591C9972D382D1A9303FD9209916165	14783916	PCa_DU145_Res_2	University of Michigan	9606	SRS6590670	GSM4508915	DU145	Prostate cancer	Resistant	DU145_Res	DU145.Resistant
SAMN14783916	SRR11680122	2023-04-01T20:32:43Z	2020-05-05T11:09:04Z	22450394	1167420488	0	52	376		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR011/11680/SRR11680122/SRR11680122.lite.1	SRX8241025		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP259905	PRJNA629596		629596	SRS6590670	simple	9606	Homo sapiens	GSM4508915							no					GEO	SRA1071952		public	32103101438863DF485A9E9A59592BD9	C8A01B1BABE2A83E4CFE010CB6E51C26	14783916	PCa_DU145_Res_2	University of Michigan	9606	SRS6590670	GSM4508915	DU145	Prostate cancer	Resistant	DU145_Res	DU145.Resistant
