BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	pdx	source_name	tissue	treatment	group
SAMN15666604	SRR12343478	2020-09-26T11:19:11Z	2020-07-29T09:10:53Z	5923467	446460614	0	75	208		https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRR/012054/SRR12343478	SRX8843168		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274093	PRJNA649431		649431	SRS7106229	simple	9606	Homo sapiens	GSM4699408							no					GEO	SRA1105211		public	3E0DFA88573E05AB5D6ECA400354098F	37B99A29574EC8A3F51EDB6904FCC9CC	15666604	Spleen-PDX T-ALL1 DMSO Rep1 RNA-seq	Ghent University	9606	SRS7106229	GSM4699408	PDX T-ALL1	T-ALL blasts from PDX spleen	T-ALL blasts from PDX spleen	DMSO	PDX_TALL1.dmso
SAMN15666603	SRR12343479	2020-09-26T11:19:11Z	2020-07-29T09:11:00Z	6390296	481744419	0	75	223		https://sra-download.ncbi.nlm.nih.gov/traces/sra58/SRR/012054/SRR12343479	SRX8843169		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274093	PRJNA649431		649431	SRS7106228	simple	9606	Homo sapiens	GSM4699409							no					GEO	SRA1105211		public	2CC347EB56AC9BEE7ACBE0DAB6832FCE	51FDE08E36B1D4AC144E3D0FF12B40E6	15666603	Spleen-PDX T-ALL1 DMSO Rep2 RNA-seq	Ghent University	9606	SRS7106228	GSM4699409	PDX T-ALL1	T-ALL blasts from PDX spleen	T-ALL blasts from PDX spleen	DMSO	PDX_TALL1.dmso
SAMN15666602	SRR12343480	2020-09-26T11:19:11Z	2020-07-29T09:10:56Z	5234264	394638063	0	75	183		https://sra-download.ncbi.nlm.nih.gov/traces/sra78/SRR/012054/SRR12343480	SRX8843170		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274093	PRJNA649431		649431	SRS7106227	simple	9606	Homo sapiens	GSM4699410							no					GEO	SRA1105211		public	EE7784F8F87A303D8F021BF98C006075	EF8488110560059DB9F9832859C96528	15666602	Spleen-PDX T-ALL1 DMSO Rep3 RNA-seq	Ghent University	9606	SRS7106227	GSM4699410	PDX T-ALL1	T-ALL blasts from PDX spleen	T-ALL blasts from PDX spleen	DMSO	PDX_TALL1.dmso
SAMN15666601	SRR12343481	2020-09-26T11:19:11Z	2020-07-29T09:10:48Z	5033352	379517050	0	75	176		https://sra-download.ncbi.nlm.nih.gov/traces/sra45/SRR/012054/SRR12343481	SRX8843171		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274093	PRJNA649431		649431	SRS7106230	simple	9606	Homo sapiens	GSM4699411							no					GEO	SRA1105211		public	20442FC778E8CC07FD150481D683EB60	59281443FDFBE6F7ED2E9F7CA65F2C40	15666601	Spleen-PDX T-ALL1 Decitabine Rep1 RNA-seq	Ghent University	9606	SRS7106230	GSM4699411	PDX T-ALL1	T-ALL blasts from PDX spleen	T-ALL blasts from PDX spleen	Decitabine	PDX_TALL1.dac
SAMN15666600	SRR12343482	2020-09-26T11:19:11Z	2020-07-29T09:11:02Z	5069520	382373112	0	75	176		https://sra-download.ncbi.nlm.nih.gov/traces/sra59/SRR/012054/SRR12343482	SRX8843172		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274093	PRJNA649431		649431	SRS7106232	simple	9606	Homo sapiens	GSM4699412							no					GEO	SRA1105211		public	065F03962C43F2D538CED56C6F3FB33C	18670E84A973A83BE79696BA7AEA0752	15666600	Spleen-PDX T-ALL1 Decitabine Rep2 RNA-seq	Ghent University	9606	SRS7106232	GSM4699412	PDX T-ALL1	T-ALL blasts from PDX spleen	T-ALL blasts from PDX spleen	Decitabine	PDX_TALL1.dac
SAMN15666599	SRR12343483	2020-09-26T11:19:11Z	2020-07-29T09:10:48Z	4649451	350772078	0	75	162		https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRR/012054/SRR12343483	SRX8843173		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274093	PRJNA649431		649431	SRS7106231	simple	9606	Homo sapiens	GSM4699413							no					GEO	SRA1105211		public	B8869D9401FCBB7253B16BE16831B18F	F034720382AC4EC7A3095657CED53109	15666599	Spleen-PDX T-ALL1 Decitabine Rep3 RNA-seq	Ghent University	9606	SRS7106231	GSM4699413	PDX T-ALL1	T-ALL blasts from PDX spleen	T-ALL blasts from PDX spleen	Decitabine	PDX_TALL1.dac
SAMN15666598	SRR12343484	2020-09-26T11:19:11Z	2020-07-29T09:11:23Z	6344063	478155378	0	75	220		https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/012054/SRR12343484	SRX8843174		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274093	PRJNA649431		649431	SRS7106233	simple	9606	Homo sapiens	GSM4699414							no					GEO	SRA1105211		public	9428B2D60C9F51ED91C3781DD7A5B5E7	47CABB64CCD93B10A80896A2D4267341	15666598	Spleen-PDX T-ALL2 DMSO Rep1 RNA-seq	Ghent University	9606	SRS7106233	GSM4699414	PDX T-ALL2	T-ALL blasts from PDX spleen	T-ALL blasts from PDX spleen	DMSO	PDX_TALL2.dmso
SAMN15666597	SRR12343485	2020-09-26T11:19:11Z	2020-07-29T09:16:27Z	25540876	1925605716	0	75	892		https://sra-download.ncbi.nlm.nih.gov/traces/sra23/SRR/012054/SRR12343485	SRX8843175		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274093	PRJNA649431		649431	SRS7106235	simple	9606	Homo sapiens	GSM4699415							no					GEO	SRA1105211		public	74A365144C5E97B1CC6BE42CD02D04C0	A00A2B4A18159F3FA3ABA20FD790D2DA	15666597	Spleen-PDX T-ALL2 DMSO Rep2 RNA-seq	Ghent University	9606	SRS7106235	GSM4699415	PDX T-ALL2	T-ALL blasts from PDX spleen	T-ALL blasts from PDX spleen	DMSO	PDX_TALL2.dmso
SAMN15666596	SRR12343486	2020-09-26T11:19:11Z	2020-07-29T09:11:14Z	7126845	537347167	0	75	248		https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRR/012054/SRR12343486	SRX8843176		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274093	PRJNA649431		649431	SRS7106234	simple	9606	Homo sapiens	GSM4699416							no					GEO	SRA1105211		public	6309BA7A0542C3BC4C596A1363D483D2	B8FEACE538464BFBF22256DE4A205E19	15666596	Spleen-PDX T-ALL2 DMSO Rep3 RNA-seq	Ghent University	9606	SRS7106234	GSM4699416	PDX T-ALL2	T-ALL blasts from PDX spleen	T-ALL blasts from PDX spleen	DMSO	PDX_TALL2.dmso
SAMN15666595	SRR12343487	2020-09-26T11:19:11Z	2020-07-29T09:11:57Z	5843102	440555887	0	75	204		https://sra-download.ncbi.nlm.nih.gov/traces/sra48/SRR/012054/SRR12343487	SRX8843177		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274093	PRJNA649431		649431	SRS7106236	simple	9606	Homo sapiens	GSM4699417							no					GEO	SRA1105211		public	A604185685D6AAA4F4EEE5182AC235D3	5A4E241F9B749D47A2D0863B8689C81F	15666595	Spleen-PDX T-ALL2 Decitabine Rep1 RNA-seq	Ghent University	9606	SRS7106236	GSM4699417	PDX T-ALL2	T-ALL blasts from PDX spleen	T-ALL blasts from PDX spleen	Decitabine	PDX_TALL2.dac
