BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	tissue	treatment	group
SAMN15666617	SRR12343490	2020-09-26T11:19:13Z	2020-07-29T09:14:32Z	15935207	1201075307	0	75	506		https://sra-download.ncbi.nlm.nih.gov/traces/sra45/SRR/012054/SRR12343490	SRX8843180		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106239	simple	9606	Homo sapiens	GSM4699420							no					GEO	SRA1105212		public	6ECAD267D809DED10FA6D28173173212	D698C9326A68A837803F9C3D0361EFCB	15666617	PEER DAC Rep1 RNA-seq	Ghent University	9606	SRS7106239	GSM4699420	PEER	T-ALL cell line PEER	T-ALL cell line	Decitabine	PEER.Decitabine
SAMN15666616	SRR12343491	2020-09-26T11:19:13Z	2020-07-29T09:11:06Z	5538924	401545646	0	72	170		https://sra-download.ncbi.nlm.nih.gov/traces/sra24/SRR/012054/SRR12343491	SRX8843181		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106240	simple	9606	Homo sapiens	GSM4699421							no					GEO	SRA1105212		public	96094045A6276E61A6F4B55DC9C1F7A4	57C4F33D851C94509E4E180E3EB6F5EE	15666616	PEER DAC Rep2 RNA-seq	Ghent University	9606	SRS7106240	GSM4699421	PEER	T-ALL cell line PEER	T-ALL cell line	Decitabine	PEER.Decitabine
SAMN15666615	SRR12343492	2020-09-26T11:19:13Z	2020-07-29T09:10:48Z	4060839	305901390	0	75	131		https://sra-download.ncbi.nlm.nih.gov/traces/sra47/SRR/012054/SRR12343492	SRX8843182		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106241	simple	9606	Homo sapiens	GSM4699422							no					GEO	SRA1105212		public	0ABF750C35DFEAD52C5C602F1912F52C	241D8FDAD45DD11D1ABA3ED1AF7E8B4D	15666615	PEER DAC Rep3 RNA-seq	Ghent University	9606	SRS7106241	GSM4699422	PEER	T-ALL cell line PEER	T-ALL cell line	Decitabine	PEER.Decitabine
SAMN15666614	SRR12343493	2020-09-26T11:19:13Z	2020-07-29T09:12:21Z	9246891	697218666	0	75	295		https://sra-download.ncbi.nlm.nih.gov/traces/sra28/SRR/012054/SRR12343493	SRX8843183		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106242	simple	9606	Homo sapiens	GSM4699423							no					GEO	SRA1105212		public	3F3E177A304359C0C50D17E6F52169F5	9DA00656C272C295BC0BC9EA16669EB9	15666614	PEER DMSO Rep1 RNA-seq	Ghent University	9606	SRS7106242	GSM4699423	PEER	T-ALL cell line PEER	T-ALL cell line	DMSO	PEER.DMSO
SAMN15666613	SRR12343494	2020-09-26T11:19:13Z	2020-07-29T09:11:33Z	6857186	517364681	0	75	227		https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/012054/SRR12343494	SRX8843184		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106243	simple	9606	Homo sapiens	GSM4699424							no					GEO	SRA1105212		public	F163E109D1445488531B7DF89990F084	7515C713A594D952EA862A521102A96C	15666613	PEER DMSO Rep3 RNA-seq	Ghent University	9606	SRS7106243	GSM4699424	PEER	T-ALL cell line PEER	T-ALL cell line	DMSO	PEER.DMSO
SAMN15666612	SRR12343495	2020-09-26T11:19:13Z	2020-07-29T09:11:49Z	7150625	538928443	0	75	227		https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/012054/SRR12343495	SRX8843185		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106244	simple	9606	Homo sapiens	GSM4699425							no					GEO	SRA1105212		public	EBFCFD245C66B3FE516C084DC89B2873	DE29F204EDA48BBFDC99878F7D0D5723	15666612	PEER DMSO Rep2 RNA-seq	Ghent University	9606	SRS7106244	GSM4699425	PEER	T-ALL cell line PEER	T-ALL cell line	DMSO	PEER.DMSO
SAMN15666513	SRR12343496	2020-09-26T11:19:13Z	2020-07-29T09:11:07Z	6739238	507992862	0	75	215		https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/012054/SRR12343496	SRX8843186		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106245	simple	9606	Homo sapiens	GSM4699426							no					GEO	SRA1105212		public	CEF60B1B39F4ED4101932D26F115FE8F	41F649BA4DC06BC24AB2D841CD53963D	15666513	TALL1 DAC Rep1 RNA-seq	Ghent University	9606	SRS7106245	GSM4699426	TALL-1	T-ALL cell line TALL-1	T-ALL cell line	Decitabine	TALL_1.Decitabine
SAMN15666512	SRR12343497	2020-09-26T11:19:13Z	2020-07-29T09:12:59Z	11116953	806454724	0	72	346		https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/012054/SRR12343497	SRX8843187		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106246	simple	9606	Homo sapiens	GSM4699427							no					GEO	SRA1105212		public	1F5444D1F4C2A0EB96493ECAFB2B8F82	67C817DD30287EA55CD35CF2C93864D1	15666512	TALL1 DAC Rep2 RNA-seq	Ghent University	9606	SRS7106246	GSM4699427	TALL-1	T-ALL cell line TALL-1	T-ALL cell line	Decitabine	TALL_1.Decitabine
SAMN15666549	SRR12343498	2020-09-26T11:19:13Z	2020-07-29T09:10:49Z	3847366	290001073	0	75	122		https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/012054/SRR12343498	SRX8843188		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106247	simple	9606	Homo sapiens	GSM4699428							no					GEO	SRA1105212		public	F1EFEC6A8019F091A4ECD8037E47A960	5DC5089A4D4B5CE7496E6A3F70C2E1D6	15666549	TALL1 DAC Rep3 RNA-seq	Ghent University	9606	SRS7106247	GSM4699428	TALL-1	T-ALL cell line TALL-1	T-ALL cell line	Decitabine	TALL_1.Decitabine
SAMN15666548	SRR12343499	2020-09-26T11:19:13Z	2020-07-29T09:12:03Z	7360376	555004886	0	75	237		https://sra-download.ncbi.nlm.nih.gov/traces/sra46/SRR/012054/SRR12343499	SRX8843189		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106248	simple	9606	Homo sapiens	GSM4699429							no					GEO	SRA1105212		public	FA28D77DE125B8DE23E1FE3D4122082C	91E61F7E2A5149522FDD26AC1ABF2F80	15666548	TALL1 DMSO Rep1 RNA-seq	Ghent University	9606	SRS7106248	GSM4699429	TALL-1	T-ALL cell line TALL-1	T-ALL cell line	DMSO	TALL_1.DMSO
SAMN15666547	SRR12343500	2020-09-26T11:19:13Z	2020-07-29T09:11:40Z	6831981	515250878	0	75	219		https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/012054/SRR12343500	SRX8843190		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106249	simple	9606	Homo sapiens	GSM4699430							no					GEO	SRA1105212		public	27F9607D43508F378DCB2E21C770B11F	F343ABC618374F770AEB55A648F076CF	15666547	TALL1 DMSO Rep2 RNA-seq	Ghent University	9606	SRS7106249	GSM4699430	TALL-1	T-ALL cell line TALL-1	T-ALL cell line	DMSO	TALL_1.DMSO
SAMN15666546	SRR12343501	2020-09-26T11:19:13Z	2020-07-29T09:11:27Z	8389273	632602158	0	75	275		https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/012054/SRR12343501	SRX8843191		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106250	simple	9606	Homo sapiens	GSM4699431							no					GEO	SRA1105212		public	F106B48B095E19D6C613EF1CEB2833B3	1BD00B7DEE1429E938DC7FE1C25EB274	15666546	TALL1 DMSO Rep3 RNA-seq	Ghent University	9606	SRS7106250	GSM4699431	TALL-1	T-ALL cell line TALL-1	T-ALL cell line	DMSO	TALL_1.DMSO
SAMN15666545	SRR12343502	2020-09-26T11:19:13Z	2020-07-29T09:12:04Z	8181018	616480882	0	75	261		https://sra-download.ncbi.nlm.nih.gov/traces/sra1/SRR/012054/SRR12343502	SRX8843192		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106251	simple	9606	Homo sapiens	GSM4699432							no					GEO	SRA1105212		public	67F4D497418C1E340EA4ED1D6598B89F	755BE2CB811196AB290E137CEE16DC79	15666545	Molt16 DAC Rep1 RNA-seq	Ghent University	9606	SRS7106251	GSM4699432	MOLT-16	T-ALL cell line MOLT-16	T-ALL cell line	Decitabine	MOLT_16.Decitabine
SAMN15666544	SRR12343503	2020-09-26T11:19:13Z	2020-07-29T09:10:47Z	3322655	250458097	0	75	106		https://sra-download.ncbi.nlm.nih.gov/traces/sra80/SRR/012054/SRR12343503	SRX8843193		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106252	simple	9606	Homo sapiens	GSM4699433							no					GEO	SRA1105212		public	82D360F8C001923628EB030F57FD3E79	A66B38AB642615BCC66392FA660594D4	15666544	Molt16 DAC Rep2 RNA-seq	Ghent University	9606	SRS7106252	GSM4699433	MOLT-16	T-ALL cell line MOLT-16	T-ALL cell line	Decitabine	MOLT_16.Decitabine
SAMN15666543	SRR12343504	2020-09-26T11:19:13Z	2020-07-29T09:10:47Z	4012333	302247362	0	75	130		https://sra-download.ncbi.nlm.nih.gov/traces/sra80/SRR/012054/SRR12343504	SRX8843194		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106253	simple	9606	Homo sapiens	GSM4699434							no					GEO	SRA1105212		public	9623C9B50C537B5BDE5ABAB5DD105A20	DDF46D473A64A31C6C2555D43BCF9482	15666543	Molt16 DAC Rep3 RNA-seq	Ghent University	9606	SRS7106253	GSM4699434	MOLT-16	T-ALL cell line MOLT-16	T-ALL cell line	Decitabine	MOLT_16.Decitabine
