accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	tissue	treatment
SAMN15666512	15666512	TALL1 DAC Rep2 RNA-seq	Ghent University	9606	SRS7106246	GSM4699427	TALL-1	T-ALL cell line TALL-1	T-ALL cell line	Decitabine
SAMN15666513	15666513	TALL1 DAC Rep1 RNA-seq	Ghent University	9606	SRS7106245	GSM4699426	TALL-1	T-ALL cell line TALL-1	T-ALL cell line	Decitabine
SAMN15666531	15666531	PER117 Decitabine Rep3 RNA-seq	Ghent University	9606	SRS7106265	GSM4699446	PER-117	T-ALL cell line PER-117	T-ALL cell line	Decitabine
SAMN15666532	15666532	PER117 Decitabine Rep2 RNA-seq	Ghent University	9606	SRS7106264	GSM4699445	PER-117	T-ALL cell line PER-117	T-ALL cell line	Decitabine
SAMN15666533	15666533	PER117 Decitabine Rep1 RNA-seq	Ghent University	9606	SRS7106263	GSM4699444	PER-117	T-ALL cell line PER-117	T-ALL cell line	Decitabine
SAMN15666534	15666534	Loucy DMSO Rep3 RNA-seq	Ghent University	9606	SRS7106262	GSM4699443	Loucy	T-ALL cell line Loucy	T-ALL cell line	DMSO
SAMN15666535	15666535	Loucy DMSO Rep2 RNA-seq	Ghent University	9606	SRS7106261	GSM4699442	Loucy	T-ALL cell line Loucy	T-ALL cell line	DMSO
SAMN15666536	15666536	Loucy DMSO Rep1 RNA-seq	Ghent University	9606	SRS7106260	GSM4699441	Loucy	T-ALL cell line Loucy	T-ALL cell line	DMSO
SAMN15666537	15666537	Loucy DAC Rep3 RNA-seq	Ghent University	9606	SRS7106259	GSM4699440	Loucy	T-ALL cell line Loucy	T-ALL cell line	Decitabine
SAMN15666538	15666538	Loucy DAC Rep2 RNA-seq	Ghent University	9606	SRS7106258	GSM4699439	Loucy	T-ALL cell line Loucy	T-ALL cell line	Decitabine
SAMN15666539	15666539	Loucy DAC Rep1 RNA-seq	Ghent University	9606	SRS7106257	GSM4699438	Loucy	T-ALL cell line Loucy	T-ALL cell line	Decitabine
SAMN15666540	15666540	Molt16 DMSO Rep3 RNA-seq	Ghent University	9606	SRS7106256	GSM4699437	MOLT-16	T-ALL cell line MOLT-16	T-ALL cell line	DMSO
SAMN15666541	15666541	Molt16 DMSO Rep2 RNA-seq	Ghent University	9606	SRS7106254	GSM4699436	MOLT-16	T-ALL cell line MOLT-16	T-ALL cell line	DMSO
SAMN15666542	15666542	Molt16 DMSO Rep1 RNA-seq	Ghent University	9606	SRS7106255	GSM4699435	MOLT-16	T-ALL cell line MOLT-16	T-ALL cell line	DMSO
SAMN15666543	15666543	Molt16 DAC Rep3 RNA-seq	Ghent University	9606	SRS7106253	GSM4699434	MOLT-16	T-ALL cell line MOLT-16	T-ALL cell line	Decitabine
SAMN15666544	15666544	Molt16 DAC Rep2 RNA-seq	Ghent University	9606	SRS7106252	GSM4699433	MOLT-16	T-ALL cell line MOLT-16	T-ALL cell line	Decitabine
SAMN15666545	15666545	Molt16 DAC Rep1 RNA-seq	Ghent University	9606	SRS7106251	GSM4699432	MOLT-16	T-ALL cell line MOLT-16	T-ALL cell line	Decitabine
SAMN15666546	15666546	TALL1 DMSO Rep3 RNA-seq	Ghent University	9606	SRS7106250	GSM4699431	TALL-1	T-ALL cell line TALL-1	T-ALL cell line	DMSO
SAMN15666547	15666547	TALL1 DMSO Rep2 RNA-seq	Ghent University	9606	SRS7106249	GSM4699430	TALL-1	T-ALL cell line TALL-1	T-ALL cell line	DMSO
SAMN15666548	15666548	TALL1 DMSO Rep1 RNA-seq	Ghent University	9606	SRS7106248	GSM4699429	TALL-1	T-ALL cell line TALL-1	T-ALL cell line	DMSO
SAMN15666549	15666549	TALL1 DAC Rep3 RNA-seq	Ghent University	9606	SRS7106247	GSM4699428	TALL-1	T-ALL cell line TALL-1	T-ALL cell line	Decitabine
SAMN15666571	15666571	PER117 DMSO Rep3 RNA-seq	Ghent University	9606	SRS7106267	GSM4699449	PER-117	T-ALL cell line PER-117	T-ALL cell line	DMSO
SAMN15666572	15666572	PER117_DMSO_2 RNA-seq	Ghent University	9606	SRS7106268	GSM4699448	PER-117	T-ALL cell line PER-117	T-ALL cell line	DMSO
SAMN15666573	15666573	PER117 DMSO Rep1 RNA-seq	Ghent University	9606	SRS7106266	GSM4699447	PER-117	T-ALL cell line PER-117	T-ALL cell line	DMSO
SAMN15666612	15666612	PEER DMSO Rep2 RNA-seq	Ghent University	9606	SRS7106244	GSM4699425	PEER	T-ALL cell line PEER	T-ALL cell line	DMSO
SAMN15666613	15666613	PEER DMSO Rep3 RNA-seq	Ghent University	9606	SRS7106243	GSM4699424	PEER	T-ALL cell line PEER	T-ALL cell line	DMSO
SAMN15666614	15666614	PEER DMSO Rep1 RNA-seq	Ghent University	9606	SRS7106242	GSM4699423	PEER	T-ALL cell line PEER	T-ALL cell line	DMSO
SAMN15666615	15666615	PEER DAC Rep3 RNA-seq	Ghent University	9606	SRS7106241	GSM4699422	PEER	T-ALL cell line PEER	T-ALL cell line	Decitabine
SAMN15666616	15666616	PEER DAC Rep2 RNA-seq	Ghent University	9606	SRS7106240	GSM4699421	PEER	T-ALL cell line PEER	T-ALL cell line	Decitabine
SAMN15666617	15666617	PEER DAC Rep1 RNA-seq	Ghent University	9606	SRS7106239	GSM4699420	PEER	T-ALL cell line PEER	T-ALL cell line	Decitabine
