BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	tissue	treatment
SAMN16836836	SRR13085046	2021-11-21T09:53:25Z	2020-11-19T12:29:35Z	24899758	7469927400	24899758	300	2248		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13085/SRR13085046/SRR13085046.lite.1	SRX9531681		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP293252	PRJNA679550	3	679550	SRS7738203	simple	9606	Homo sapiens	GSM4914773							no					GEO	SRA1161380		public	3E64CBA733BEAEDCB01689D692F8B350	28E74A0C42D36ED0787FD920AD40FAC3	16836836	PC9 cells Etoposide 10 µM RNA-seq.rep2	School of Life Sciences, East China Normal University	9606	SRS7738203	GSM4914773	PC9	Lung adenocarcinoma	Lung adenocarcinoma cells	lung	treated with 10 uM Etoposide for 24 hours
SAMN16836837	SRR13085045	2021-11-21T09:53:25Z	2020-11-19T12:25:52Z	24598423	7379526900	24598423	300	2215		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13085/SRR13085045/SRR13085045.lite.1	SRX9531680		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP293252	PRJNA679550	3	679550	SRS7738202	simple	9606	Homo sapiens	GSM4914772							no					GEO	SRA1161380		public	3A36FF8EECA07FAF44A4CDA188CB4BD6	43C31175D6CDDBE113D41522A8C0C262	16836837	PC9 cells Etoposide 10 µM RNA-seq.rep1	School of Life Sciences, East China Normal University	9606	SRS7738202	GSM4914772	PC9	Lung adenocarcinoma	Lung adenocarcinoma cells	lung	treated with 10 uM Etoposide for 24 hours
SAMN16836838	SRR13085044	2021-11-21T09:53:25Z	2020-11-19T12:34:04Z	23552756	7065826800	23552756	300	2189		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13085/SRR13085044/SRR13085044.lite.1	SRX9531679		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP293252	PRJNA679550	3	679550	SRS7738201	simple	9606	Homo sapiens	GSM4914771							no					GEO	SRA1161380		public	D764F10FA4D53D7928DB5C01745E87AA	38344507050EDB36EE07E190DBA8185E	16836838	PC9 cells control RNA-seq.rep3	School of Life Sciences, East China Normal University	9606	SRS7738201	GSM4914771	PC9	Lung adenocarcinoma	Lung adenocarcinoma cells	lung	untreated
SAMN16836839	SRR13085043	2021-11-21T09:53:25Z	2020-11-19T12:30:58Z	28415363	8524608900	28415363	300	2563		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13085/SRR13085043/SRR13085043.lite.1	SRX9531678		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP293252	PRJNA679550	3	679550	SRS7738200	simple	9606	Homo sapiens	GSM4914770							no					GEO	SRA1161380		public	1A7EF555411B7E631E54CBD46276F59C	76C4C25A174B0CB142F8FB38AF180EE0	16836839	PC9 cells control RNA-seq.rep2	School of Life Sciences, East China Normal University	9606	SRS7738200	GSM4914770	PC9	Lung adenocarcinoma	Lung adenocarcinoma cells	lung	untreated
SAMN16836840	SRR13085042	2021-11-21T09:53:25Z	2020-11-19T12:30:14Z	24720648	7416194400	24720648	300	2233		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13085/SRR13085042/SRR13085042.lite.1	SRX9531677		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP293252	PRJNA679550	3	679550	SRS7738199	simple	9606	Homo sapiens	GSM4914769							no					GEO	SRA1161380		public	24832A4D2163988DCEAA18C49AE16B4F	3F5DAEE88CC29AE41BBA6AAC6D83FAD9	16836840	PC9 cells control RNA-seq.rep1	School of Life Sciences, East China Normal University	9606	SRS7738199	GSM4914769	PC9	Lung adenocarcinoma	Lung adenocarcinoma cells	lung	untreated
SAMN16836841	SRR13085047	2021-11-21T09:53:25Z	2020-11-19T12:39:32Z	25608385	7682515500	25608385	300	2311		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13085/SRR13085047/SRR13085047.lite.1	SRX9531682		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP293252	PRJNA679550	3	679550	SRS7738204	simple	9606	Homo sapiens	GSM4914774							no					GEO	SRA1161380		public	61EDD198F029725F561A3F6A310D1973	FD38303ADF5DD99961CD0EBFE804D188	16836841	PC9 cells Etoposide 10 µM RNA-seq.rep3	School of Life Sciences, East China Normal University	9606	SRS7738204	GSM4914774	PC9	Lung adenocarcinoma	Lung adenocarcinoma cells	lung	treated with 10 uM Etoposide for 24 hours
SAMN16836842	SRR13085038	2021-11-21T09:53:24Z	2020-11-19T12:29:56Z	23090843	6927252900	23090843	300	2144		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13085/SRR13085038/SRR13085038.lite.1	SRX9531673		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP293252	PRJNA679550	3	679550	SRS7738195	simple	9606	Homo sapiens	GSM4914765							no					GEO	SRA1161380		public	29E12271525E05596B8E48300CEA9681	8A26B5B80A300AD2CE847B23E9BCF00D	16836842	Capan2 cells control RNA-seq.rep3	School of Life Sciences, East China Normal University	9606	SRS7738195	GSM4914765	Capan2	Pancreatic adenocarcinoma	Pancreatic adenocarcinoma cells	pancreatic	untreated
SAMN16836843	SRR13085037	2021-11-21T09:53:24Z	2020-11-19T12:28:22Z	24357146	7307143800	24357146	300	2189		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13085/SRR13085037/SRR13085037.lite.1	SRX9531672		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP293252	PRJNA679550	3	679550	SRS7738194	simple	9606	Homo sapiens	GSM4914764							no					GEO	SRA1161380		public	437B42B48D561B14E1B14097E37E437A	0884041FEE73160AE3FD8A8C66264EEF	16836843	Capan2 cells control RNA-seq.rep2	School of Life Sciences, East China Normal University	9606	SRS7738194	GSM4914764	Capan2	Pancreatic adenocarcinoma	Pancreatic adenocarcinoma cells	pancreatic	untreated
SAMN16836844	SRR13085036	2021-11-21T09:53:24Z	2020-11-19T12:29:40Z	28218986	8465695800	28218986	300	2576		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13085/SRR13085036/SRR13085036.lite.1	SRX9531671		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP293252	PRJNA679550	3	679550	SRS7738193	simple	9606	Homo sapiens	GSM4914763							no					GEO	SRA1161380		public	9383A2E50B22CDB04E836C16419DCEDF	34F55C7D472D1C9D96B1F1F3D15AAD2F	16836844	Capan2 cells control RNA-seq.rep1	School of Life Sciences, East China Normal University	9606	SRS7738193	GSM4914763	Capan2	Pancreatic adenocarcinoma	Pancreatic adenocarcinoma cells	pancreatic	untreated
SAMN16836845	SRR13085035	2021-11-21T09:53:24Z	2020-11-19T12:34:53Z	34101432	10230429600	34101432	300	3133		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13085/SRR13085035/SRR13085035.lite.1	SRX9531670		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP293252	PRJNA679550	3	679550	SRS7738192	simple	9606	Homo sapiens	GSM4914762							no					GEO	SRA1161380		public	DDD8AA9E1759A7AEA63B611E8C6713E6	BEB6FC1B9A20481E11BB8392AEEB4020	16836845	H661 cells Etoposide 40 µM RNA-seq.rep3	School of Life Sciences, East China Normal University	9606	SRS7738192	GSM4914762	H661	Lung adenocarcinoma	Lung adenocarcinoma cells	lung	treated with 40 uM Etoposide for 24 hours
