BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	genotype	source_name	spike-in	treatment	group
SAMN17151429	SRR13301773	2021-05-23T19:07:18Z	2020-12-24T19:08:19Z	9826158	736961850	0	75	278		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301773/SRR13301773.lite.1	SRX9730695		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923521	simple	9606	Homo sapiens	GSM4987715							no					GEO	SRA1177621		public	15D4E0B33B1038E7F47D297D6C337E90	79E39FBBE204256F7CCFB25DC4B017EA	17151429	THP-1 sgSCR untreated replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923521	GSM4987715	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA	""	Untreated control	THP1.sgSCR.control
SAMN17151430	SRR13301784	2021-05-23T19:07:18Z	2020-12-24T19:12:16Z	7683187	576239025	0	75	219		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301784/SRR13301784.lite.1	SRX9730706		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923532	simple	9606	Homo sapiens	GSM4987726							no					GEO	SRA1177621		public	51BF9E40F86D1A8677847F528B57100D	FF828EB339C528BF6B17609BD3F7E136	17151430	THP-1 sgINTS6 untreated replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923532	GSM4987726	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA	""	Untreated control	THP1.sglNTS6.control
SAMN17151431	SRR13301783	2021-05-23T19:07:18Z	2020-12-24T19:12:09Z	9108283	683121225	0	75	257		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301783/SRR13301783.lite.1	SRX9730705		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923531	simple	9606	Homo sapiens	GSM4987725							no					GEO	SRA1177621		public	64C0E07AF4048DDC45FA18FFE0BC705E	E3010F5CF7B45078AE32FE82314A270C	17151431	THP-1 sgINTS6 untreated replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923531	GSM4987725	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA	""	Untreated control	THP1.sglNTS6.control
SAMN17151432	SRR13301782	2021-05-23T19:07:18Z	2020-12-24T19:11:11Z	7034187	527564025	0	75	198		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301782/SRR13301782.lite.1	SRX9730704		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923530	simple	9606	Homo sapiens	GSM4987724							no					GEO	SRA1177621		public	647411F033B80C28834A33EDD1EBABD8	BEE30CEBB1657C41C8A77D7538258E6D	17151432	THP-1 sgSCR LPS 8 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923530	GSM4987724	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA	""	LPS 1µg/mL 8 hour	THP1.sgSCR.LPS_1ugMl_8h
SAMN17151433	SRR13301781	2021-05-23T19:07:18Z	2020-12-24T19:11:38Z	10518758	788906850	0	75	298		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301781/SRR13301781.lite.1	SRX9730703		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923529	simple	9606	Homo sapiens	GSM4987723							no					GEO	SRA1177621		public	8B282D18FC05F441C0377228D96541FB	DD02E978163C89D63AC1AD17EC8147EA	17151433	THP-1 sgSCR LPS 8 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923529	GSM4987723	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA	""	LPS 1µg/mL 8 hour	THP1.sgSCR.LPS_1ugMl_8h
SAMN17151434	SRR13301780	2021-05-23T19:07:18Z	2020-12-24T19:11:01Z	8682890	651216750	0	75	245		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301780/SRR13301780.lite.1	SRX9730702		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923528	simple	9606	Homo sapiens	GSM4987722							no					GEO	SRA1177621		public	D7E5FA3CBB6CCC2CA8DE5ADB5AECB9F3	37142D411C25F9F8EDD9529E49ADB3B7	17151434	THP-1 sgSCR LPS 4 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923528	GSM4987722	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA	""	LPS 1µg/mL 4 hour	THP1.sgSCR.LPS_1ugMl_4h
SAMN17151435	SRR13301779	2021-05-23T19:07:18Z	2020-12-24T19:10:15Z	8761875	657140625	0	75	248		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301779/SRR13301779.lite.1	SRX9730701		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923527	simple	9606	Homo sapiens	GSM4987721							no					GEO	SRA1177621		public	3EBEFBEA781DE5EBA7D9393C64139DAB	2EAAF3BFCF9CB34969CD2D203FDB5BE5	17151435	THP-1 sgSCR LPS 4 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923527	GSM4987721	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA	""	LPS 1µg/mL 4 hour	THP1.sgSCR.LPS_1ugMl_4h
SAMN17151436	SRR13301778	2021-05-23T19:07:18Z	2020-12-24T19:10:10Z	8668581	650143575	0	75	244		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301778/SRR13301778.lite.1	SRX9730700		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923526	simple	9606	Homo sapiens	GSM4987720							no					GEO	SRA1177621		public	D13E717385634B6EBD7266EC280F7BE9	6F367DA536B0A8F7E0D9751B315A1B83	17151436	THP-1 sgSCR LPS 2 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923526	GSM4987720	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA	""	LPS 1µg/mL 2 hour	THP1.sgSCR.LPS_1ugMl_2h
SAMN17151437	SRR13301777	2021-05-23T19:07:18Z	2020-12-24T19:10:23Z	9862871	739715325	0	75	278		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301777/SRR13301777.lite.1	SRX9730699		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923525	simple	9606	Homo sapiens	GSM4987719							no					GEO	SRA1177621		public	4B86CCBCC7416CB00B0DBA5365A7A781	FA248893616427AE2D4848CC4E26CFE4	17151437	THP-1 sgSCR LPS 2 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923525	GSM4987719	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA	""	LPS 1µg/mL 2 hour	THP1.sgSCR.LPS_1ugMl_2h
SAMN17151438	SRR13301776	2021-05-23T19:07:18Z	2020-12-24T19:08:04Z	8503549	637766175	0	75	240		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301776/SRR13301776.lite.1	SRX9730698		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923524	simple	9606	Homo sapiens	GSM4987718							no					GEO	SRA1177621		public	E872DEC7929DB7CB1B4EAA2102674EC4	88B5D56EF39EA2F2CB0F5A4E057FAFAE	17151438	THP-1 sgSCR LPS 1 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923524	GSM4987718	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA	""	LPS 1µg/mL 1 hour	THP1.sgSCR.LPS_1ugMl_1h
