accession	uid	title	organization	taxonomy	sra	geo	cell line	genotype	source_name	spike-in	treatment
SAMN17151429	17151429	THP-1 sgSCR untreated replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923521	GSM4987715	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA		Untreated control
SAMN17151430	17151430	THP-1 sgINTS6 untreated replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923532	GSM4987726	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA		Untreated control
SAMN17151431	17151431	THP-1 sgINTS6 untreated replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923531	GSM4987725	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA		Untreated control
SAMN17151432	17151432	THP-1 sgSCR LPS 8 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923530	GSM4987724	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA		LPS 1µg/mL 8 hour
SAMN17151433	17151433	THP-1 sgSCR LPS 8 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923529	GSM4987723	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA		LPS 1µg/mL 8 hour
SAMN17151434	17151434	THP-1 sgSCR LPS 4 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923528	GSM4987722	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA		LPS 1µg/mL 4 hour
SAMN17151435	17151435	THP-1 sgSCR LPS 4 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923527	GSM4987721	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA		LPS 1µg/mL 4 hour
SAMN17151436	17151436	THP-1 sgSCR LPS 2 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923526	GSM4987720	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA		LPS 1µg/mL 2 hour
SAMN17151437	17151437	THP-1 sgSCR LPS 2 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923525	GSM4987719	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA		LPS 1µg/mL 2 hour
SAMN17151438	17151438	THP-1 sgSCR LPS 1 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923524	GSM4987718	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA		LPS 1µg/mL 1 hour
SAMN17151439	17151439	THP-1 sgSCR LPS 1 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923523	GSM4987717	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA		LPS 1µg/mL 1 hour
SAMN17151440	17151440	THP-1 sgSCR untreated replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923522	GSM4987716	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA		Untreated control
SAMN17151441	17151441	HT-29 DMSO replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923542	GSM4987736	HT-29 cell line		Colorectal cancer cell line	Drosophila melanogaster spike-in	Untreated control
SAMN17151442	17151442	HT-29 DMSO replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923541	GSM4987735	HT-29 cell line		Colorectal cancer cell line	Drosophila melanogaster spike-in	Untreated control
SAMN17151443	17151443	THP-1 sgINTS6 LPS 8 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923540	GSM4987734	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA		LPS 1µg/mL 8 hour
SAMN17151444	17151444	THP-1 sgINTS6 LPS 8 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923539	GSM4987733	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA		LPS 1µg/mL 8 hour
SAMN17151445	17151445	THP-1 sgINTS6 LPS 4 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923538	GSM4987732	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA		LPS 1µg/mL 4 hour
SAMN17151446	17151446	THP-1 sgINTS6 LPS 4 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923537	GSM4987731	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA		LPS 1µg/mL 4 hour
SAMN17151447	17151447	THP-1 sgINTS6 LPS 2 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923536	GSM4987730	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA		LPS 1µg/mL 2 hour
SAMN17151448	17151448	THP-1 sgINTS6 LPS 2 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923535	GSM4987729	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA		LPS 1µg/mL 2 hour
SAMN17151449	17151449	THP-1 sgINTS6 LPS 1 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923534	GSM4987728	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA		LPS 1µg/mL 1 hour
SAMN17151450	17151450	THP-1 sgINTS6 LPS 1 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923533	GSM4987727	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA		LPS 1µg/mL 1 hour
SAMN17152095	17152095	HT-29 CDK9i + DBK-1154 replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923550	GSM4987744	HT-29 cell line		Colorectal cancer cell line	Drosophila melanogaster spike-in	CDK9i (AZ5576) 170nM 2 hours + DBK-1154 10µM 2 hours 15 minutes
SAMN17152096	17152096	HT-29 DBK-1154 replicate 3	Peter MacCallum Cancer Centre	9606	SRS7923549	GSM4987743	HT-29 cell line		Colorectal cancer cell line	Drosophila melanogaster spike-in	DBK-1154 10µM 2 hours 15 minutes
