accession	uid	title	organization	taxonomy	sra	geo	disease	source_name	tissue	treatment
SAMN19108138	19108138	Colorectal Cancer Cells - HT29_NIVO_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928044	GSM5289931	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 24h
SAMN19108139	19108139	Colorectal Cancer Cells - HT29_ctr_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928043	GSM5289930	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108140	19108140	Colorectal Cancer Cells - HT29_ctr_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928042	GSM5289929	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108141	19108141	Colorectal Cancer Cells - HT29_NIVO+sPDL1_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928041	GSM5289928	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-2 for 6h
SAMN19108142	19108142	Colorectal Cancer Cells - HT29_NIVO+sPDL1_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928040	GSM5289927	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-1 for 6h
SAMN19108143	19108143	Colorectal Cancer Cells - HT29_sPDL1_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928039	GSM5289926	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 6h
SAMN19108144	19108144	Colorectal Cancer Cells - HT29_sPDL1_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928038	GSM5289925	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 6h
SAMN19108145	19108145	Colorectal Cancer Cells - HT29_NIVO_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928037	GSM5289924	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 6h
SAMN19108146	19108146	Colorectal Cancer Cells - HT29_NIVO_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928036	GSM5289923	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 6h
SAMN19108147	19108147	Colorectal Cancer Cells - HT29_ctr_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928035	GSM5289922	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108148	19108148	Colorectal Cancer Cells - HT29_ctr_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928034	GSM5289921	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108149	19108149	Colorectal Cancer Cells - HCT116_sPDL1_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928062	GSM5289949	Colorectal carcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 24h
SAMN19108150	19108150	Colorectal Cancer Cells - HCT116_NIVO_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928061	GSM5289948	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 24h
SAMN19108151	19108151	Colorectal Cancer Cells - HCT116_NIVO_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928060	GSM5289947	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 24h
SAMN19108152	19108152	Colorectal Cancer Cells - HCT116_ctr_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928059	GSM5289946	Colorectal carcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108153	19108153	Colorectal Cancer Cells - HCT116_ctr_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928058	GSM5289945	Colorectal carcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108154	19108154	Colorectal Cancer Cells - HCT116_NIVO+sPDL1_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928057	GSM5289944	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-2 for 6h
SAMN19108155	19108155	Colorectal Cancer Cells - HCT116_NIVO+sPDL1_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928056	GSM5289943	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-1 for 6h
SAMN19108156	19108156	Colorectal Cancer Cells - HCT116_sPDL1_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928055	GSM5289942	Colorectal carcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 6h
