accession	uid	title	organization	taxonomy	sra	geo	age	biomaterial_provider	cell_line	cell_subtype	disease	isolate	sex	tissue	treatment
SAMN19550953	19550953	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_0_1	SRA: SRS9131435	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 0hr #1
SAMN19550954	19550954	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_0_2	SRA: SRS9131608	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 0hr #2
SAMN19550955	19550955	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_1_1	SRA: SRS9131538	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 DMSO 1hr #1
SAMN19550956	19550956	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_1_2	SRA: SRS9131527	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 DMSO 1hr #2
SAMN19550957	19550957	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A2_1_1	SRA: SRS9131516	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 25nM OTS964 1hr #1
SAMN19550958	19550958	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A2_1_2	SRA: SRS9131505	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 25nM OTS964 1hr #2
SAMN19550959	19550959	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A3_1_1	SRA: SRS9131494	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 100nM OTS964 1hr #1
SAMN19550960	19550960	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A3_1_2	SRA: SRS9131483	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 100nM OTS964 1hr #2
SAMN19550961	19550961	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_6_1	SRA: SRS9131472	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 DMSO 6hr #1
SAMN19550962	19550962	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_6_2	SRA: SRS9131461	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 DMSO 6hr #2
SAMN19550963	19550963	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A2_6_1	SRA: SRS9131607	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 25nM OTS964 6hr #1
SAMN19550964	19550964	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A2_6_2	SRA: SRS9131603	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 25nM OTS964 6hr #2
SAMN19550965	19550965	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A3_6_1	SRA: SRS9131600	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 100nM OTS964 6hr #1
SAMN19550966	19550966	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A3_6_2	SRA: SRS9131592	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 100nM OTS964 6hr #2
