BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	age	biomaterial_provider	cell_line	cell_subtype	disease	isolate	sex	tissue	treatment
SAMN19550953	SRR14727674	2022-01-01T03:01:40Z	2021-06-04T04:08:24Z	21339741	6401922300	21339741	300	1855		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14727/SRR14727674/SRR14727674.lite.1	SRX11064509	A0_0_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131435	simple	9606	Homo sapiens	A0_0_1					female		no					COLD SPRING HARBOR	SRA1240524		public	9A2ED2C96FC067C100A3640AB0917DBD	02536D481A01EE7DE35AD275FD2AEF2E	19550953	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_0_1	SRA: SRS9131435	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 0hr #1
SAMN19550954	SRR14727499	2022-01-01T03:01:41Z	2021-06-04T03:39:32Z	21430409	6429122700	21430409	300	1855		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14727/SRR14727499/SRR14727499.lite.1	SRX11064684	A0_0_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131608	simple	9606	Homo sapiens	A0_0_2					female		no					COLD SPRING HARBOR	SRA1240524		public	47B69AF1765DB9D005C0B1042DFE0E35	998B8274A500EC710F2C559CB45397AB	19550954	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_0_2	SRA: SRS9131608	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 0hr #2
SAMN19550955	SRR14727569	2022-01-01T03:01:41Z	2021-06-04T03:42:22Z	20067685	6020305500	20067685	300	1732		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14727/SRR14727569/SRR14727569.lite.1	SRX11064614	A0_1_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131538	simple	9606	Homo sapiens	A0_1_1					female		no					COLD SPRING HARBOR	SRA1240524		public	1A4C8DFA836492FA5EB6C9FFF35FF47F	3BA9BC62860EE6358ADEA7E048B22EDB	19550955	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_1_1	SRA: SRS9131538	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 DMSO 1hr #1
SAMN19550956	SRR14727580	2022-01-01T03:01:41Z	2021-06-04T03:50:38Z	22438687	6731606100	22438687	300	1960		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14727/SRR14727580/SRR14727580.lite.1	SRX11064603	A0_1_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131527	simple	9606	Homo sapiens	A0_1_2					female		no					COLD SPRING HARBOR	SRA1240524		public	E5A9C4CD8D7E126DC9B2393EF13FAA7F	ADA9B4FC7F7C4ACB61172FE8F1EC811B	19550956	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_1_2	SRA: SRS9131527	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 DMSO 1hr #2
SAMN19550957	SRR14727591	2022-01-01T03:01:41Z	2021-06-04T04:05:48Z	22981893	6894567900	22981893	300	1979		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14727/SRR14727591/SRR14727591.lite.1	SRX11064592	A2_1_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131516	simple	9606	Homo sapiens	A2_1_1					female		no					COLD SPRING HARBOR	SRA1240524		public	80105164BF03E1AF500D779CA25B8261	3B472FCBFA79F85DADE98265A3CD299D	19550957	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A2_1_1	SRA: SRS9131516	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 25nM OTS964 1hr #1
SAMN19550958	SRR14727602	2022-01-01T03:01:40Z	2021-06-04T03:58:17Z	26064720	7819416000	26064720	300	2266		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14727/SRR14727602/SRR14727602.lite.1	SRX11064581	A2_1_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131505	simple	9606	Homo sapiens	A2_1_2					female		no					COLD SPRING HARBOR	SRA1240524		public	3FA69EB41963FB40A92B9C7C6C5AB345	E86B61BA8D93D27C512F4B7DE3FB1D42	19550958	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A2_1_2	SRA: SRS9131505	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 25nM OTS964 1hr #2
SAMN19550959	SRR14727613	2022-01-01T03:01:40Z	2021-06-04T03:57:57Z	21874286	6562285800	21874286	300	1899		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14727/SRR14727613/SRR14727613.lite.1	SRX11064570	A3_1_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131494	simple	9606	Homo sapiens	A3_1_1					female		no					COLD SPRING HARBOR	SRA1240524		public	6CFAFB21FDF515E9CD0536D5FF6E11D9	D79D9669251539B3730C11CC877E462A	19550959	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A3_1_1	SRA: SRS9131494	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 100nM OTS964 1hr #1
SAMN19550960	SRR14727624	2022-01-01T03:01:40Z	2021-06-04T03:58:41Z	23835518	7150655400	23835518	300	2058		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14727/SRR14727624/SRR14727624.lite.1	SRX11064559	A3_1_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131483	simple	9606	Homo sapiens	A3_1_2					female		no					COLD SPRING HARBOR	SRA1240524		public	4F2A56DCA19C627626A930005493796A	852C3F9AC04530A4245EA658DEDAEDB4	19550960	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A3_1_2	SRA: SRS9131483	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 100nM OTS964 1hr #2
SAMN19550961	SRR14727635	2022-01-01T03:01:40Z	2021-06-04T04:06:58Z	23329766	6998929800	23329766	300	2102		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14727/SRR14727635/SRR14727635.lite.1	SRX11064548	A0_6_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131472	simple	9606	Homo sapiens	A0_6_1					female		no					COLD SPRING HARBOR	SRA1240524		public	7B548FD2C59F34A673B00AC6195E2E92	C7C17CC2A20B9483703B253BCF033AE6	19550961	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_6_1	SRA: SRS9131472	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 DMSO 6hr #1
SAMN19550962	SRR14727646	2022-01-01T03:01:40Z	2021-06-04T04:00:41Z	21146416	6343924800	21146416	300	1973		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14727/SRR14727646/SRR14727646.lite.1	SRX11064537	A0_6_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131461	simple	9606	Homo sapiens	A0_6_2					female		no					COLD SPRING HARBOR	SRA1240524		public	C152B746B74AC1FA850B0D8191C17323	1DCB8FA3A84AD028C4D3705F46B5ED79	19550962	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_6_2	SRA: SRS9131461	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 DMSO 6hr #2
SAMN19550963	SRR14727500	2022-01-01T03:01:41Z	2021-06-04T03:43:51Z	21978274	6593482200	21978274	300	1985		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14727/SRR14727500/SRR14727500.lite.1	SRX11064683	A2_6_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131607	simple	9606	Homo sapiens	A2_6_1					female		no					COLD SPRING HARBOR	SRA1240524		public	53348AB5038513A4C645795BE4529865	24E0464D28290A4AA6E3329C012957A1	19550963	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A2_6_1	SRA: SRS9131607	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 25nM OTS964 6hr #1
SAMN19550964	SRR14727504	2022-01-01T03:01:41Z	2021-06-04T03:40:58Z	22498705	6749611500	22498705	300	2050		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14727/SRR14727504/SRR14727504.lite.1	SRX11064679	A2_6_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131603	simple	9606	Homo sapiens	A2_6_2					female		no					COLD SPRING HARBOR	SRA1240524		public	453C3CACC3614BD01FA56C90B2353716	FE5F1C7497B107C1D4815192E407272E	19550964	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A2_6_2	SRA: SRS9131603	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 25nM OTS964 6hr #2
SAMN19550965	SRR14727509	2022-01-01T03:01:41Z	2021-06-04T03:45:00Z	24529893	7358967900	24529893	300	2232		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14727/SRR14727509/SRR14727509.lite.1	SRX11064674	A3_6_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131600	simple	9606	Homo sapiens	A3_6_1					female		no					COLD SPRING HARBOR	SRA1240524		public	86671C264FF1B211781B82F6CB68175D	3DFD776EDEDEDFC716CD97AD4AEA26C9	19550965	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A3_6_1	SRA: SRS9131600	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 100nM OTS964 6hr #1
SAMN19550966	SRR14727516	2022-01-01T03:01:41Z	2021-06-04T03:51:20Z	21248827	6374648100	21248827	300	1942		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14727/SRR14727516/SRR14727516.lite.1	SRX11064667	A3_6_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131592	simple	9606	Homo sapiens	A3_6_2					female		no					COLD SPRING HARBOR	SRA1240524		public	182B05274C929132BE9716E7E53499F0	7E02F23B0C73A391EBD7FB2E19888DC3	19550966	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A3_6_2	SRA: SRS9131592	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 100nM OTS964 6hr #2
SAMN19550967	SRR14727527	2022-01-01T03:01:41Z	2021-06-04T03:59:38Z	20701147	6210344100	20701147	300	1885		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14727/SRR14727527/SRR14727527.lite.1	SRX11064656	A0_24_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131580	simple	9606	Homo sapiens	A0_24_1					female		no					COLD SPRING HARBOR	SRA1240524		public	A544510255D2A0A3096BB9BFD7D9C17C	BC6C9A46400CF14CC01E8D4D5570F1C6	19550967	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_24_1	SRA: SRS9131580	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 DMSO 24hr #1
SAMN19550968	SRR14727538	2022-01-01T03:01:41Z	2021-06-04T03:38:53Z	20469333	6140799900	20469333	300	1860		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14727/SRR14727538/SRR14727538.lite.1	SRX11064645	A0_24_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131569	simple	9606	Homo sapiens	A0_24_2					female		no					COLD SPRING HARBOR	SRA1240524		public	DE3FBBB8BA87F56A96A1F92853E050FE	2076A69D2EFE26EA10F431431339DDDB	19550968	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_24_2	SRA: SRS9131569	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 DMSO 24hr #2
SAMN19550969	SRR14727549	2022-01-01T03:01:41Z	2021-06-04T03:39:21Z	20885703	6265710900	20885703	300	1901		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR014/14727/SRR14727549/SRR14727549.lite.1	SRX11064634	A2_24_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131558	simple	9606	Homo sapiens	A2_24_1					female		no					COLD SPRING HARBOR	SRA1240524		public	F64198ECBEF0717FA68EED158D9FA4D6	C0339F312D574C0703D5EE342B2D0C31	19550969	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A2_24_1	SRA: SRS9131558	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 25nM OTS964 24hr #1
SAMN19550970	SRR14727560	2022-01-01T03:01:41Z	2021-06-04T03:49:29Z	20996383	6298914900	20996383	300	1900		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR014/14727/SRR14727560/SRR14727560.lite.1	SRX11064623	A2_24_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131547	simple	9606	Homo sapiens	A2_24_2					female		no					COLD SPRING HARBOR	SRA1240524		public	A2D8980734A5E11A83CDD73410EC4344	38853DC5EC582D691BEF491900E26384	19550970	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A2_24_2	SRA: SRS9131547	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 25nM OTS964 24hr #2
SAMN19550971	SRR14727567	2022-01-01T03:01:41Z	2021-06-04T03:43:37Z	25527939	7658381700	25527939	300	2323		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR014/14727/SRR14727567/SRR14727567.lite.1	SRX11064616	A3_24_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131540	simple	9606	Homo sapiens	A3_24_1					female		no					COLD SPRING HARBOR	SRA1240524		public	CC05AB0B25E27053D27ABCD961E6EAF6	9899B5D5B53A0CA1E89BD93AFEF91E60	19550971	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A3_24_1	SRA: SRS9131540	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 100nM OTS964 24hr #1
