BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	compound	genotype	source_name	time course	group
SAMN20169164	SRR15100696	2021-07-17T08:28:40Z	2021-07-12T10:57:24Z	5923944	296197200	0	50	106		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100696/SRR15100696.lite.1	SRX11410495		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454130	simple	9606	Homo sapiens	GSM5436579							no					GEO	SRA1257618		public	7AD481689CDDDF20A51AB697D9FEB246	237E4D4023F0413897917AE1330F24FF	20169164	SLFN11_KO1_100nM_Gem_6h_29	AstraZeneca	9606	SRS9454130	GSM5436579	Gem	KO 1	DU145 SLFN11 knockout	6h	DU145.SLFN11.KO.1.Gem.100nM.6h
SAMN20169164	SRR15100697	2021-07-17T08:28:40Z	2021-07-12T11:02:07Z	6535079	326753950	0	50	118		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100697/SRR15100697.lite.1	SRX11410495		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454130	simple	9606	Homo sapiens	GSM5436579							no					GEO	SRA1257618		public	C8EC3DEC3575522A41DDB48D36AAE909	DE9AE31A99FBC0AE6368B5FB387B15E5	20169164	SLFN11_KO1_100nM_Gem_6h_29	AstraZeneca	9606	SRS9454130	GSM5436579	Gem	KO 1	DU145 SLFN11 knockout	6h	DU145.SLFN11.KO.1.Gem.100nM.6h
SAMN20169164	SRR15100698	2021-07-17T08:28:40Z	2021-07-12T10:52:39Z	6250656	312532800	0	50	113		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100698/SRR15100698.lite.1	SRX11410495		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454130	simple	9606	Homo sapiens	GSM5436579							no					GEO	SRA1257618		public	E4F69D64A03E007D03A91273F8657CED	18FAE07BAC37F5551820717D2937B53B	20169164	SLFN11_KO1_100nM_Gem_6h_29	AstraZeneca	9606	SRS9454130	GSM5436579	Gem	KO 1	DU145 SLFN11 knockout	6h	DU145.SLFN11.KO.1.Gem.100nM.6h
SAMN20169164	SRR15100699	2021-07-17T08:28:40Z	2021-07-12T10:59:52Z	6112752	305637600	0	50	110		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100699/SRR15100699.lite.1	SRX11410495		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454130	simple	9606	Homo sapiens	GSM5436579							no					GEO	SRA1257618		public	71D6A9450336D730E7E578CC81F5D885	DAEC76214DFD9F891F634FE6D5C771A6	20169164	SLFN11_KO1_100nM_Gem_6h_29	AstraZeneca	9606	SRS9454130	GSM5436579	Gem	KO 1	DU145 SLFN11 knockout	6h	DU145.SLFN11.KO.1.Gem.100nM.6h
SAMN20169164	SRR15100700	2021-07-17T08:28:40Z	2021-07-12T11:22:39Z	8933204	446660200	0	50	159		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100700/SRR15100700.lite.1	SRX11410495		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454130	simple	9606	Homo sapiens	GSM5436579							no					GEO	SRA1257618		public	EF678B12D4996066F4AC27F7A905C994	BB8F8467A3DC60099F579E04C9DE6726	20169164	SLFN11_KO1_100nM_Gem_6h_29	AstraZeneca	9606	SRS9454130	GSM5436579	Gem	KO 1	DU145 SLFN11 knockout	6h	DU145.SLFN11.KO.1.Gem.100nM.6h
SAMN20169165	SRR15100691	2021-07-17T08:28:40Z	2021-07-12T11:07:19Z	7755118	387755900	0	50	140		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100691/SRR15100691.lite.1	SRX11410494		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454129	simple	9606	Homo sapiens	GSM5436578							no					GEO	SRA1257618		public	633293C02DFBEEC9F211BACC2CA5DA33	2EEE8FF03A6F661A37DFC96A8E5E89F2	20169165	SLFN11_KO1_100nM_Gem_6h_17	AstraZeneca	9606	SRS9454129	GSM5436578	Gem	KO 1	DU145 SLFN11 knockout	6h	DU145.SLFN11.KO.1.Gem.100nM.6h
SAMN20169165	SRR15100692	2021-07-17T08:28:40Z	2021-07-12T11:11:35Z	7720861	386043050	0	50	139		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100692/SRR15100692.lite.1	SRX11410494		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454129	simple	9606	Homo sapiens	GSM5436578							no					GEO	SRA1257618		public	DB720E0E1530BE93D2D856DB379DBE81	81BB4854D11B16084B1D3F716342CE0A	20169165	SLFN11_KO1_100nM_Gem_6h_17	AstraZeneca	9606	SRS9454129	GSM5436578	Gem	KO 1	DU145 SLFN11 knockout	6h	DU145.SLFN11.KO.1.Gem.100nM.6h
SAMN20169165	SRR15100693	2021-07-17T08:28:40Z	2021-07-12T11:13:21Z	8411791	420589550	0	50	151		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100693/SRR15100693.lite.1	SRX11410494		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454129	simple	9606	Homo sapiens	GSM5436578							no					GEO	SRA1257618		public	60A758C88891221F0BC7D400AA0996E3	250FE9FA69BD0C268880696E19324978	20169165	SLFN11_KO1_100nM_Gem_6h_17	AstraZeneca	9606	SRS9454129	GSM5436578	Gem	KO 1	DU145 SLFN11 knockout	6h	DU145.SLFN11.KO.1.Gem.100nM.6h
SAMN20169165	SRR15100694	2021-07-17T08:28:40Z	2021-07-12T11:13:23Z	7960370	398018500	0	50	144		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100694/SRR15100694.lite.1	SRX11410494		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454129	simple	9606	Homo sapiens	GSM5436578							no					GEO	SRA1257618		public	0424A6BE106741C8BF140238A7B4F400	15BDCA83A15EB7CD3066A892935F7E6D	20169165	SLFN11_KO1_100nM_Gem_6h_17	AstraZeneca	9606	SRS9454129	GSM5436578	Gem	KO 1	DU145 SLFN11 knockout	6h	DU145.SLFN11.KO.1.Gem.100nM.6h
SAMN20169165	SRR15100695	2021-07-17T08:28:40Z	2021-07-12T11:30:45Z	11668156	583407800	0	50	208		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100695/SRR15100695.lite.1	SRX11410494		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454129	simple	9606	Homo sapiens	GSM5436578							no					GEO	SRA1257618		public	6E24AF92D97A9F1232192AF1168777CB	493F563FBDB6FEE45462B5C70DD54CF5	20169165	SLFN11_KO1_100nM_Gem_6h_17	AstraZeneca	9606	SRS9454129	GSM5436578	Gem	KO 1	DU145 SLFN11 knockout	6h	DU145.SLFN11.KO.1.Gem.100nM.6h
