accession	uid	title	organization	taxonomy	sra	geo	compound	genotype	source_name	time course
SAMN20169164	20169164	SLFN11_KO1_100nM_Gem_6h_29	AstraZeneca	9606	SRS9454130	GSM5436579	Gem	KO 1	DU145 SLFN11 knockout	6h
SAMN20169165	20169165	SLFN11_KO1_100nM_Gem_6h_17	AstraZeneca	9606	SRS9454129	GSM5436578	Gem	KO 1	DU145 SLFN11 knockout	6h
SAMN20169166	20169166	SLFN11_KO1_100nM_Gem_24h_35	AstraZeneca	9606	SRS9454128	GSM5436577	Gem	KO 1	DU145 SLFN11 knockout	24h
SAMN20169167	20169167	SLFN11_KO1_100nM_Gem_24h_23	AstraZeneca	9606	SRS9454127	GSM5436576	Gem	KO 1	DU145 SLFN11 knockout	24h
SAMN20169168	20169168	SLFN11_KO1_100nM_Gem_24h_11	AstraZeneca	9606	SRS9454126	GSM5436575	Gem	KO 1	DU145 SLFN11 knockout	24h
SAMN20169184	20169184	SLFN11_KO2_cntrl_6h_15	AstraZeneca	9606	SRS9454147	GSM5436596	cntrl	KO 2	DU145 SLFN11 knockout	6h
SAMN20169185	20169185	SLFN11_KO2_cntrl_24h_9	AstraZeneca	9606	SRS9454146	GSM5436595	cntrl	KO 2	DU145 SLFN11 knockout	24h
SAMN20169186	20169186	SLFN11_KO2_cntrl_24h_33	AstraZeneca	9606	SRS9454145	GSM5436594	cntrl	KO 2	DU145 SLFN11 knockout	24h
SAMN20169187	20169187	SLFN11_KO2_100nM_Gem_6h_6	AstraZeneca	9606	SRS9454143	GSM5436592	Gem	KO 2	DU145 SLFN11 knockout	6h
SAMN20169188	20169188	SLFN11_KO2_100nM_Gem_6h_30	AstraZeneca	9606	SRS9454142	GSM5436591	Gem	KO 2	DU145 SLFN11 knockout	6h
SAMN20169189	20169189	SLFN11_KO2_100nM_Gem_6h_18	AstraZeneca	9606	SRS9454141	GSM5436590	Gem	KO 2	DU145 SLFN11 knockout	6h
SAMN20169190	20169190	SLFN11_KO2_100nM_Gem_24h_36	AstraZeneca	9606	SRS9454140	GSM5436589	Gem	KO 2	DU145 SLFN11 knockout	24h
SAMN20169191	20169191	SLFN11_KO2_100nM_Gem_24h_24	AstraZeneca	9606	SRS9454139	GSM5436588	Gem	KO 2	DU145 SLFN11 knockout	24h
SAMN20169192	20169192	SLFN11_KO2_100nM_Gem_24h_12	AstraZeneca	9606	SRS9454138	GSM5436587	Gem	KO 2	DU145 SLFN11 knockout	24h
SAMN20169193	20169193	SLFN11_KO1_cntrl_6h_26	AstraZeneca	9606	SRS9454137	GSM5436586	cntrl	KO 1	DU145 SLFN11 knockout	6h
SAMN20169194	20169194	SLFN11_KO1_cntrl_6h_2	AstraZeneca	9606	SRS9454136	GSM5436585	cntrl	KO 1	DU145 SLFN11 knockout	6h
SAMN20169195	20169195	SLFN11_KO1_cntrl_6h_14	AstraZeneca	9606	SRS9454135	GSM5436584	cntrl	KO 1	DU145 SLFN11 knockout	6h
SAMN20169196	20169196	SLFN11_KO1_cntrl_24h_8	AstraZeneca	9606	SRS9454134	GSM5436583	cntrl	KO 1	DU145 SLFN11 knockout	24h
SAMN20169197	20169197	SLFN11_KO1_cntrl_24h_32	AstraZeneca	9606	SRS9454133	GSM5436582	cntrl	KO 1	DU145 SLFN11 knockout	24h
SAMN20169198	20169198	SLFN11_KO1_cntrl_24h_20	AstraZeneca	9606	SRS9454132	GSM5436581	cntrl	KO 1	DU145 SLFN11 knockout	24h
SAMN20169199	20169199	SLFN11_KO1_100nM_Gem_6h_5	AstraZeneca	9606	SRS9454131	GSM5436580	Gem	KO 1	DU145 SLFN11 knockout	6h
SAMN20169200	20169200	SLFN11_WT_cntrl_6h_13	AstraZeneca	9606	SRS9454160	GSM5436609	cntrl	WT	DU145 wild type	6h
SAMN20169201	20169201	SLFN11_WT_cntrl_6h_1	AstraZeneca	9606	SRS9454159	GSM5436608	cntrl	WT	DU145 wild type	6h
SAMN20169202	20169202	SLFN11_WT_cntrl_24h_7	AstraZeneca	9606	SRS9454158	GSM5436607	cntrl	WT	DU145 wild type	24h
SAMN20169203	20169203	SLFN11_WT_cntrl_24h_31	AstraZeneca	9606	SRS9454157	GSM5436606	cntrl	WT	DU145 wild type	24h
SAMN20169204	20169204	SLFN11_WT_cntrl_24h_19	AstraZeneca	9606	SRS9454156	GSM5436605	cntrl	WT	DU145 wild type	24h
SAMN20169205	20169205	SLFN11_WT_100nM_Gem_6h_4	AstraZeneca	9606	SRS9454155	GSM5436604	Gem	WT	DU145 wild type	6h
SAMN20169206	20169206	SLFN11_WT_100nM_Gem_6h_28	AstraZeneca	9606	SRS9454154	GSM5436603	Gem	WT	DU145 wild type	6h
SAMN20169207	20169207	SLFN11_WT_100nM_Gem_6h_16	AstraZeneca	9606	SRS9454153	GSM5436602	Gem	WT	DU145 wild type	6h
SAMN20169208	20169208	SLFN11_WT_100nM_Gem_24h_34	AstraZeneca	9606	SRS9454152	GSM5436601	Gem	WT	DU145 wild type	24h
SAMN20169209	20169209	SLFN11_WT_100nM_Gem_24h_22	AstraZeneca	9606	SRS9454151	GSM5436600	Gem	WT	DU145 wild type	24h
SAMN20169210	20169210	SLFN11_WT_100nM_Gem_24h_10	AstraZeneca	9606	SRS9454150	GSM5436599	Gem	WT	DU145 wild type	24h
SAMN20169211	20169211	SLFN11_KO2_cntrl_6h_3	AstraZeneca	9606	SRS9454149	GSM5436598	cntrl	KO 2	DU145 SLFN11 knockout	6h
SAMN20169212	20169212	SLFN11_KO2_cntrl_6h_27	AstraZeneca	9606	SRS9454148	GSM5436597	cntrl	KO 2	DU145 SLFN11 knockout	6h
SAMN20169213	20169213	SLFN11_KO2_cntrl_24h_21	AstraZeneca	9606	SRS9454144	GSM5436593	cntrl	KO 2	DU145 SLFN11 knockout	24h
SAMN20169214	20169214	SLFN11_WT_cntrl_6h_25	AstraZeneca	9606	SRS9454161	GSM5436610	cntrl	WT	DU145 wild type	6h
