BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cancer	cell line	source_name	treatment
SAMN21597626	SRR16042008	2022-11-01T11:16:24Z	2021-09-24T11:28:55Z	28832823	2162461725	0	75	862		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR016/16042/SRR16042008/SRR16042008.1	SRX12328730		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP338577	PRJNA766024		766024	SRS10301163	simple	9606	Homo sapiens	GSM5596652							no					GEO	SRA1299764		public	BF573F32FDD9E15AE69BB02FA0C60E38	7C70BD5FCF3F74D05FD5A4B502C3A085	21597626	A375_Ctl_rep1	Institute for Research in Immunology and Cance	9606	SRS10301163	GSM5596652	melanoma cell line	A375	1A	DMSO_6H
SAMN21597627	SRR16042009	2022-11-01T11:16:24Z	2021-09-24T11:27:06Z	26862859	2014714425	0	75	802		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR016/16042/SRR16042009/SRR16042009.1	SRX12328731		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP338577	PRJNA766024		766024	SRS10301162	simple	9606	Homo sapiens	GSM5596653							no					GEO	SRA1299764		public	13EBA9B58E3D84E9807FCB75ADF03B1F	C63F6E55F6CB98DFFB2CEF37C999A7DA	21597627	A375_Ctl_rep2	Institute for Research in Immunology and Cance	9606	SRS10301162	GSM5596653	melanoma cell line	A375	1B	DMSO_6H
SAMN21597628	SRR16042010	2022-11-01T11:16:24Z	2021-09-24T11:27:04Z	23000773	1725057975	0	75	688		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR016/16042/SRR16042010/SRR16042010.1	SRX12328732		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP338577	PRJNA766024		766024	SRS10301164	simple	9606	Homo sapiens	GSM5596654							no					GEO	SRA1299764		public	6D698A86EAF9933CC499390A24EFC228	8C142278F20A2A3FE82589616A95B436	21597628	A375_Ctl_rep3	Institute for Research in Immunology and Cance	9606	SRS10301164	GSM5596654	melanoma cell line	A375	1C	DMSO_6H
SAMN21597629	SRR16042011	2022-11-01T11:16:24Z	2021-09-24T11:28:25Z	25541539	1915615425	0	75	768		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16042/SRR16042011/SRR16042011.lite.1	SRX12328733		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP338577	PRJNA766024		766024	SRS10301167	simple	9606	Homo sapiens	GSM5596655							no					GEO	SRA1299764		public	F5DC215AB8B350602C68B59219326927	D14FDE5326159D7D178397F7A25AA51A	21597629	A375_THZ531_rep1	Institute for Research in Immunology and Cance	9606	SRS10301167	GSM5596655	melanoma cell line	A375	2A	THZ531_500nM_6H
SAMN21597630	SRR16042012	2022-11-01T11:16:24Z	2021-09-24T11:26:39Z	20004013	1500300975	0	75	608		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR016/16042/SRR16042012/SRR16042012.lite.1	SRX12328734		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP338577	PRJNA766024		766024	SRS10301165	simple	9606	Homo sapiens	GSM5596656							no					GEO	SRA1299764		public	29C9B6E108C06D2D1E8B98DCC80F4768	0E593D526213ECFE460963D03429E956	21597630	A375_THZ531_rep2	Institute for Research in Immunology and Cance	9606	SRS10301165	GSM5596656	melanoma cell line	A375	2B	THZ531_500nM_6H
SAMN21597631	SRR16042013	2022-11-01T11:16:24Z	2021-09-24T11:30:03Z	29307628	2198072100	0	75	876		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR016/16042/SRR16042013/SRR16042013.1	SRX12328735		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP338577	PRJNA766024		766024	SRS10301166	simple	9606	Homo sapiens	GSM5596657							no					GEO	SRA1299764		public	3A8FC2E2778DF30330B26F2E5AAA5405	9E058B3EA2C6A38F1A38949EC050C02B	21597631	A375_THZ531_rep3	Institute for Research in Immunology and Cance	9606	SRS10301166	GSM5596657	melanoma cell line	A375	2C	THZ531_500nM_6H
SAMN21597632	SRR16042014	2022-11-01T11:16:24Z	2021-09-24T11:32:06Z	29586448	2218983600	0	75	881		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR016/16042/SRR16042014/SRR16042014.1	SRX12328736		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP338577	PRJNA766024		766024	SRS10301169	simple	9606	Homo sapiens	GSM5596658							no					GEO	SRA1299764		public	8CEE1F0D8ADE29717D05B9877E7B5C69	0973472B9686F21B8EC7A4AE7BBFC0DF	21597632	Colo829_Ctl_rep1	Institute for Research in Immunology and Cance	9606	SRS10301169	GSM5596658	melanoma cell line	Colo829	4A	DMSO_6H
SAMN21597633	SRR16042015	2022-11-01T11:16:24Z	2021-09-24T11:29:40Z	29384224	2203816800	0	75	874		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR016/16042/SRR16042015/SRR16042015.1	SRX12328737		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP338577	PRJNA766024		766024	SRS10301168	simple	9606	Homo sapiens	GSM5596659							no					GEO	SRA1299764		public	861FDE49964295A54D97449DF0BA030B	69BB100E4D122054C6D3D0259C4AA3A7	21597633	Colo829_Ctl_rep2	Institute for Research in Immunology and Cance	9606	SRS10301168	GSM5596659	melanoma cell line	Colo829	4B	DMSO_6H
SAMN21597634	SRR16042016	2022-11-01T11:16:24Z	2021-09-24T11:29:59Z	28242355	2118176625	0	75	842		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR016/16042/SRR16042016/SRR16042016.lite.1	SRX12328738		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP338577	PRJNA766024		766024	SRS10301173	simple	9606	Homo sapiens	GSM5596660							no					GEO	SRA1299764		public	47313AD4EE12043FCB3609798BE3EC6A	669A516420C7B3FD559FAB7F83FAE9BF	21597634	Colo829_Ctl_rep3	Institute for Research in Immunology and Cance	9606	SRS10301173	GSM5596660	melanoma cell line	Colo829	4C	DMSO_6H
SAMN21597635	SRR16042017	2022-11-01T11:16:24Z	2021-09-24T11:31:03Z	28268436	2120132700	0	75	843		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR016/16042/SRR16042017/SRR16042017.1	SRX12328739		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP338577	PRJNA766024		766024	SRS10301170	simple	9606	Homo sapiens	GSM5596661							no					GEO	SRA1299764		public	18D5C2A33A344AB272B697CB9679F095	8494EB290F8480CAED4CC6386AFD87D3	21597635	Colo829_THZ531_rep1	Institute for Research in Immunology and Cance	9606	SRS10301170	GSM5596661	melanoma cell line	Colo829	5A	THZ531_500nM_6H
SAMN21597636	SRR16042018	2022-11-01T11:16:24Z	2021-09-24T11:28:51Z	29104230	2182817250	0	75	868		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR016/16042/SRR16042018/SRR16042018.1	SRX12328740		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP338577	PRJNA766024		766024	SRS10301171	simple	9606	Homo sapiens	GSM5596662							no					GEO	SRA1299764		public	34CD73E456F3F160FE042E6D4E9A2A28	10A6E767F94BB82C9359BD904248EE1A	21597636	Colo829_THZ531_rep2	Institute for Research in Immunology and Cance	9606	SRS10301171	GSM5596662	melanoma cell line	Colo829	5B	THZ531_500nM_6H
SAMN21597637	SRR16042019	2022-11-01T11:16:24Z	2021-09-24T11:29:05Z	31112578	2333443350	0	75	938		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR016/16042/SRR16042019/SRR16042019.lite.1	SRX12328741		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP338577	PRJNA766024		766024	SRS10301172	simple	9606	Homo sapiens	GSM5596663							no					GEO	SRA1299764		public	C0365E9A179D2ABDB2FD74C023B20540	1819929D5A8BF40A0620CB164773371E	21597637	Colo829_THZ531_rep3	Institute for Research in Immunology and Cance	9606	SRS10301172	GSM5596663	melanoma cell line	Colo829	5C	THZ531_500nM_6H
