BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	genotype	replicate	source_name	treatment	group
SAMN22513018	SRR16541083	2022-07-19T14:36:25Z	2021-10-22T17:00:47Z	19524919	1470088823	0	75	582		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR016/16541/SRR16541083/SRR16541083.lite.1	SRX12743675	GSM5651648	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691892	simple	9606	Homo sapiens	GSM5651648							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	DF36E88A042A09AE8C1B5A13385D5BD3	9C1B9900620881A08F553BFE23B7C62C	22513018	ATRX KO cells, Etoposide treated, replicate 3	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691892	GSM5651648	U87 glioblastoma cells	ATRX KO	3	U87 glioblastoma cells	etoposide	ATRX.KO.etoposide
SAMN22513019	SRR16541084	2022-07-19T14:36:25Z	2021-10-22T17:00:42Z	21025628	1582365461	0	75	630		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16541/SRR16541084/SRR16541084.lite.1	SRX12743674	GSM5651647	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691889	simple	9606	Homo sapiens	GSM5651647							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	806BB159B66F2A71577538DB9148F0C1	A1957D7E869F8A02C129F24A8B8E7099	22513019	ATRX KO cells, Etoposide treated, replicate 2	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691889	GSM5651647	U87 glioblastoma cells	ATRX KO	2	U87 glioblastoma cells	etoposide	ATRX.KO.etoposide
SAMN22513020	SRR16541085	2022-07-19T14:36:25Z	2021-10-22T17:00:01Z	18708013	1406664354	0	75	559		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16541/SRR16541085/SRR16541085.lite.1	SRX12743673	GSM5651646	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691888	simple	9606	Homo sapiens	GSM5651646							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	329D443C206DBD9984F673794EAF662E	6465F0C53BDC0D5019E2DA8A73BEABEF	22513020	ATRX KO cells, Etoposide treated, replicate 1	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691888	GSM5651646	U87 glioblastoma cells	ATRX KO	1	U87 glioblastoma cells	etoposide	ATRX.KO.etoposide
SAMN22513021	SRR16541086	2022-07-19T14:36:25Z	2021-10-22T17:00:19Z	20105969	1512596263	0	75	598		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16541/SRR16541086/SRR16541086.lite.1	SRX12743672	GSM5651645	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691886	simple	9606	Homo sapiens	GSM5651645							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	71F41DCB967F56DA40178782336AD62A	FE70CC63D8219BB15E0645735750B217	22513021	ATRX KO cells, untreated, replicate 3	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691886	GSM5651645	U87 glioblastoma cells	ATRX KO	3	U87 glioblastoma cells	control	ATRX.KO.control
SAMN22513022	SRR16541087	2022-07-19T14:36:25Z	2021-10-22T17:01:11Z	18529937	1394426073	0	75	550		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16541/SRR16541087/SRR16541087.lite.1	SRX12743671	GSM5651644	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691885	simple	9606	Homo sapiens	GSM5651644							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	BE47B93F887C896B10C736D92441D565	99C30A5F050FC48639DD20A462903F09	22513022	ATRX KO cells, untreated, replicate 2	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691885	GSM5651644	U87 glioblastoma cells	ATRX KO	2	U87 glioblastoma cells	control	ATRX.KO.control
SAMN22513023	SRR16541088	2022-07-19T14:36:25Z	2021-10-22T17:01:13Z	18151591	1365538408	0	75	541		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16541/SRR16541088/SRR16541088.lite.1	SRX12743670	GSM5651643	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691884	simple	9606	Homo sapiens	GSM5651643							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	7EF6C4786CEF36F0D5112DE39ED128CD	5D13D636A5724525925A246910EB8085	22513023	ATRX KO cells, untreated, replicate 1	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691884	GSM5651643	U87 glioblastoma cells	ATRX KO	1	U87 glioblastoma cells	control	ATRX.KO.control
SAMN22513024	SRR16541089	2022-07-19T14:36:25Z	2021-10-22T17:01:55Z	17012438	1279372977	0	75	512		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16541/SRR16541089/SRR16541089.lite.1	SRX12743669	GSM5651642	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691883	simple	9606	Homo sapiens	GSM5651642							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	3C43D2374E4A85916C344EB872BDE219	DF1D71CCE87C337032F74E40A8F0123F	22513024	ATRX WT cells, Etoposide treated, replicate 3	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691883	GSM5651642	U87 glioblastoma cells	WT	3	U87 glioblastoma cells	etoposide	WT.etoposide
SAMN22513025	SRR16541090	2022-07-19T14:36:25Z	2021-10-22T17:01:05Z	17584894	1323101832	0	75	529		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR016/16541/SRR16541090/SRR16541090.lite.1	SRX12743668	GSM5651641	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691882	simple	9606	Homo sapiens	GSM5651641							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	B6B42D860C6854BCE8961810541779BD	353B3C07A55411DA9C8BAD7444B2D39E	22513025	ATRX WT cells, Etoposide treated, replicate 2	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691882	GSM5651641	U87 glioblastoma cells	WT	2	U87 glioblastoma cells	etoposide	WT.etoposide
SAMN22513026	SRR16541091	2022-07-19T14:36:25Z	2021-10-22T17:01:22Z	18475251	1389608370	0	75	558		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR016/16541/SRR16541091/SRR16541091.lite.1	SRX12743667	GSM5651640	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691881	simple	9606	Homo sapiens	GSM5651640							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	7C295255E6F73D22DE482A0C4BE2A2E7	60B5623D5540447AD1FF4890A9A1D3EC	22513026	ATRX WT cells, Etoposide treated, replicate 1	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691881	GSM5651640	U87 glioblastoma cells	WT	1	U87 glioblastoma cells	etoposide	WT.etoposide
SAMN22513027	SRR16541092	2022-07-19T14:36:25Z	2021-10-22T17:01:50Z	20002501	1504934016	0	75	598		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR016/16541/SRR16541092/SRR16541092.lite.1	SRX12743666	GSM5651639	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691880	simple	9606	Homo sapiens	GSM5651639							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	F947D5F09A1D3AB7B9D10580824B0B70	A7FEED6EF0AC2BFD2EA7C8D6011BAE23	22513027	ATRX WT cells, untreated, replicate 3	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691880	GSM5651639	U87 glioblastoma cells	WT	3	U87 glioblastoma cells	control	WT.control
