accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	drug treatment	sirna status	source_name	tp53 status
SAMN23169310	23169310	MCF_7_CNTRL_ETOP_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077419	GSM5691809	MCF-7	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	Scramble	MCF-7	Wild-type
SAMN23169311	23169311	MCF_7_CNTRL_ETOP_EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077420	GSM5691810	MCF-7	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	Scramble	MCF-7	Wild-type
SAMN23169312	23169312	MCF_7_CNTRL_ETOP_EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077421	GSM5691811	MCF-7	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	Scramble	MCF-7	Wild-type
SAMN23169313	23169313	MCF7_CNTRL_INF_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077422	GSM5691812	MCF-7	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	Scramble	MCF-7	Wild-type
SAMN23169314	23169314	MCF_7_CNTRL_INF_EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077423	GSM5691813	MCF-7	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	Scramble	MCF-7	Wild-type
SAMN23169315	23169315	MCF_7_CNTRL_INF_EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077424	GSM5691814	MCF-7	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	Scramble	MCF-7	Wild-type
SAMN23169316	23169316	MCF_7_SILENCED_ETOP_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077425	GSM5691815	MCF-7	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	siRNA P4HB/PDIA1	MCF-7	Wild-type
SAMN23169317	23169317	MCF_7_SILENCED_ETOP_EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077426	GSM5691816	MCF-7	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	siRNA P4HB/PDIA1	MCF-7	Wild-type
SAMN23169318	23169318	MCF_7_SILENCED_ETOP_EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077427	GSM5691817	MCF-7	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	siRNA P4HB/PDIA1	MCF-7	Wild-type
SAMN23169319	23169319	MCF_7_SILENCED_INF_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077428	GSM5691818	MCF-7	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	siRNA P4HB/PDIA1	MCF-7	Wild-type
SAMN23169320	23169320	MCF_7_SILENCED_INF__EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077429	GSM5691819	MCF-7	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	siRNA P4HB/PDIA1	MCF-7	Wild-type
SAMN23169321	23169321	MCF_7_SILENCED_INF__EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077430	GSM5691820	MCF-7	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	siRNA P4HB/PDIA1	MCF-7	Wild-type
SAMN23169322	23169322	MDA_231_CNTRL_ETOP_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077431	GSM5691821	MDA-MB-231	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	Scramble	MDA-MB-231	Mutated (R280K)
SAMN23169323	23169323	MDA_231_CNTRL_ETOP_EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077432	GSM5691822	MDA-MB-231	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	Scramble	MDA-MB-231	Mutated (R280K)
SAMN23169324	23169324	MDA_231_CNTRL_ETOP_EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077433	GSM5691823	MDA-MB-231	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	Scramble	MDA-MB-231	Mutated (R280K)
SAMN23169325	23169325	MDA_231_CNTRL_INF_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077434	GSM5691824	MDA-MB-231	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	Scramble	MDA-MB-231	Mutated (R280K)
SAMN23169326	23169326	MDA_231_CNTRL_INF_EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077435	GSM5691825	MDA-MB-231	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	Scramble	MDA-MB-231	Mutated (R280K)
SAMN23169327	23169327	MDA_231_CNTRL_INF_EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077436	GSM5691826	MDA-MB-231	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	Scramble	MDA-MB-231	Mutated (R280K)
SAMN23169328	23169328	MDA_231_SILENCED_ETOP_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077437	GSM5691827	MDA-MB-231	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	siRNA P4HB/PDIA1	MDA-MB-231	Mutated (R280K)
SAMN23169329	23169329	MDA_231_SILENCED_ETOP_EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077438	GSM5691828	MDA-MB-231	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	siRNA P4HB/PDIA1	MDA-MB-231	Mutated (R280K)
SAMN23169330	23169330	MDA_231_SILENCED_ETOP_EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077439	GSM5691829	MDA-MB-231	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	siRNA P4HB/PDIA1	MDA-MB-231	Mutated (R280K)
SAMN23169331	23169331	MDA_231_SILENCED_INF_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077440	GSM5691830	MDA-MB-231	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	siRNA P4HB/PDIA1	MDA-MB-231	Mutated (R280K)
SAMN23169332	23169332	MDA_231_SILENCED_INF__EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077441	GSM5691831	MDA-MB-231	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	siRNA P4HB/PDIA1	MDA-MB-231	Mutated (R280K)
SAMN23169333	23169333	MDA_231_SILENCED_INF__EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077442	GSM5691832	MDA-MB-231	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	siRNA P4HB/PDIA1	MDA-MB-231	Mutated (R280K)
