BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	drug treatment	sirna status	source_name	tp53 status
SAMN23169310	SRR16953104	2021-11-19T10:22:04Z	2021-11-15T20:59:31Z	33713467	2530140658	0	75	947		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR016/16953/SRR16953104/SRR16953104.lite.1	SRX13144707		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077419	simple	9606	Homo sapiens	GSM5691809							no					GEO	SRA1329749		public	9F9777D79D86FEABF64ADC1992E23A50	8728E0FE7572C859EA8A3F5EA096DF31	23169310	MCF_7_CNTRL_ETOP_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077419	GSM5691809	MCF-7	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	Scramble	MCF-7	Wild-type
SAMN23169311	SRR16953105	2021-11-19T10:22:05Z	2021-11-15T21:49:37Z	40014441	3000866598	0	74	1101		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16953/SRR16953105/SRR16953105.lite.1	SRX13144708		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077420	simple	9606	Homo sapiens	GSM5691810							no					GEO	SRA1329749		public	3DE0EFD8A553EDCE2030A8422774FBEC	A993E2205ADBF8BC0D0BE2D52F6CCF62	23169311	MCF_7_CNTRL_ETOP_EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077420	GSM5691810	MCF-7	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	Scramble	MCF-7	Wild-type
SAMN23169312	SRR16953106	2021-11-19T10:22:05Z	2021-11-15T21:47:42Z	32315063	2425844012	0	75	900		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16953/SRR16953106/SRR16953106.lite.1	SRX13144709		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077421	simple	9606	Homo sapiens	GSM5691811							no					GEO	SRA1329749		public	9F04406D874C57016D66D2CE6740EEA5	7C121E8AFBEB202635E370EFE7F07700	23169312	MCF_7_CNTRL_ETOP_EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077421	GSM5691811	MCF-7	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	Scramble	MCF-7	Wild-type
SAMN23169313	SRR16953107	2021-11-19T10:22:05Z	2021-11-15T21:58:33Z	34713487	2605416163	0	75	956		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16953/SRR16953107/SRR16953107.lite.1	SRX13144710		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077422	simple	9606	Homo sapiens	GSM5691812							no					GEO	SRA1329749		public	B1967A377BA60CD5C4E8AB690418E783	FE0CC926CBECB2D7EA2CEDBBD466AA4B	23169313	MCF7_CNTRL_INF_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077422	GSM5691812	MCF-7	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	Scramble	MCF-7	Wild-type
SAMN23169314	SRR16953108	2021-11-19T10:22:05Z	2021-11-15T21:48:03Z	37122819	2786395290	0	75	1021		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR016/16953/SRR16953108/SRR16953108.lite.1	SRX13144711		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077423	simple	9606	Homo sapiens	GSM5691813							no					GEO	SRA1329749		public	6F0EB398DB271AB44294391634DF0368	67BA6835BD0961EA5FAF1D794929C61C	23169314	MCF_7_CNTRL_INF_EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077423	GSM5691813	MCF-7	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	Scramble	MCF-7	Wild-type
SAMN23169315	SRR16953109	2021-11-19T10:22:05Z	2021-11-15T21:48:01Z	37597707	2822388252	0	75	1033		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR016/16953/SRR16953109/SRR16953109.lite.1	SRX13144712		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077424	simple	9606	Homo sapiens	GSM5691814							no					GEO	SRA1329749		public	B808E55BBA10FB77E415DDA4D4AAFD6B	38B2A5E5A3F95789F4C5888192FA7E33	23169315	MCF_7_CNTRL_INF_EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077424	GSM5691814	MCF-7	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	Scramble	MCF-7	Wild-type
SAMN23169316	SRR16953110	2021-11-19T10:22:05Z	2021-11-15T21:49:42Z	39761259	2984436320	0	75	1093		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR016/16953/SRR16953110/SRR16953110.lite.1	SRX13144713		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077425	simple	9606	Homo sapiens	GSM5691815							no					GEO	SRA1329749		public	2DC062EF1A372CB5A5E79F357F440866	B5C43F6792142EB96E1F5B4A6209EEA1	23169316	MCF_7_SILENCED_ETOP_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077425	GSM5691815	MCF-7	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	siRNA P4HB/PDIA1	MCF-7	Wild-type
SAMN23169317	SRR16953111	2021-11-19T10:22:05Z	2021-11-15T21:52:33Z	40710407	3052095918	0	74	1119		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16953/SRR16953111/SRR16953111.lite.1	SRX13144714		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077426	simple	9606	Homo sapiens	GSM5691816							no					GEO	SRA1329749		public	4DB8F7891C984BA934D59F0E764EEA9C	4942E6EB724DC70C50CA36767EB0E3A9	23169317	MCF_7_SILENCED_ETOP_EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077426	GSM5691816	MCF-7	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	siRNA P4HB/PDIA1	MCF-7	Wild-type
SAMN23169318	SRR16953112	2021-11-19T10:22:06Z	2021-11-15T21:50:08Z	40536041	3043108936	0	75	1112		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16953/SRR16953112/SRR16953112.lite.1	SRX13144715		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077427	simple	9606	Homo sapiens	GSM5691817							no					GEO	SRA1329749		public	BACD25F568795F5CBF3241C841BBB99B	D297FD63E5D183163568DF98CF363F09	23169318	MCF_7_SILENCED_ETOP_EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077427	GSM5691817	MCF-7	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	siRNA P4HB/PDIA1	MCF-7	Wild-type
SAMN23169319	SRR16953113	2021-11-19T10:22:06Z	2021-11-15T21:50:48Z	39493022	2964138595	0	75	1088		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16953/SRR16953113/SRR16953113.lite.1	SRX13144716		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077428	simple	9606	Homo sapiens	GSM5691818							no					GEO	SRA1329749		public	FC5E6CE63C12E7FDCF43E631FCBF78E8	C0FD78EB9ED4DC1A8DBDA92FC9911FFA	23169319	MCF_7_SILENCED_INF_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077428	GSM5691818	MCF-7	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	siRNA P4HB/PDIA1	MCF-7	Wild-type
