accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment	treatment time
SAMN23489552	23489552	Control 1 [C1]	Houston Methodist Research Institute	9606	SRS11175095	GSM5706915	MIA PaCa-2	pancreatic ductal adenocarcinoma cells	pancreatic ductal adenocarcinoma cells	Untreated	None
SAMN23489553	23489553	Control 2 [C2]	Houston Methodist Research Institute	9606	SRS11175096	GSM5706916	MIA PaCa-2	pancreatic ductal adenocarcinoma cells	pancreatic ductal adenocarcinoma cells	Untreated	None
SAMN23489554	23489554	Control 3 [C3]	Houston Methodist Research Institute	9606	SRS11175097	GSM5706917	MIA PaCa-2	pancreatic ductal adenocarcinoma cells	pancreatic ductal adenocarcinoma cells	Untreated	None
SAMN23489555	23489555	Torin1-treated 1 [T1]	Houston Methodist Research Institute	9606	SRS11175098	GSM5706918	MIA PaCa-2	pancreatic ductal adenocarcinoma cells	pancreatic ductal adenocarcinoma cells	Torin 1 (100 nM)	9 days
SAMN23489556	23489556	Torin1-treated 2 [T2]	Houston Methodist Research Institute	9606	SRS11175099	GSM5706919	MIA PaCa-2	pancreatic ductal adenocarcinoma cells	pancreatic ductal adenocarcinoma cells	Torin 1 (100 nM)	9 days
SAMN23489557	23489557	Torin1-treated 3 [T3]	Houston Methodist Research Institute	9606	SRS11175101	GSM5706920	MIA PaCa-2	pancreatic ductal adenocarcinoma cells	pancreatic ductal adenocarcinoma cells	Torin 1 (100 nM)	9 days
SAMN23489558	23489558	Persisters 1 [gT1]	Houston Methodist Research Institute	9606	SRS11175100	GSM5706921	MIA PaCa-2	pancreatic ductal adenocarcinoma cells	pancreatic ductal adenocarcinoma cells	Gemcitabine (100 nM) plus Torin 1 (100 nM)	9 days
SAMN23489559	23489559	Persisters 2 [gT2]	Houston Methodist Research Institute	9606	SRS11175103	GSM5706922	MIA PaCa-2	pancreatic ductal adenocarcinoma cells	pancreatic ductal adenocarcinoma cells	Gemcitabine (100 nM) plus Torin 1 (100 nM)	9 days
SAMN23489560	23489560	Persisters 3 [gT3]	Houston Methodist Research Institute	9606	SRS11175106	GSM5706923	MIA PaCa-2	pancreatic ductal adenocarcinoma cells	pancreatic ductal adenocarcinoma cells	Gemcitabine (100 nM) plus Torin 1 (100 nM)	9 days
SAMN23489561	23489561	Recovery 1 [R1]	Houston Methodist Research Institute	9606	SRS11175104	GSM5706924	MIA PaCa-2	pancreatic ductal adenocarcinoma cells	pancreatic ductal adenocarcinoma cells	Gemcitabine (100 nM) plus Torin 1 (100 nM)	9 days followed by culture in drug-free normal media for 12 days
SAMN23489562	23489562	Recovery 2 [R2]	Houston Methodist Research Institute	9606	SRS11175102	GSM5706925	MIA PaCa-2	pancreatic ductal adenocarcinoma cells	pancreatic ductal adenocarcinoma cells	Gemcitabine (100 nM) plus Torin 1 (100 nM)	9 days followed by culture in drug-free normal media for 12 days
SAMN23489563	23489563	Recovery 3 [R3]	Houston Methodist Research Institute	9606	SRS11175105	GSM5706926	MIA PaCa-2	pancreatic ductal adenocarcinoma cells	pancreatic ductal adenocarcinoma cells	Gemcitabine (100 nM) plus Torin 1 (100 nM)	9 days followed by culture in drug-free normal media for 12 days
