BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	source_name	treatment	cell_line	group
SAMN25044552	SRR17649019	2023-01-11T00:48:50Z	2022-01-17T22:28:32Z	31611800	3161180000	0	100	2275		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR017/17649/SRR17649019/SRR17649019.lite.1	SRX13817275	GSM5822317	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP355495	PRJNA798053		798053	SRS11697415	simple	9606	Homo sapiens	GSM5822317							no					INTEGRATIVE GENOMICS CORE, SHARED RESOURCE, CITY OF HOPE NATIONAL MEDICAL CENTER	SRA1357600		public	D607212D876654175DD7F5702CCD40A2	382AAFABDBFE9C9756FC959448129F1F	25044552	U937 cells treated with NEL-replicate 4	Integrative Genomics Core, Shared Resource, City of Hope National Medical Center	9606	SRS11697415	GSM5822317	AML cell line	NEL (10 uM)	U937	U937.NEL..10.uM.
SAMN25044553	SRR17649020	2023-01-11T00:48:50Z	2022-01-17T22:30:49Z	31611800	3161180000	0	100	2225		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17649/SRR17649020/SRR17649020.lite.1	SRX13817274	GSM5822316	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP355495	PRJNA798053		798053	SRS11697414	simple	9606	Homo sapiens	GSM5822316							no					INTEGRATIVE GENOMICS CORE, SHARED RESOURCE, CITY OF HOPE NATIONAL MEDICAL CENTER	SRA1357600		public	7DAC513CAF9D239A4B1C676D2626B7BE	F1576EAB768B96BBB9634428B3B30883	25044553	U937 cells treated with NEL-replicate 3	Integrative Genomics Core, Shared Resource, City of Hope National Medical Center	9606	SRS11697414	GSM5822316	AML cell line	NEL (10 uM)	U937	U937.NEL..10.uM.
SAMN25044554	SRR17649021	2023-01-11T00:48:50Z	2022-01-17T22:34:22Z	31609417	3160941700	0	100	2277		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR017/17649/SRR17649021/SRR17649021.lite.1	SRX13817273	GSM5822315	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP355495	PRJNA798053		798053	SRS11697413	simple	9606	Homo sapiens	GSM5822315							no					INTEGRATIVE GENOMICS CORE, SHARED RESOURCE, CITY OF HOPE NATIONAL MEDICAL CENTER	SRA1357600		public	0A0F5506ADB05EAB110FF4D914D17F87	EAA026B68A8D672DB9229A406CCE0295	25044554	U937 cells treated with NEL-replicate 2	Integrative Genomics Core, Shared Resource, City of Hope National Medical Center	9606	SRS11697413	GSM5822315	AML cell line	NEL (10 uM)	U937	U937.NEL..10.uM.
SAMN25044555	SRR17649022	2023-01-11T00:48:50Z	2022-01-17T22:30:22Z	31609417	3160941700	0	100	2212		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17649/SRR17649022/SRR17649022.lite.1	SRX13817272	GSM5822314	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP355495	PRJNA798053		798053	SRS11697412	simple	9606	Homo sapiens	GSM5822314							no					INTEGRATIVE GENOMICS CORE, SHARED RESOURCE, CITY OF HOPE NATIONAL MEDICAL CENTER	SRA1357600		public	EF1C4C0A79493E2CD28196D8D154E3BF	D12ABB34A865120C21D7C153496CB8E8	25044555	U937 cells treated with NEL-replicate 1	Integrative Genomics Core, Shared Resource, City of Hope National Medical Center	9606	SRS11697412	GSM5822314	AML cell line	NEL (10 uM)	U937	U937.NEL..10.uM.
SAMN25044556	SRR17649023	2023-01-11T00:48:50Z	2022-01-17T22:30:24Z	31648894	3164889400	0	100	2266		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR017/17649/SRR17649023/SRR17649023.lite.1	SRX13817271	GSM5822313	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP355495	PRJNA798053		798053	SRS11697411	simple	9606	Homo sapiens	GSM5822313							no					INTEGRATIVE GENOMICS CORE, SHARED RESOURCE, CITY OF HOPE NATIONAL MEDICAL CENTER	SRA1357600		public	4D25B18264EA29C1E7514ACC114D8046	0A1E5E0B74BD4ED9C35BA57BD7BBA197	25044556	U937 cells treated with DMSO-replicate 4	Integrative Genomics Core, Shared Resource, City of Hope National Medical Center	9606	SRS11697411	GSM5822313	AML cell line	DMSO	U937	U937.DMSO
SAMN25044557	SRR17649024	2023-01-11T00:48:50Z	2022-01-17T22:28:57Z	31648894	3164889400	0	100	2212		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR017/17649/SRR17649024/SRR17649024.lite.1	SRX13817270	GSM5822312	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP355495	PRJNA798053		798053	SRS11697410	simple	9606	Homo sapiens	GSM5822312							no					INTEGRATIVE GENOMICS CORE, SHARED RESOURCE, CITY OF HOPE NATIONAL MEDICAL CENTER	SRA1357600		public	5357663E823ECE122127B0A88A1DC0BC	3355DC372D749B56E2A3208448631F19	25044557	U937 cells treated with DMSO-replicate 3	Integrative Genomics Core, Shared Resource, City of Hope National Medical Center	9606	SRS11697410	GSM5822312	AML cell line	DMSO	U937	U937.DMSO
SAMN25044558	SRR17649025	2023-01-11T00:48:50Z	2022-01-17T22:28:39Z	31470261	3147026100	0	100	2261		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17649/SRR17649025/SRR17649025.lite.1	SRX13817269	GSM5822311	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP355495	PRJNA798053		798053	SRS11697409	simple	9606	Homo sapiens	GSM5822311							no					INTEGRATIVE GENOMICS CORE, SHARED RESOURCE, CITY OF HOPE NATIONAL MEDICAL CENTER	SRA1357600		public	8E0A9DE409A22844A81DC39A473EE1DD	FDD3C952DC05D87A6B064203DF13B0CB	25044558	U937 cells treated with DMSO-replicate 2	Integrative Genomics Core, Shared Resource, City of Hope National Medical Center	9606	SRS11697409	GSM5822311	AML cell line	DMSO	U937	U937.DMSO
SAMN25044559	SRR17649026	2023-01-11T00:48:50Z	2022-01-17T22:29:33Z	31470261	3147026100	0	100	2209		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR017/17649/SRR17649026/SRR17649026.lite.1	SRX13817268	GSM5822310	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP355495	PRJNA798053		798053	SRS11697408	simple	9606	Homo sapiens	GSM5822310							no					INTEGRATIVE GENOMICS CORE, SHARED RESOURCE, CITY OF HOPE NATIONAL MEDICAL CENTER	SRA1357600		public	2ED3F274DC2BEACB97025DA5680CC115	2E0EF22331364A1BBED0BD49ADDE6F25	25044559	U937 cells treated with DMSO-replicate 1	Integrative Genomics Core, Shared Resource, City of Hope National Medical Center	9606	SRS11697408	GSM5822310	AML cell line	DMSO	U937	U937.DMSO
SAMN25044560	SRR17649027	2023-01-11T00:48:50Z	2022-01-17T22:28:45Z	30578764	3057876400	0	100	2194		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR017/17649/SRR17649027/SRR17649027.lite.1	SRX13817267	GSM5822309	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP355495	PRJNA798053		798053	SRS11697407	simple	9606	Homo sapiens	GSM5822309							no					INTEGRATIVE GENOMICS CORE, SHARED RESOURCE, CITY OF HOPE NATIONAL MEDICAL CENTER	SRA1357600		public	058C5A0B4D219CDFC0A531B33D9FEAC9	F7452FF25CCB08F9F8BE51922335578F	25044560	KG1A cells treated with NEL-replicate 4	Integrative Genomics Core, Shared Resource, City of Hope National Medical Center	9606	SRS11697407	GSM5822309	AML cell line	NEL (10 uM)	KG1A	KG1A.NEL..10.uM.
SAMN25044561	SRR17649028	2023-01-11T00:48:50Z	2022-01-17T22:31:51Z	30578764	3057876400	0	100	2133		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17649/SRR17649028/SRR17649028.lite.1	SRX13817266	GSM5822308	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP355495	PRJNA798053		798053	SRS11697406	simple	9606	Homo sapiens	GSM5822308							no					INTEGRATIVE GENOMICS CORE, SHARED RESOURCE, CITY OF HOPE NATIONAL MEDICAL CENTER	SRA1357600		public	BAE664CD76D5646C953168F3618F5C83	EFF9D4B9D72A5D27ADB71F6117E20E66	25044561	KG1A cells treated with NEL-replicate 3	Integrative Genomics Core, Shared Resource, City of Hope National Medical Center	9606	SRS11697406	GSM5822308	AML cell line	NEL (10 uM)	KG1A	KG1A.NEL..10.uM.
