accession	uid	title	organization	taxonomy	sra	geo	cell line	replicates	source_name	time	treatment
SAMN25046774	25046774	DIPG4_MMF treated [MMF_3]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696918	GSM5822692	DIPG4	biological_replicate: 3	DIPG4_MMF treated	24h	MMF
SAMN25046775	25046775	DIPG4_MMF treated [MMF_2]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696917	GSM5822691	DIPG4	biological_replicate: 2	DIPG4_MMF treated	24h	MMF
SAMN25046776	25046776	DIPG4_MMF treated [MMF_1]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696916	GSM5822690	DIPG4	biological_replicate: 1	DIPG4_MMF treated	24h	MMF
SAMN25046777	25046777	DIPG4_TPL treated [TPL_3]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696915	GSM5822689	DIPG4	biological_replicate: 3	DIPG4_TPL treated	24h	TPL
SAMN25046778	25046778	DIPG4_TPL treated [TPL_2]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696914	GSM5822688	DIPG4	biological_replicate: 2	DIPG4_TPL treated	24h	TPL
SAMN25046779	25046779	DIPG4_TPL treated [TPL_1]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696913	GSM5822687	DIPG4	biological_replicate: 1	DIPG4_TPL treated	24h	TPL
SAMN25046780	25046780	DIPG4_TRIAM treated [TRIAM_3]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696912	GSM5822686	DIPG4	biological_replicate: 3	DIPG4_TRIAM treated	24h	TRIAM
SAMN25046781	25046781	DIPG4_TRIAM treated [TRIAM_2]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696911	GSM5822685	DIPG4	biological_replicate: 2	DIPG4_TRIAM treated	24h	TRIAM
SAMN25046782	25046782	DIPG4_TRIAM treated [TRIAM_1]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696910	GSM5822684	DIPG4	biological_replicate: 1	DIPG4_TRIAM treated	24h	TRIAM
SAMN25046783	25046783	DIPG4_DMSO treated [DMSO_3]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696909	GSM5822683	DIPG4	biological_replicate: 3	DIPG4_DMSO treated	24h	DMSO
SAMN25046784	25046784	DIPG4_DMSO treated [DMSO_2]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696908	GSM5822682	DIPG4	biological_replicate: 2	DIPG4_DMSO treated	24h	DMSO
SAMN25046785	25046785	DIPG4_DMSO treated [DMSO_1]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696907	GSM5822681	DIPG4	biological_replicate: 1	DIPG4_DMSO treated	24h	DMSO
