accession	uid	title	organization	taxonomy	sra	geo	Sex	age	cell line	collection_date	geo_loc_name	provider	source_name	treatment	vendor id
SAMN27108707	27108707	lncap_LNCAPPS5B_H12_Phorbol 12-myristate 13-acetate_0.0009_24	Department of Systems Biology, Columbia University	9606	SRS13705520	GSM5986721	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Phorbol 12-myristate 13-acetate	CRL-1740
SAMN27108708	27108708	lncap_LNCAPPS5B_H11_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705519	GSM5986720	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27108709	27108709	lncap_LNCAPPS5B_H10_PD-184161_3.5_24	Department of Systems Biology, Columbia University	9606	SRS13705518	GSM5986719	male	50	LNCaP	missing	missing	ATCC	prostate cancer	PD-184161	CRL-1740
SAMN27108710	27108710	lncap_LNCAPPS5B_H9_Piperlongumine_1_24	Department of Systems Biology, Columbia University	9606	SRS13705476	GSM5986718	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Piperlongumine	CRL-1740
SAMN27108711	27108711	lncap_LNCAPPS5B_H8_Dihydroouabain_2_24	Department of Systems Biology, Columbia University	9606	SRS13705517	GSM5986717	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Dihydroouabain	CRL-1740
SAMN27108712	27108712	lncap_LNCAPPS5B_H7_Calmidazolium chloride_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705516	GSM5986716	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Calmidazolium chloride	CRL-1740
SAMN27108713	27108713	lncap_LNCAPPS5B_H6_Bay 11-7821_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705515	GSM5986715	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Bay 11-7821	CRL-1740
SAMN27108714	27108714	lncap_LNCAPPS5B_H5_Ryuvidine_0.18_24	Department of Systems Biology, Columbia University	9606	SRS13705514	GSM5986714	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Ryuvidine	CRL-1740
SAMN27108715	27108715	lncap_LNCAPPS5B_H4_Scriptaid_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705513	GSM5986713	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Scriptaid	CRL-1740
SAMN27108716	27108716	lncap_LNCAPPS5B_H3_NNC 05-2090 hydrochloride_3.5_24	Department of Systems Biology, Columbia University	9606	SRS13705512	GSM5986712	male	50	LNCaP	missing	missing	ATCC	prostate cancer	NNC 05-2090 hydrochloride	CRL-1740
SAMN27108717	27108717	lncap_LNCAPPS5B_H2_Ro 106-9920_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705511	GSM5986711	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Ro 106-9920	CRL-1740
SAMN27108718	27108718	lncap_LNCAPPS5B_H1_SB 216641 hydrochloride_3.5_24	Department of Systems Biology, Columbia University	9606	SRS13705510	GSM5986710	male	50	LNCaP	missing	missing	ATCC	prostate cancer	SB 216641 hydrochloride	CRL-1740
SAMN27108719	27108719	lncap_LNCAPPS5B_G12_Thapsigargin_0.01_24	Department of Systems Biology, Columbia University	9606	SRS13705509	GSM5986709	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Thapsigargin	CRL-1740
SAMN27108720	27108720	lncap_LNCAPPS5B_G11_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705507	GSM5986708	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27108721	27108721	lncap_LNCAPPS5B_G10_Podophyllotoxin_0.02_24	Department of Systems Biology, Columbia University	9606	SRS13705475	GSM5986707	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Podophyllotoxin	CRL-1740
SAMN27108722	27108722	lncap_LNCAPPS5B_G9_AC-93253 iodide_0.03_24	Department of Systems Biology, Columbia University	9606	SRS13705508	GSM5986706	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AC-93253 iodide	CRL-1740
SAMN27108723	27108723	lncap_LNCAPPS5B_G8_BNTX maleate salt hydrate_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705506	GSM5986705	male	50	LNCaP	missing	missing	ATCC	prostate cancer	BNTX maleate salt hydrate	CRL-1740
SAMN27108724	27108724	lncap_LNCAPPS5B_G7_Bay 11-7085_3_24	Department of Systems Biology, Columbia University	9606	SRS13705505	GSM5986704	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Bay 11-7085	CRL-1740
SAMN27108725	27108725	lncap_LNCAPPS5B_G6_Etonitazenyl isothiocyanate_4_24	Department of Systems Biology, Columbia University	9606	SRS13705503	GSM5986703	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Etonitazenyl isothiocyanate	CRL-1740
SAMN27108726	27108726	lncap_LNCAPPS5B_G5_JK 184_0.09_24	Department of Systems Biology, Columbia University	9606	SRS13705504	GSM5986702	male	50	LNCaP	missing	missing	ATCC	prostate cancer	JK 184	CRL-1740
SAMN27108727	27108727	lncap_LNCAPPS5B_G4_AT 101_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705501	GSM5986701	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AT 101	CRL-1740
SAMN27108728	27108728	lncap_LNCAPPS5B_G3_PHA 665752_4.5_24	Department of Systems Biology, Columbia University	9606	SRS13705502	GSM5986700	male	50	LNCaP	missing	missing	ATCC	prostate cancer	PHA 665752	CRL-1740
SAMN27108729	27108729	lncap_LNCAPPS5B_G2_FIT_4_24	Department of Systems Biology, Columbia University	9606	SRS13705500	GSM5986699	male	50	LNCaP	missing	missing	ATCC	prostate cancer	FIT	CRL-1740
SAMN27108730	27108730	lncap_LNCAPPS5B_G1_RS 17053 hydrochloride_2_24	Department of Systems Biology, Columbia University	9606	SRS13705499	GSM5986698	male	50	LNCaP	missing	missing	ATCC	prostate cancer	RS 17053 hydrochloride	CRL-1740
SAMN27108731	27108731	lncap_LNCAPPS5B_F12_Tetraethylthiuram disulfide_0.11_24	Department of Systems Biology, Columbia University	9606	SRS13705498	GSM5986697	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Tetraethylthiuram disulfide	CRL-1740
SAMN27108732	27108732	lncap_LNCAPPS5B_F11_DMSO_0_24	Department of Systems Biology, Columbia University	9606	SRS13705474	GSM5986696	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DMSO	CRL-1740
SAMN27108733	27108733	lncap_LNCAPPS5B_F10_beta-Lapachone_1_24	Department of Systems Biology, Columbia University	9606	SRS13705497	GSM5986695	male	50	LNCaP	missing	missing	ATCC	prostate cancer	beta-Lapachone	CRL-1740
SAMN27108734	27108734	lncap_LNCAPPS5B_F9_Emetine dihydrochloride hydrate_0.035_24	Department of Systems Biology, Columbia University	9606	SRS13705496	GSM5986694	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Emetine dihydrochloride hydrate	CRL-1740
SAMN27108735	27108735	lncap_LNCAPPS5B_F8_Brefeldin A_0.05_24	Department of Systems Biology, Columbia University	9606	SRS13705495	GSM5986693	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Brefeldin A	CRL-1740
SAMN27108736	27108736	lncap_LNCAPPS5B_F7_CP-100356 monohydrochloride_2_24	Department of Systems Biology, Columbia University	9606	SRS13705493	GSM5986692	male	50	LNCaP	missing	missing	ATCC	prostate cancer	CP-100356 monohydrochloride	CRL-1740
SAMN27108737	27108737	lncap_LNCAPPS5B_F6_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705494	GSM5986691	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27108738	27108738	lncap_LNCAPPS5B_F5_SN 38_0.075_24	Department of Systems Biology, Columbia University	9606	SRS13705492	GSM5986690	male	50	LNCaP	missing	missing	ATCC	prostate cancer	SN 38	CRL-1740
SAMN27108739	27108739	lncap_LNCAPPS5B_F4_BIBU 1361 dihydrochloride_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705490	GSM5986689	male	50	LNCaP	missing	missing	ATCC	prostate cancer	BIBU 1361 dihydrochloride	CRL-1740
SAMN27108740	27108740	lncap_LNCAPPS5B_F3_JTC 801_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705491	GSM5986688	male	50	LNCaP	missing	missing	ATCC	prostate cancer	JTC 801	CRL-1740
SAMN27108741	27108741	lncap_LNCAPPS5B_F2_GR 127935 hydrochloride_2.5_24	Department of Systems Biology, Columbia University	9606	SRS13705489	GSM5986687	male	50	LNCaP	missing	missing	ATCC	prostate cancer	GR 127935 hydrochloride	CRL-1740
SAMN27108742	27108742	lncap_LNCAPPS5B_F1_Metaphit_2.5_24	Department of Systems Biology, Columbia University	9606	SRS13705487	GSM5986686	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Metaphit	CRL-1740
