BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	genotype	source_name	treatment	group
SAMN28017398	SRR19021070	2022-05-04T00:33:03Z	2022-05-01T12:58:32Z	23743362	1187168100	0	50	712		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19021/SRR19021070/SRR19021070.lite.1	SRX15092888	GSM6085146	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP373008	PRJNA833858		833858	SRS12838390	simple	9606	Homo sapiens	GSM6085146							no					FUDAN UNIVERSITY	SRA1413006		public	15230BDE1F16441FD1A83B1D0510468C	B9DBD3989EDB063C11A93DD564354A0C	28017398	SNT16_ICT12h3	Fudan University	9606	SRS12838390	GSM6085146	SNT-16	NK/T cell lymphoma cell line	WT	SNT-16	Icaritin	SNT.16.Icaritin
SAMN28017399	SRR19021071	2022-05-04T00:33:03Z	2022-05-01T12:59:48Z	23747243	1187362150	0	50	707		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19021/SRR19021071/SRR19021071.lite.1	SRX15092887	GSM6085145	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP373008	PRJNA833858		833858	SRS12838389	simple	9606	Homo sapiens	GSM6085145							no					FUDAN UNIVERSITY	SRA1413006		public	E3F9C8B54CE3B64652FF23888A8AA1DB	78A128A7F4AD2526CA0424BFEF7DC340	28017399	SNT16_ICT12h2	Fudan University	9606	SRS12838389	GSM6085145	SNT-16	NK/T cell lymphoma cell line	WT	SNT-16	Icaritin	SNT.16.Icaritin
SAMN28017400	SRR19021072	2022-05-04T00:33:03Z	2022-05-01T13:00:26Z	23747824	1187391200	0	50	712		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19021/SRR19021072/SRR19021072.lite.1	SRX15092886	GSM6085144	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP373008	PRJNA833858		833858	SRS12838388	simple	9606	Homo sapiens	GSM6085144							no					FUDAN UNIVERSITY	SRA1413006		public	B568E83D3FE8D7A52F55B04D7D335D3E	FEE03EFDDF6B175E84474C6627953D3B	28017400	SNT16_ICT12h1	Fudan University	9606	SRS12838388	GSM6085144	SNT-16	NK/T cell lymphoma cell line	WT	SNT-16	Icaritin	SNT.16.Icaritin
SAMN28017401	SRR19021073	2022-05-04T00:33:03Z	2022-05-01T12:59:51Z	23746231	1187311550	0	50	712		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19021/SRR19021073/SRR19021073.lite.1	SRX15092885	GSM6085143	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP373008	PRJNA833858		833858	SRS12838387	simple	9606	Homo sapiens	GSM6085143							no					FUDAN UNIVERSITY	SRA1413006		public	15F7CB0B71F0561A0FAF278039EB3516	BA0D3D707CD5043499B0170D1E213941	28017401	SNT16_CON12h3	Fudan University	9606	SRS12838387	GSM6085143	SNT-16	NK/T cell lymphoma cell line	WT	SNT-16	DMSO	SNT.16.DMSO
SAMN28017402	SRR19021074	2022-05-04T00:33:03Z	2022-05-01T13:00:53Z	23736016	1186800800	0	50	718		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19021/SRR19021074/SRR19021074.lite.1	SRX15092884	GSM6085142	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP373008	PRJNA833858		833858	SRS12838386	simple	9606	Homo sapiens	GSM6085142							no					FUDAN UNIVERSITY	SRA1413006		public	0A16026C6E18E9F12434BA4B08426CD5	6F1D5B6AFC589678C26E9E31BD1963FC	28017402	SNT16_CON12h2	Fudan University	9606	SRS12838386	GSM6085142	SNT-16	NK/T cell lymphoma cell line	WT	SNT-16	DMSO	SNT.16.DMSO
SAMN28017403	SRR19021075	2022-05-04T00:33:03Z	2022-05-01T13:00:16Z	23024769	1151238450	0	50	695		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19021/SRR19021075/SRR19021075.lite.1	SRX15092883	GSM6085141	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP373008	PRJNA833858		833858	SRS12838385	simple	9606	Homo sapiens	GSM6085141							no					FUDAN UNIVERSITY	SRA1413006		public	C7E3E61DBB0CE2DACF7FAEEFA3E2B5FB	3B076FF5C4651314AA8EA1A2095656FE	28017403	SNT16_CON12h1	Fudan University	9606	SRS12838385	GSM6085141	SNT-16	NK/T cell lymphoma cell line	WT	SNT-16	DMSO	SNT.16.DMSO
SAMN28017404	SRR19021076	2022-05-04T00:33:03Z	2022-05-01T13:00:09Z	23741981	1187099050	0	50	727		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19021/SRR19021076/SRR19021076.lite.1	SRX15092882	GSM6085140	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP373008	PRJNA833858		833858	SRS12838384	simple	9606	Homo sapiens	GSM6085140							no					FUDAN UNIVERSITY	SRA1413006		public	881F8999D56F7CC5CA9273CBCA15FC14	6E3E3D15808C41699A2D8E5404A65C1C	28017404	SNK10_ICT12h3	Fudan University	9606	SRS12838384	GSM6085140	SNK-10	NK/T cell lymphoma cell line	WT	SNK-10	Icaritin	SNK.10.Icaritin
SAMN28017405	SRR19021077	2022-05-04T00:33:02Z	2022-05-01T13:00:43Z	23745066	1187253300	0	50	706		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19021/SRR19021077/SRR19021077.lite.1	SRX15092881	GSM6085139	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP373008	PRJNA833858		833858	SRS12838383	simple	9606	Homo sapiens	GSM6085139							no					FUDAN UNIVERSITY	SRA1413006		public	621AC096C400252634F54B3695955BE4	53147EA162FF0850B913925E72CDEB1D	28017405	SNK10_ICT12h2	Fudan University	9606	SRS12838383	GSM6085139	SNK-10	NK/T cell lymphoma cell line	WT	SNK-10	Icaritin	SNK.10.Icaritin
SAMN28017406	SRR19021078	2022-05-04T00:33:02Z	2022-05-01T13:00:23Z	23728661	1186433050	0	50	711		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19021/SRR19021078/SRR19021078.lite.1	SRX15092880	GSM6085138	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP373008	PRJNA833858		833858	SRS12838382	simple	9606	Homo sapiens	GSM6085138							no					FUDAN UNIVERSITY	SRA1413006		public	CCDBA87342D977B07EDF6E0264B98E32	3E3ED388DFB599D92E4A0A505E783511	28017406	SNK10_ICT12h1	Fudan University	9606	SRS12838382	GSM6085138	SNK-10	NK/T cell lymphoma cell line	WT	SNK-10	Icaritin	SNK.10.Icaritin
SAMN28017407	SRR19021079	2022-05-04T00:33:02Z	2022-05-01T13:00:43Z	23746376	1187318800	0	50	714		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19021/SRR19021079/SRR19021079.lite.1	SRX15092879	GSM6085137	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP373008	PRJNA833858		833858	SRS12838381	simple	9606	Homo sapiens	GSM6085137							no					FUDAN UNIVERSITY	SRA1413006		public	EF98336DC70985436D22A5ED38973DD8	1B84F04B0E706FE1265DDBB4D607FFF8	28017407	SNK10_CON12h3	Fudan University	9606	SRS12838381	GSM6085137	SNK-10	NK/T cell lymphoma cell line	WT	SNK-10	DMSO	SNK.10.DMSO
SAMN28017408	SRR19021080	2022-05-04T00:33:02Z	2022-05-01T13:00:41Z	23745875	1187293750	0	50	714		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19021/SRR19021080/SRR19021080.lite.1	SRX15092878	GSM6085136	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP373008	PRJNA833858		833858	SRS12838380	simple	9606	Homo sapiens	GSM6085136							no					FUDAN UNIVERSITY	SRA1413006		public	C8471C4ED8FADA555EB73304E694FF32	71259B07F3D42D10B10783922A080C35	28017408	SNK10_CON12h2	Fudan University	9606	SRS12838380	GSM6085136	SNK-10	NK/T cell lymphoma cell line	WT	SNK-10	DMSO	SNK.10.DMSO
SAMN28017409	SRR19021081	2022-05-04T00:33:02Z	2022-05-01T13:00:44Z	23744119	1187205950	0	50	719		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19021/SRR19021081/SRR19021081.lite.1	SRX15092877	GSM6085135	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP373008	PRJNA833858		833858	SRS12838379	simple	9606	Homo sapiens	GSM6085135							no					FUDAN UNIVERSITY	SRA1413006		public	2D19D3C3989448BA0AF332EB4317A690	385B06ACF75394738B5B02B5B629A088	28017409	SNK10_CON12h1	Fudan University	9606	SRS12838379	GSM6085135	SNK-10	NK/T cell lymphoma cell line	WT	SNK-10	DMSO	SNK.10.DMSO
