accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	genotype	source_name	treatment
SAMN28017398	28017398	SNT16_ICT12h3	Fudan University	9606	SRS12838390	GSM6085146	SNT-16	NK/T cell lymphoma cell line	WT	SNT-16	Icaritin
SAMN28017399	28017399	SNT16_ICT12h2	Fudan University	9606	SRS12838389	GSM6085145	SNT-16	NK/T cell lymphoma cell line	WT	SNT-16	Icaritin
SAMN28017400	28017400	SNT16_ICT12h1	Fudan University	9606	SRS12838388	GSM6085144	SNT-16	NK/T cell lymphoma cell line	WT	SNT-16	Icaritin
SAMN28017401	28017401	SNT16_CON12h3	Fudan University	9606	SRS12838387	GSM6085143	SNT-16	NK/T cell lymphoma cell line	WT	SNT-16	DMSO
SAMN28017402	28017402	SNT16_CON12h2	Fudan University	9606	SRS12838386	GSM6085142	SNT-16	NK/T cell lymphoma cell line	WT	SNT-16	DMSO
SAMN28017403	28017403	SNT16_CON12h1	Fudan University	9606	SRS12838385	GSM6085141	SNT-16	NK/T cell lymphoma cell line	WT	SNT-16	DMSO
SAMN28017404	28017404	SNK10_ICT12h3	Fudan University	9606	SRS12838384	GSM6085140	SNK-10	NK/T cell lymphoma cell line	WT	SNK-10	Icaritin
SAMN28017405	28017405	SNK10_ICT12h2	Fudan University	9606	SRS12838383	GSM6085139	SNK-10	NK/T cell lymphoma cell line	WT	SNK-10	Icaritin
SAMN28017406	28017406	SNK10_ICT12h1	Fudan University	9606	SRS12838382	GSM6085138	SNK-10	NK/T cell lymphoma cell line	WT	SNK-10	Icaritin
SAMN28017407	28017407	SNK10_CON12h3	Fudan University	9606	SRS12838381	GSM6085137	SNK-10	NK/T cell lymphoma cell line	WT	SNK-10	DMSO
SAMN28017408	28017408	SNK10_CON12h2	Fudan University	9606	SRS12838380	GSM6085136	SNK-10	NK/T cell lymphoma cell line	WT	SNK-10	DMSO
SAMN28017409	28017409	SNK10_CON12h1	Fudan University	9606	SRS12838379	GSM6085135	SNK-10	NK/T cell lymphoma cell line	WT	SNK-10	DMSO
SAMN28017410	28017410	SNT8_ICT12h3	Fudan University	9606	SRS12838378	GSM6085134	SNT-8	NK/T cell lymphoma cell line	WT	SNT-8	Icaritin
SAMN28017411	28017411	SNT8_ICT12h2	Fudan University	9606	SRS12838377	GSM6085133	SNT-8	NK/T cell lymphoma cell line	WT	SNT-8	Icaritin
SAMN28017412	28017412	SNT8_ICT12h1	Fudan University	9606	SRS12838376	GSM6085132	SNT-8	NK/T cell lymphoma cell line	WT	SNT-8	Icaritin
SAMN28017413	28017413	SNT8_CON12h3	Fudan University	9606	SRS12838375	GSM6085131	SNT-8	NK/T cell lymphoma cell line	WT	SNT-8	DMSO
SAMN28017414	28017414	SNT8_CON12h2	Fudan University	9606	SRS12838374	GSM6085130	SNT-8	NK/T cell lymphoma cell line	WT	SNT-8	DMSO
SAMN28017415	28017415	SNT8_CON12h1	Fudan University	9606	SRS12838373	GSM6085129	SNT-8	NK/T cell lymphoma cell line	WT	SNT-8	DMSO
