BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	source_name	tissue	treatment
SAMN28900681	SRR19572878	2023-01-09T00:04:42Z	2022-06-07T12:58:12Z	7174088	609797480	0	85	231		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19572/SRR19572878/SRR19572878.lite.1	SRX15624887	GSM6215564	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325015	simple	9606	Homo sapiens	GSM6215564							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	638A4E480D5217C0DF8F7B2D6104049B	75CE9F604AA12211D9A0008959EA0BF1	28900681	MIBG alone, Day 3, 72 hours rep 5	Lawrence Livermore National Laboratory	9606	SRS13325015	GSM6215564	peripheral blood	peripheral blood	131I-MIBG
SAMN28900681	SRR19572879	2023-01-09T00:04:42Z	2022-06-07T12:56:52Z	3754364	319120940	0	85	120		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19572/SRR19572879/SRR19572879.lite.1	SRX15624887	GSM6215564	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325015	simple	9606	Homo sapiens	GSM6215564							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	4667F58A1275A24D83B4A4162262827A	8062D4AAB29E346D9B1548F888DD17E5	28900681	MIBG alone, Day 3, 72 hours rep 5	Lawrence Livermore National Laboratory	9606	SRS13325015	GSM6215564	peripheral blood	peripheral blood	131I-MIBG
SAMN28900682	SRR19572870	2023-01-09T00:04:43Z	2022-06-07T12:57:59Z	6972923	592698455	0	85	226		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19572/SRR19572870/SRR19572870.lite.1	SRX15624891	GSM6215563	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325019	simple	9606	Homo sapiens	GSM6215563							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	7F28466666D04CE24C4E784F90D29043	3581549059303CB9821ED78C0C59772A	28900682	MIBG alone, Day 3, 72 hours rep 4	Lawrence Livermore National Laboratory	9606	SRS13325019	GSM6215563	peripheral blood	peripheral blood	131I-MIBG
SAMN28900682	SRR19572871	2023-01-09T00:04:43Z	2022-06-07T12:57:26Z	4172138	354631730	0	85	134		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19572/SRR19572871/SRR19572871.lite.1	SRX15624891	GSM6215563	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325019	simple	9606	Homo sapiens	GSM6215563							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	2B26E60B6901C7BD176DE1AF609E3ADC	BDE3814134DC50BCCC5FCF5F8B88E8DC	28900682	MIBG alone, Day 3, 72 hours rep 4	Lawrence Livermore National Laboratory	9606	SRS13325019	GSM6215563	peripheral blood	peripheral blood	131I-MIBG
SAMN28900683	SRR19572876	2023-01-09T00:04:42Z	2022-06-07T12:58:00Z	7322714	622430690	0	85	233		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19572/SRR19572876/SRR19572876.lite.1	SRX15624886	GSM6215562	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325014	simple	9606	Homo sapiens	GSM6215562							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	E5F8B114E744BDAFD16697AC870E6BC2	1101DE51354DE1E37EB6EB7C3D0EE5AF	28900683	MIBG alone, Day 3, 72 hours rep 3	Lawrence Livermore National Laboratory	9606	SRS13325014	GSM6215562	peripheral blood	peripheral blood	131I-MIBG
SAMN28900683	SRR19572877	2023-01-09T00:04:42Z	2022-06-07T12:57:05Z	3704397	314873745	0	85	117		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19572/SRR19572877/SRR19572877.lite.1	SRX15624886	GSM6215562	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325014	simple	9606	Homo sapiens	GSM6215562							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	352D0DE174781BFFC3589FA6B60600FF	75BDA948FBE9130AD49962963B01410A	28900683	MIBG alone, Day 3, 72 hours rep 3	Lawrence Livermore National Laboratory	9606	SRS13325014	GSM6215562	peripheral blood	peripheral blood	131I-MIBG
SAMN28900684	SRR19572884	2023-01-09T00:04:43Z	2022-06-07T12:58:00Z	6845572	581873620	0	85	219		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19572/SRR19572884/SRR19572884.lite.1	SRX15624902	GSM6215561	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325030	simple	9606	Homo sapiens	GSM6215561							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	B747FE4AB318E3DCF6947D085F5AA152	C7C29537A8DCB5BA1E413C251DCB0F20	28900684	MIBG alone, Day 3, 72 hours rep 2	Lawrence Livermore National Laboratory	9606	SRS13325030	GSM6215561	peripheral blood	peripheral blood	131I-MIBG
SAMN28900684	SRR19572885	2023-01-09T00:04:43Z	2022-06-07T12:58:18Z	4400466	374039610	0	85	140		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19572/SRR19572885/SRR19572885.lite.1	SRX15624902	GSM6215561	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325030	simple	9606	Homo sapiens	GSM6215561							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	435F4B557202AAE462E52A0560ED8E04	8038E06C960FD1F47DC697EB4171A949	28900684	MIBG alone, Day 3, 72 hours rep 2	Lawrence Livermore National Laboratory	9606	SRS13325030	GSM6215561	peripheral blood	peripheral blood	131I-MIBG
SAMN28900685	SRR19572852	2023-01-09T00:04:43Z	2022-06-07T12:57:44Z	7182821	610539785	0	85	236		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19572/SRR19572852/SRR19572852.lite.1	SRX15624900	GSM6215560	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325028	simple	9606	Homo sapiens	GSM6215560							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	2F0FB4C32696DA79D9494DAA3D403E4A	8DB158422122DF86F9B65C83A91A1E11	28900685	MIBG alone, Day 3, 72 hours rep 1	Lawrence Livermore National Laboratory	9606	SRS13325028	GSM6215560	peripheral blood	peripheral blood	131I-MIBG
SAMN28900685	SRR19572853	2023-01-09T00:04:43Z	2022-06-07T12:57:09Z	3891259	330757015	0	85	127		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19572/SRR19572853/SRR19572853.lite.1	SRX15624900	GSM6215560	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325028	simple	9606	Homo sapiens	GSM6215560							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	9354A86E57073FC7B85B0D06C45E0730	C0BBF7B1185B28BF00F4F9EC0C4ED6A3	28900685	MIBG alone, Day 3, 72 hours rep 1	Lawrence Livermore National Laboratory	9606	SRS13325028	GSM6215560	peripheral blood	peripheral blood	131I-MIBG
SAMN28900686	SRR19572856	2023-01-09T00:04:43Z	2022-06-07T12:57:49Z	7923187	673470895	0	85	250		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19572/SRR19572856/SRR19572856.lite.1	SRX15624899	GSM6215559	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325027	simple	9606	Homo sapiens	GSM6215559							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	A00C7FFFC1E0077E83CB7AFD06E87799	7B55B68DCDBF707271C1A6988CC5C3C2	28900686	MIBG alone, Day 0, baseline rep 5	Lawrence Livermore National Laboratory	9606	SRS13325027	GSM6215559	peripheral blood	peripheral blood	Untreated
SAMN28900686	SRR19572857	2023-01-09T00:04:43Z	2022-06-07T12:56:50Z	2940972	249982620	0	85	92		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19572/SRR19572857/SRR19572857.lite.1	SRX15624899	GSM6215559	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325027	simple	9606	Homo sapiens	GSM6215559							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	2DDAD7D1295B6B3092849CC789F80136	970B17BE25EFD07D63EC29318ACA4D72	28900686	MIBG alone, Day 0, baseline rep 5	Lawrence Livermore National Laboratory	9606	SRS13325027	GSM6215559	peripheral blood	peripheral blood	Untreated
