accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	time	tissue	treatment
SAMN29048016	29048016	U2940_UT_3_S15	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403634	GSM6244108	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, Untreated, 48hrs		pleural effusion	Untreated (UT) RPMI media
SAMN29048017	29048017	U2940_UT_2_S14	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403633	GSM6244107	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, Untreated, 48hrs		pleural effusion	Untreated (UT) RPMI media
SAMN29048018	29048018	U2940_UT_1_S13	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403632	GSM6244106	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, Untreated, 48hrs		pleural effusion	Untreated (UT) RPMI media
SAMN29048019	29048019	U2940_RmAb_3_S12	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403631	GSM6244105	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, RmAb treated, 48hrs		pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048020	29048020	U2940_RmAb_2_S11	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403630	GSM6244104	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, RmAb treated, 48hrs		pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048021	29048021	U2940_RmAb_1_S10	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403629	GSM6244103	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, RmAb treated, 48hrs		pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048022	29048022	U2940_PRED_3_S9	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403628	GSM6244102	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, PRED treated, 48hrs		pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048023	29048023	U2940_PRED_2_S8	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403627	GSM6244101	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, PRED treated, 48hrs		pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048024	29048024	U2940_PRED_1_S7	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403626	GSM6244100	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, PRED treated, 48hrs		pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048025	29048025	U2940_IBR_3_S6	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403625	GSM6244099	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, IBR treated, 48hrs		pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048026	29048026	U2940_IBR_2_S5	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403624	GSM6244098	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, IBR treated, 48hrs		pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048027	29048027	U2940_IBR_1_S4	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403623	GSM6244097	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, IBR treated, 48hrs		pleural effusion	Ibrutinib (IBR) 2.5uM
