BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	collection_date	genotype	geo_loc_name	source_name	treatment
SAMN29132978	SRR19668031	2023-06-07T15:22:04Z	2022-06-16T08:19:31Z	56334340	17012970680	56334340	302	5269		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19668/SRR19668031/SRR19668031.lite.1	SRX15717461	GSM6246422	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410962	simple	9606	Homo sapiens	GSM6246422							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	8DDE11348545ADD4B6D67D05020AD368	2279B9D738EA5C4C9FCB6AA818FCE3A3	29132978	ES2-SRMS-cis8h-Rep3	University of Texas Health Science Center at San Antonio	9606	SRS13410962	GSM6246422	ES-2	human ovarian cancer cell	missing	SRMS knockdown	missing	ES-2	cisplatin
SAMN29132979	SRR19668032	2023-06-07T15:22:04Z	2022-06-16T09:32:43Z	66744124	20156725448	66744124	302	6213		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19668/SRR19668032/SRR19668032.lite.1	SRX15717460	GSM6246421	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410961	simple	9606	Homo sapiens	GSM6246421							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	E36C4C710C3780842283E64D59EF490D	DF01DC7D8F2F151CC270155FBB1B4E25	29132979	ES2-SRMS-cis8h-Rep2	University of Texas Health Science Center at San Antonio	9606	SRS13410961	GSM6246421	ES-2	human ovarian cancer cell	missing	SRMS knockdown	missing	ES-2	cisplatin
SAMN29132980	SRR19668033	2023-06-07T15:22:04Z	2022-06-16T08:22:27Z	34965985	10559727470	34965985	302	3414		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19668/SRR19668033/SRR19668033.lite.1	SRX15717459	GSM6246420	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410960	simple	9606	Homo sapiens	GSM6246420							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	30FD172469829E276B879D893AAAC702	66907785C91BFF31810FDC4061105BA7	29132980	ES2-SRMS-cis8h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410960	GSM6246420	ES-2	human ovarian cancer cell	missing	SRMS knockdown	missing	ES-2	cisplatin
SAMN29132980	SRR19668034	2023-06-07T15:22:04Z	2022-06-16T07:15:32Z	4304099	1299837898	4304099	302	402		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19668/SRR19668034/SRR19668034.lite.1	SRX15717459	GSM6246420	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410960	simple	9606	Homo sapiens	GSM6246420							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	BE5D228E14E7C7B84120340E1D251E8A	AF89D13EF87992C058551394E29A0EB1	29132980	ES2-SRMS-cis8h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410960	GSM6246420	ES-2	human ovarian cancer cell	missing	SRMS knockdown	missing	ES-2	cisplatin
SAMN29132980	SRR19668035	2023-06-07T15:22:04Z	2022-06-16T07:17:21Z	4738934	1431158068	4738934	302	449		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19668/SRR19668035/SRR19668035.lite.1	SRX15717459	GSM6246420	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410960	simple	9606	Homo sapiens	GSM6246420							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	3426DDE95E41B0A7177CE92D658D88AE	756A19BC4EA3407DA5C48D329DE19316	29132980	ES2-SRMS-cis8h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410960	GSM6246420	ES-2	human ovarian cancer cell	missing	SRMS knockdown	missing	ES-2	cisplatin
SAMN29132980	SRR19668036	2023-06-07T15:22:04Z	2022-06-16T07:14:44Z	4225167	1276000434	4225167	302	396		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19668/SRR19668036/SRR19668036.lite.1	SRX15717459	GSM6246420	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410960	simple	9606	Homo sapiens	GSM6246420							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	1801D4EEE1C9DFE14E32DDB5B0A259B8	07BD7CA734848395AD348F46D39E9916	29132980	ES2-SRMS-cis8h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410960	GSM6246420	ES-2	human ovarian cancer cell	missing	SRMS knockdown	missing	ES-2	cisplatin
SAMN29132981	SRR19668037	2023-06-07T15:22:04Z	2022-06-16T09:56:43Z	96306078	29084435556	96306078	302	8949		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19668/SRR19668037/SRR19668037.lite.1	SRX15717458	GSM6246419	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410959	simple	9606	Homo sapiens	GSM6246419							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	61E231708F5F662DF73893DA1FAEF3F3	E357499E9C6DF87EE97B5A315888EFE4	29132981	ES2-PLKO-cis8h-Rep3	University of Texas Health Science Center at San Antonio	9606	SRS13410959	GSM6246419	ES-2	human ovarian cancer cell	missing	WT	missing	ES-2	cisplatin
SAMN29132982	SRR19668038	2023-06-07T15:22:04Z	2022-06-16T09:51:47Z	77060889	23272388478	77060889	302	7212		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19668/SRR19668038/SRR19668038.lite.1	SRX15717457	GSM6246418	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410958	simple	9606	Homo sapiens	GSM6246418							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	CFF373A0419EA993FBD26969573DCB39	FEC5C72C4D51E06F659B923E432ED553	29132982	ES2-PLKO-cis8h-Rep2	University of Texas Health Science Center at San Antonio	9606	SRS13410958	GSM6246418	ES-2	human ovarian cancer cell	missing	WT	missing	ES-2	cisplatin
SAMN29132983	SRR19668039	2023-06-07T15:22:04Z	2022-06-16T08:25:26Z	37397004	11293895208	37397004	302	3663		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19668/SRR19668039/SRR19668039.lite.1	SRX15717456	GSM6246417	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410957	simple	9606	Homo sapiens	GSM6246417							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	FFA364F1A52ECC138A7865FEF3DA1E67	23A19B06CB5806EDA4395A12AD148A4D	29132983	ES2-PLKO-cis8h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410957	GSM6246417	ES-2	human ovarian cancer cell	missing	WT	missing	ES-2	cisplatin
SAMN29132983	SRR19668040	2023-06-07T15:22:04Z	2022-06-16T07:15:09Z	3675881	1110116062	3675881	302	347		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR019/19668/SRR19668040/SRR19668040.lite.1	SRX15717456	GSM6246417	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410957	simple	9606	Homo sapiens	GSM6246417							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	CC29AED3709869B32F9A3B77FC2D5515	6E61C8C48D5C4E75BD1D887FE76B8722	29132983	ES2-PLKO-cis8h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410957	GSM6246417	ES-2	human ovarian cancer cell	missing	WT	missing	ES-2	cisplatin
