BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	collection_date	genotype	geo_loc_name	sample type	source_name	tissue	transfection	treatment	group
SAMN31184570	SRR21829030	2023-05-17T18:56:38Z	2022-10-06T14:22:46Z	22498282	3417245462	22498282	151	1394		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21829/SRR21829030/SRR21829030.lite.1	SRX17818247	GSM6618492	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP401325	PRJNA887761	3	887761	SRS15342201	simple	9606	Homo sapiens	GSM6618492							no					NENCKI INSTITUTE OF EXPERIMENTAL BIOLOGY	SRA1515060		public	FF9B1D37D15C43C6470087D267B47C68	8D97CB41176548912F8ED775017CE172	31184570	LN229_BLM_KO_cell line treated rep 3	Nencki Institute of Experimental Biology	9606	SRS15342201	GSM6618492	LN229	missing	BLM knock out	missing	LN229_BLM_KO_cell line	LN229_BLM_KO_cell line treated	brain	CRISPR/Cas9 BLM KO	temozolomide and olaparib treatment	LN229.BLM.KO.temozolomide...olaparib
SAMN31184571	SRR21829031	2023-05-17T18:56:38Z	2022-10-06T13:49:05Z	21541386	3271923992	21541386	151	1332		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR021/21829/SRR21829031/SRR21829031.lite.1	SRX17818246	GSM6618491	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP401325	PRJNA887761	3	887761	SRS15342200	simple	9606	Homo sapiens	GSM6618491							no					NENCKI INSTITUTE OF EXPERIMENTAL BIOLOGY	SRA1515060		public	E8E00F3D3637B99A99DFF95694FA0E23	4166DFE6CB513209EACE6DF8E60678D0	31184571	LN229_BLM_KO_cell line untreated rep 3	Nencki Institute of Experimental Biology	9606	SRS15342200	GSM6618491	LN229	missing	BLM knock out	missing	LN229_BLM_KO_cell line	LN229_BLM_KO_cell line untreated	brain	CRISPR/Cas9 BLM KO	untreated	LN229.BLM.KO.untreated
SAMN31184572	SRR21829032	2023-05-17T18:56:38Z	2022-10-06T13:52:33Z	24094043	3659733103	24094043	151	1485		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21829/SRR21829032/SRR21829032.lite.1	SRX17818245	GSM6618490	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP401325	PRJNA887761	3	887761	SRS15342199	simple	9606	Homo sapiens	GSM6618490							no					NENCKI INSTITUTE OF EXPERIMENTAL BIOLOGY	SRA1515060		public	71F3EC70B608E2A8FF9BFC8935F75EDD	70DC83618F44392650FBE238061D402D	31184572	LN229_BLM_KO_cell line treated rep 2	Nencki Institute of Experimental Biology	9606	SRS15342199	GSM6618490	LN229	missing	BLM knock out	missing	LN229_BLM_KO_cell line	LN229_BLM_KO_cell line treated	brain	CRISPR/Cas9 BLM KO	temozolomide and olaparib treatment	LN229.BLM.KO.temozolomide...olaparib
SAMN31184573	SRR21829033	2023-05-17T18:56:38Z	2022-10-06T13:52:03Z	20807750	3160505272	20807750	151	1288		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21829/SRR21829033/SRR21829033.lite.1	SRX17818244	GSM6618489	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP401325	PRJNA887761	3	887761	SRS15342198	simple	9606	Homo sapiens	GSM6618489							no					NENCKI INSTITUTE OF EXPERIMENTAL BIOLOGY	SRA1515060		public	A4D8B9684F45281558BE7F0116A22032	9B912F98890A173694255C989BDE3AF9	31184573	LN229_BLM_KO_cell line untreated rep 2	Nencki Institute of Experimental Biology	9606	SRS15342198	GSM6618489	LN229	missing	BLM knock out	missing	LN229_BLM_KO_cell line	LN229_BLM_KO_cell line untreated	brain	CRISPR/Cas9 BLM KO	untreated	LN229.BLM.KO.untreated
SAMN31184574	SRR21829034	2023-05-17T18:56:38Z	2022-10-06T13:51:23Z	24711984	3753499640	24711984	151	1528		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21829/SRR21829034/SRR21829034.lite.1	SRX17818243	GSM6618488	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP401325	PRJNA887761	3	887761	SRS15342197	simple	9606	Homo sapiens	GSM6618488							no					NENCKI INSTITUTE OF EXPERIMENTAL BIOLOGY	SRA1515060		public	8727EB40899C0D26A2539D5F3F1A1BB7	3B81E8A31CB0B4C18196CF8FFE7A3C93	31184574	LN229_BLM_KO_cell line treated rep 1	Nencki Institute of Experimental Biology	9606	SRS15342197	GSM6618488	LN229	missing	BLM knock out	missing	LN229_BLM_KO_cell line	LN229_BLM_KO_cell line treated	brain	CRISPR/Cas9 BLM KO	temozolomide and olaparib treatment	LN229.BLM.KO.temozolomide...olaparib
SAMN31184575	SRR21829035	2023-05-17T18:56:38Z	2022-10-06T13:53:16Z	22443655	3408995282	22443655	151	1387		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21829/SRR21829035/SRR21829035.lite.1	SRX17818242	GSM6618487	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP401325	PRJNA887761	3	887761	SRS15342196	simple	9606	Homo sapiens	GSM6618487							no					NENCKI INSTITUTE OF EXPERIMENTAL BIOLOGY	SRA1515060		public	B814ACEE37F0ABA67C6E40799E6BC86F	68FF05B740B474A1F4A4CAF48DA03FF8	31184575	LN229_BLM_KO_cell line untreated rep 1	Nencki Institute of Experimental Biology	9606	SRS15342196	GSM6618487	LN229	missing	BLM knock out	missing	LN229_BLM_KO_cell line	LN229_BLM_KO_cell line untreated	brain	CRISPR/Cas9 BLM KO	untreated	LN229.BLM.KO.untreated
SAMN31184576	SRR21829036	2023-05-17T18:56:38Z	2022-10-06T13:56:11Z	25533487	3878322527	25533487	151	1574		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21829/SRR21829036/SRR21829036.lite.1	SRX17818241	GSM6618486	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP401325	PRJNA887761	3	887761	SRS15342195	simple	9606	Homo sapiens	GSM6618486							no					NENCKI INSTITUTE OF EXPERIMENTAL BIOLOGY	SRA1515060		public	3F922BE51F49E01F26CA6D856BFC31AF	74C02EE888FB827F6CA627D7CA5416AF	31184576	LN18_BLM_KO_cell line treated rep 3	Nencki Institute of Experimental Biology	9606	SRS15342195	GSM6618486	LN18	missing	BLM knock out	missing	LN18_BLM_KO_cell line	LN18_BLM_KO_cell line treated	brain	CRISPR/Cas9 BLM KO	temozolomide and olaparib treatment	LN18.BLM.KO.temozolomide...olaparib
SAMN31184577	SRR21829037	2023-05-17T18:56:38Z	2022-10-06T13:50:32Z	23475694	3565811579	23475694	151	1447		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21829/SRR21829037/SRR21829037.lite.1	SRX17818240	GSM6618485	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP401325	PRJNA887761	3	887761	SRS15342194	simple	9606	Homo sapiens	GSM6618485							no					NENCKI INSTITUTE OF EXPERIMENTAL BIOLOGY	SRA1515060		public	D904E438A7BA3951C13B74790CBE634D	74E68DDEE5DADA7CCCC7212268F57F2A	31184577	LN18_BLM_KO_cell line untreated rep 3	Nencki Institute of Experimental Biology	9606	SRS15342194	GSM6618485	LN18	missing	BLM knock out	missing	LN18_BLM_KO_cell line	LN18_BLM_KO_cell line untreated	brain	CRISPR/Cas9 BLM KO	untreated	LN18.BLM.KO.untreated
SAMN31184578	SRR21829038	2023-05-17T18:56:38Z	2022-10-06T13:52:56Z	24602237	3736870985	24602237	151	1517		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21829/SRR21829038/SRR21829038.lite.1	SRX17818239	GSM6618484	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP401325	PRJNA887761	3	887761	SRS15342193	simple	9606	Homo sapiens	GSM6618484							no					NENCKI INSTITUTE OF EXPERIMENTAL BIOLOGY	SRA1515060		public	7D61FB5931FD7D746A103293BC8FF3DC	8237E0D7CBA221FB6F59F7F2C2AA7A69	31184578	LN18_BLM_KO_cell line treated rep 2	Nencki Institute of Experimental Biology	9606	SRS15342193	GSM6618484	LN18	missing	BLM knock out	missing	LN18_BLM_KO_cell line	LN18_BLM_KO_cell line treated	brain	CRISPR/Cas9 BLM KO	temozolomide and olaparib treatment	LN18.BLM.KO.temozolomide...olaparib
SAMN31184579	SRR21829039	2023-05-17T18:56:38Z	2022-10-06T13:50:19Z	24584846	3734083018	24584846	151	1527		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21829/SRR21829039/SRR21829039.lite.1	SRX17818238	GSM6618483	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP401325	PRJNA887761	3	887761	SRS15342192	simple	9606	Homo sapiens	GSM6618483							no					NENCKI INSTITUTE OF EXPERIMENTAL BIOLOGY	SRA1515060		public	9CF983D5E28E5A81DF21327C26E086DA	E2E94A9B7E3493397158DAF9C5B136C0	31184579	LN18_BLM_KO_cell line untreated rep 2	Nencki Institute of Experimental Biology	9606	SRS15342192	GSM6618483	LN18	missing	BLM knock out	missing	LN18_BLM_KO_cell line	LN18_BLM_KO_cell line untreated	brain	CRISPR/Cas9 BLM KO	untreated	LN18.BLM.KO.untreated
