accession	uid	title	organization	taxonomy	sra	geo	cell line	collection_date	genotype	geo_loc_name	sample type	source_name	tissue	transfection	treatment
SAMN31184570	31184570	LN229_BLM_KO_cell line treated rep 3	Nencki Institute of Experimental Biology	9606	SRS15342201	GSM6618492	LN229	missing	BLM knock out	missing	LN229_BLM_KO_cell line	LN229_BLM_KO_cell line treated	brain	CRISPR/Cas9 BLM KO	temozolomide and olaparib treatment
SAMN31184571	31184571	LN229_BLM_KO_cell line untreated rep 3	Nencki Institute of Experimental Biology	9606	SRS15342200	GSM6618491	LN229	missing	BLM knock out	missing	LN229_BLM_KO_cell line	LN229_BLM_KO_cell line untreated	brain	CRISPR/Cas9 BLM KO	untreated
SAMN31184572	31184572	LN229_BLM_KO_cell line treated rep 2	Nencki Institute of Experimental Biology	9606	SRS15342199	GSM6618490	LN229	missing	BLM knock out	missing	LN229_BLM_KO_cell line	LN229_BLM_KO_cell line treated	brain	CRISPR/Cas9 BLM KO	temozolomide and olaparib treatment
SAMN31184573	31184573	LN229_BLM_KO_cell line untreated rep 2	Nencki Institute of Experimental Biology	9606	SRS15342198	GSM6618489	LN229	missing	BLM knock out	missing	LN229_BLM_KO_cell line	LN229_BLM_KO_cell line untreated	brain	CRISPR/Cas9 BLM KO	untreated
SAMN31184574	31184574	LN229_BLM_KO_cell line treated rep 1	Nencki Institute of Experimental Biology	9606	SRS15342197	GSM6618488	LN229	missing	BLM knock out	missing	LN229_BLM_KO_cell line	LN229_BLM_KO_cell line treated	brain	CRISPR/Cas9 BLM KO	temozolomide and olaparib treatment
SAMN31184575	31184575	LN229_BLM_KO_cell line untreated rep 1	Nencki Institute of Experimental Biology	9606	SRS15342196	GSM6618487	LN229	missing	BLM knock out	missing	LN229_BLM_KO_cell line	LN229_BLM_KO_cell line untreated	brain	CRISPR/Cas9 BLM KO	untreated
SAMN31184576	31184576	LN18_BLM_KO_cell line treated rep 3	Nencki Institute of Experimental Biology	9606	SRS15342195	GSM6618486	LN18	missing	BLM knock out	missing	LN18_BLM_KO_cell line	LN18_BLM_KO_cell line treated	brain	CRISPR/Cas9 BLM KO	temozolomide and olaparib treatment
SAMN31184577	31184577	LN18_BLM_KO_cell line untreated rep 3	Nencki Institute of Experimental Biology	9606	SRS15342194	GSM6618485	LN18	missing	BLM knock out	missing	LN18_BLM_KO_cell line	LN18_BLM_KO_cell line untreated	brain	CRISPR/Cas9 BLM KO	untreated
SAMN31184578	31184578	LN18_BLM_KO_cell line treated rep 2	Nencki Institute of Experimental Biology	9606	SRS15342193	GSM6618484	LN18	missing	BLM knock out	missing	LN18_BLM_KO_cell line	LN18_BLM_KO_cell line treated	brain	CRISPR/Cas9 BLM KO	temozolomide and olaparib treatment
SAMN31184579	31184579	LN18_BLM_KO_cell line untreated rep 2	Nencki Institute of Experimental Biology	9606	SRS15342192	GSM6618483	LN18	missing	BLM knock out	missing	LN18_BLM_KO_cell line	LN18_BLM_KO_cell line untreated	brain	CRISPR/Cas9 BLM KO	untreated
SAMN31184580	31184580	LN18_BLM_KO_cell line treated rep 1	Nencki Institute of Experimental Biology	9606	SRS15342191	GSM6618482	LN18	missing	BLM knock out	missing	LN18_BLM_KO_cell line	LN18_BLM_KO_cell line treated	brain	CRISPR/Cas9 BLM KO	temozolomide and olaparib treatment
SAMN31184581	31184581	LN18_BLM_KO_cell line untreated rep 1	Nencki Institute of Experimental Biology	9606	SRS15342190	GSM6618481	LN18	missing	wild type	missing	LN18_BLM_KO_cell line	LN18_BLM_KO_cell line untreated	brain	CRISPR/Cas9 BLM KO	untreated
SAMN31184582	31184582	LN229 glioma cell line untreated rep 3	Nencki Institute of Experimental Biology	9606	SRS15342189	GSM6618480	LN229	missing	wild type	missing	LN229 glioma cell line	LN229 glioma cell line untreated	brain	none	untreated
SAMN31184583	31184583	LN229 glioma cell line untreated rep 2	Nencki Institute of Experimental Biology	9606	SRS15342188	GSM6618479	LN229	missing	wild type	missing	LN229 glioma cell line	LN229 glioma cell line untreated	brain	none	untreated
SAMN31184584	31184584	LN229 glioma cell line untreated rep 1	Nencki Institute of Experimental Biology	9606	SRS15342187	GSM6618478	LN229	missing	wild type	missing	LN229 glioma cell line	LN229 glioma cell line untreated	brain	none	untreated
SAMN31184585	31184585	LN18 glioma cell line untreated rep 3	Nencki Institute of Experimental Biology	9606	SRS15342186	GSM6618477	LN18	missing	wild type	missing	LN18 glioma cell line	LN18 glioma cell line untreated	brain	none	untreated
SAMN31184586	31184586	LN18 glioma cell line untreated rep 2	Nencki Institute of Experimental Biology	9606	SRS15342185	GSM6618476	LN18	missing	wild type	missing	LN18 glioma cell line	LN18 glioma cell line untreated	brain	none	untreated
SAMN31184587	31184587	LN18 glioma cell line untreated rep 1	Nencki Institute of Experimental Biology	9606	SRS15342184	GSM6618475	LN18	missing	wild type	missing	LN18 glioma cell line	LN18 glioma cell line untreated	brain	none	untreated
