BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	genotype	source_name	tissue	treatment
SAMN32008982	SRR22509323	2022-12-10T00:02:18Z	2022-12-02T16:39:51Z	59140299	11946340398	59140299	202	3635		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22509/SRR22509323/SRR22509323.1	SRX18474192	GSM6781683	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP411099	PRJNA907844		907844	SRS15947917	simple	9606	Homo sapiens	GSM6781683							no					INDIANA UNIVERSITY	SRA1551629		public	93741E48A73F919DB0B14D4FD935D06C	C72129E54CE327D7A950D2FDB06F46DF	32008982	HS578T 17PKO_DOX_48H_rep3	Indiana University	9606	SRS15947917	GSM6781683	HS578T	Eukaryotic cells	one copy of chrom 17p knockout	Breast cancer	Breast cancer	Doxorubicin treated
SAMN32008983	SRR22509324	2022-12-10T00:02:18Z	2022-12-02T16:35:47Z	60396482	12200089364	60396482	202	3664		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22509/SRR22509324/SRR22509324.1	SRX18474191	GSM6781682	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP411099	PRJNA907844		907844	SRS15947918	simple	9606	Homo sapiens	GSM6781682							no					INDIANA UNIVERSITY	SRA1551629		public	81DB60DE13463B7210ABFAFAD3AAB386	947FB6C3105EA45DCB7E20A5EA3D0F65	32008983	HS578T 17PKO_DOX_48H_rep2	Indiana University	9606	SRS15947918	GSM6781682	HS578T	Eukaryotic cells	one copy of chrom 17p knockout	Breast cancer	Breast cancer	Doxorubicin treated
SAMN32008984	SRR22509325	2022-12-10T00:02:18Z	2022-12-02T16:30:13Z	49730675	10045596350	49730675	202	3023		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22509/SRR22509325/SRR22509325.1	SRX18474190	GSM6781681	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP411099	PRJNA907844		907844	SRS15947916	simple	9606	Homo sapiens	GSM6781681							no					INDIANA UNIVERSITY	SRA1551629		public	BBF27AE235A37FC36ECA5FDF38B6C9C1	3D0A5F379A0D4A8DFF6818994F071528	32008984	HS578T 17PKO_DOX_48H_rep1	Indiana University	9606	SRS15947916	GSM6781681	HS578T	Eukaryotic cells	one copy of chrom 17p knockout	Breast cancer	Breast cancer	Doxorubicin treated
SAMN32008985	SRR22509326	2022-12-10T00:02:18Z	2022-12-02T16:37:05Z	62681179	12661598158	62681179	202	3871		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22509/SRR22509326/SRR22509326.1	SRX18474189	GSM6781680	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP411099	PRJNA907844		907844	SRS15947915	simple	9606	Homo sapiens	GSM6781680							no					INDIANA UNIVERSITY	SRA1551629		public	24C698CD2A2A9A8158BC3680944E43F0	96487459A6918202690477DA43EA1FBE	32008985	HS578T CAS9_DOX_48H_rep3	Indiana University	9606	SRS15947915	GSM6781680	HS578T	Eukaryotic cells	WT	Breast cancer	Breast cancer	Doxorubicin treated
SAMN32008986	SRR22509327	2022-12-10T00:02:18Z	2022-12-02T16:26:52Z	51837424	10471159648	51837424	202	3182		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22509/SRR22509327/SRR22509327.1	SRX18474188	GSM6781679	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP411099	PRJNA907844		907844	SRS15947913	simple	9606	Homo sapiens	GSM6781679							no					INDIANA UNIVERSITY	SRA1551629		public	0789ED67EA85390FEAC52D9A9DD264D1	62B31775526E7366B68CD823FB91786E	32008986	HS578T CAS9_DOX_48H_rep2	Indiana University	9606	SRS15947913	GSM6781679	HS578T	Eukaryotic cells	WT	Breast cancer	Breast cancer	Doxorubicin treated
SAMN32008987	SRR22509328	2022-12-10T00:02:18Z	2022-12-02T16:33:21Z	52560107	10617141614	52560107	202	3209		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22509/SRR22509328/SRR22509328.1	SRX18474187	GSM6781678	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP411099	PRJNA907844		907844	SRS15947914	simple	9606	Homo sapiens	GSM6781678							no					INDIANA UNIVERSITY	SRA1551629		public	B880746EAAC5D296D6D526226272B81A	BC05B603041B375F77A129112A35DA1B	32008987	HS578T CAS9_DOX_48H_rep1	Indiana University	9606	SRS15947914	GSM6781678	HS578T	Eukaryotic cells	WT	Breast cancer	Breast cancer	Doxorubicin treated
SAMN32008988	SRR22509329	2022-12-10T00:02:18Z	2022-12-02T16:37:42Z	49820520	10063745040	49820520	202	3083		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22509/SRR22509329/SRR22509329.1	SRX18474186	GSM6781677	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP411099	PRJNA907844		907844	SRS15947911	simple	9606	Homo sapiens	GSM6781677							no					INDIANA UNIVERSITY	SRA1551629		public	ED78971EC9756C8AF90CCB3B9050E48B	A93ECD63619F5EB6D3153FF1DCAD75FC	32008988	HS578T 17PKO_DMSO_48H_rep3	Indiana University	9606	SRS15947911	GSM6781677	HS578T	Eukaryotic cells	one copy of chrom 17p knockout	Breast cancer	Breast cancer	untreated
SAMN32008989	SRR22509330	2022-12-10T00:02:18Z	2022-12-02T16:33:42Z	52167284	10537791368	52167284	202	3175		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22509/SRR22509330/SRR22509330.1	SRX18474185	GSM6781676	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP411099	PRJNA907844		907844	SRS15947912	simple	9606	Homo sapiens	GSM6781676							no					INDIANA UNIVERSITY	SRA1551629		public	8698B702AA0B747BB444F12A73C40329	CF9E24641D22532E9BB8E79086DC56E3	32008989	HS578T 17PKO_DMSO_48H_rep2	Indiana University	9606	SRS15947912	GSM6781676	HS578T	Eukaryotic cells	one copy of chrom 17p knockout	Breast cancer	Breast cancer	untreated
SAMN32008990	SRR22509331	2022-12-10T00:02:18Z	2022-12-02T16:15:22Z	44170694	8922480188	44170694	202	2715		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22509/SRR22509331/SRR22509331.1	SRX18474184	GSM6781675	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP411099	PRJNA907844		907844	SRS15947909	simple	9606	Homo sapiens	GSM6781675							no					INDIANA UNIVERSITY	SRA1551629		public	41FF00D91DBBE973350F4B7EA2118E95	509F0CA8027C16CE8C7ED828A680442C	32008990	HS578T 17PKO_DMSO_48H_rep1	Indiana University	9606	SRS15947909	GSM6781675	HS578T	Eukaryotic cells	one copy of chrom 17p knockout	Breast cancer	Breast cancer	untreated
SAMN32008991	SRR22509332	2022-12-10T00:02:18Z	2022-12-02T16:31:50Z	63000428	12726086456	63000428	202	3881		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22509/SRR22509332/SRR22509332.1	SRX18474183	GSM6781674	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP411099	PRJNA907844		907844	SRS15947910	simple	9606	Homo sapiens	GSM6781674							no					INDIANA UNIVERSITY	SRA1551629		public	34C33B8C9B8BBC132088739BAFBD0391	78EB0055F0D8E791BF3C33EB1DAA7056	32008991	HS578T cas9_DMSO_48H_rep3	Indiana University	9606	SRS15947910	GSM6781674	HS578T	Eukaryotic cells	WT	Breast cancer	Breast cancer	untreated
