BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	tissue	treatment	group
SAMN34123226	SRR24112555	2023-04-14T00:05:58Z	2023-04-09T13:10:12Z	63469621	19040886300	63469621	300	12503		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR024/24112/SRR24112555/SRR24112555.lite.1	SRX19911975	GSM7157776	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	MGISEQ-2000RS	SRP431653	PRJNA953769		953769	SRS17265456	simple	9606	Homo sapiens	GSM7157776							no					BIOCHEMISTRY, AJOU UNIVERSITY	SRA1617679		public	0D92A39AF74FDC304C4582BC8FBDDFCF	157FC2DC8C7A97B3327BD97C37E168B2	34123226	Palbp3	biochemistry, ajou university	9606	SRS17265456	GSM7157776	MCF7	cancer cell	1μM Palbociclib treated MCF7 for 4day	breast cancer	1uM Palbociclib treated for 4day	MCF7.1uM.Palbociclib.4day
SAMN34123227	SRR24112556	2023-04-14T00:05:58Z	2023-04-09T13:25:27Z	70397000	21119100000	70397000	300	13949		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR024/24112/SRR24112556/SRR24112556.lite.1	SRX19911974	GSM7157775	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	MGISEQ-2000RS	SRP431653	PRJNA953769		953769	SRS17265455	simple	9606	Homo sapiens	GSM7157775							no					BIOCHEMISTRY, AJOU UNIVERSITY	SRA1617679		public	B1A101E3BBF2F4EEDD8AAA502DA83DD6	C0C62B057F4606BA6917AD08485E65CE	34123227	Palbo2	biochemistry, ajou university	9606	SRS17265455	GSM7157775	MCF7	cancer cell	1μM Palbociclib treated MCF7 for 4day	breast cancer	1uM Palbociclib treated for 4day	MCF7.1uM.Palbociclib.4day
SAMN34123228	SRR24112557	2023-04-14T00:05:58Z	2023-04-09T13:28:31Z	71202639	21360791700	71202639	300	13939		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR024/24112/SRR24112557/SRR24112557.lite.1	SRX19911973	GSM7157774	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	MGISEQ-2000RS	SRP431653	PRJNA953769		953769	SRS17265454	simple	9606	Homo sapiens	GSM7157774							no					BIOCHEMISTRY, AJOU UNIVERSITY	SRA1617679		public	14962EDDDA65D5C8DCA815ADB121756D	8573D4A7D2A0EC4577F93DB5E6025346	34123228	Palbo1	biochemistry, ajou university	9606	SRS17265454	GSM7157774	MCF7	cancer cell	1μM Palbociclib treated MCF7 for 4day	breast cancer	1uM Palbociclib treated for 4day	MCF7.1uM.Palbociclib.4day
SAMN34123229	SRR24112558	2023-04-14T00:05:58Z	2023-04-09T13:33:26Z	60494428	18148328400	60494428	300	12006		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR024/24112/SRR24112558/SRR24112558.lite.1	SRX19911972	GSM7157773	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	MGISEQ-2000RS	SRP431653	PRJNA953769		953769	SRS17265453	simple	9606	Homo sapiens	GSM7157773							no					BIOCHEMISTRY, AJOU UNIVERSITY	SRA1617679		public	23614785780E1AE63285428A2FB766C3	1CB59E3316FC9E5499794804EA7867DE	34123229	Cis3	biochemistry, ajou university	9606	SRS17265453	GSM7157773	MCF7	cancer cell	5μM Cisplatin treated MCF7 for 4day	breast cancer	5uM Cisplatin treated for 4day	MCF7.5uM.Cisplatin.4day
SAMN34123230	SRR24112559	2023-04-14T00:05:58Z	2023-04-09T13:30:22Z	60120700	18036210000	60120700	300	11844		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR024/24112/SRR24112559/SRR24112559.lite.1	SRX19911971	GSM7157772	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	MGISEQ-2000RS	SRP431653	PRJNA953769		953769	SRS17265452	simple	9606	Homo sapiens	GSM7157772							no					BIOCHEMISTRY, AJOU UNIVERSITY	SRA1617679		public	3A28911E5996B8A0A560B0F553D382FF	0D86EF8FE91F1B6D1CA6F04854D785C5	34123230	Cis2	biochemistry, ajou university	9606	SRS17265452	GSM7157772	MCF7	cancer cell	5μM Cisplatin treated MCF7 for 4day	breast cancer	5uM Cisplatin treated for 4day	MCF7.5uM.Cisplatin.4day
SAMN34123231	SRR24112560	2023-04-14T00:05:58Z	2023-04-09T13:18:49Z	60727285	18218185500	60727285	300	11770		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR024/24112/SRR24112560/SRR24112560.lite.1	SRX19911970	GSM7157771	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	MGISEQ-2000RS	SRP431653	PRJNA953769		953769	SRS17265451	simple	9606	Homo sapiens	GSM7157771							no					BIOCHEMISTRY, AJOU UNIVERSITY	SRA1617679		public	901A57EC0451C2FAF3A66A2EA7A1C737	0A14E392FA7669C6688B7E941BBF0497	34123231	Cis1	biochemistry, ajou university	9606	SRS17265451	GSM7157771	MCF7	cancer cell	5μM Cisplatin treated MCF7 for 4day	breast cancer	5uM Cisplatin treated for 4day	MCF7.5uM.Cisplatin.4day
SAMN34123232	SRR24112561	2023-04-14T00:05:58Z	2023-04-09T13:23:36Z	72816053	21844815900	72816053	300	14401		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR024/24112/SRR24112561/SRR24112561.lite.1	SRX19911969	GSM7157770	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	MGISEQ-2000RS	SRP431653	PRJNA953769		953769	SRS17265449	simple	9606	Homo sapiens	GSM7157770							no					BIOCHEMISTRY, AJOU UNIVERSITY	SRA1617679		public	722C1316A8C98D3B91219ED208A7276A	9005209E0C58AE827F174FCFE9F16C57	34123232	Doxo3	biochemistry, ajou university	9606	SRS17265449	GSM7157770	MCF7	cancer cell	100nM Doxo treated MCF7 for 4day	breast cancer	100nM Doxo treated for 4day	MCF7.100nM.Doxo.4day
SAMN34123233	SRR24112562	2023-04-14T00:05:58Z	2023-04-09T13:29:12Z	72425408	21727622400	72425408	300	14175		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR024/24112/SRR24112562/SRR24112562.lite.1	SRX19911968	GSM7157769	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	MGISEQ-2000RS	SRP431653	PRJNA953769		953769	SRS17265450	simple	9606	Homo sapiens	GSM7157769							no					BIOCHEMISTRY, AJOU UNIVERSITY	SRA1617679		public	9FF130B9E5A45DD7DB21818663BC021F	7163153A7046510301F69DFEBE11BA3B	34123233	Doxo2	biochemistry, ajou university	9606	SRS17265450	GSM7157769	MCF7	cancer cell	100nM Doxo treated MCF7 for 4day	breast cancer	100nM Doxo treated for 4day	MCF7.100nM.Doxo.4day
SAMN34123234	SRR24112563	2023-04-14T00:05:58Z	2023-04-09T13:35:21Z	63294222	18988266600	63294222	300	12513		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR024/24112/SRR24112563/SRR24112563.lite.1	SRX19911967	GSM7157768	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	MGISEQ-2000RS	SRP431653	PRJNA953769		953769	SRS17265448	simple	9606	Homo sapiens	GSM7157768							no					BIOCHEMISTRY, AJOU UNIVERSITY	SRA1617679		public	AD23BCECA10E949F45021161D67148C1	D5F0A2EB43182C9D8BC49BDF41A71876	34123234	Doxo1	biochemistry, ajou university	9606	SRS17265448	GSM7157768	MCF7	cancer cell	100nM Doxo treated MCF7 for 4day	breast cancer	100nM Doxo treated for 4day	MCF7.100nM.Doxo.4day
SAMN34123235	SRR24112564	2023-04-14T00:05:58Z	2023-04-09T13:30:50Z	56761157	17028347100	56761157	300	10954		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR024/24112/SRR24112564/SRR24112564.lite.1	SRX19911966	GSM7157767	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	MGISEQ-2000RS	SRP431653	PRJNA953769		953769	SRS17265446	simple	9606	Homo sapiens	GSM7157767							no					BIOCHEMISTRY, AJOU UNIVERSITY	SRA1617679		public	04AF8670E0E02ACFB08CDC86580C770C	0E6DCE84CDD007C87E5444CCB4375EA9	34123235	Control3	biochemistry, ajou university	9606	SRS17265446	GSM7157767	MCF7	cancer cell	Control MCF7	breast cancer	Control	MCF7.Control
