accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	collection_date	genotype	geo_loc_name	source_name	treatment
SAMN34996151	34996151	MV4-11 cells, Chidamide combined with Cytarabine group 3	Hematology, West China Hospital of Sichuan University	9606	SRS17583756	GSM7305883	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Chidamide combined with cytarabine group treated for 24 h
SAMN34996152	34996152	MV4-11 cells, Chidamide combined with Cytarabine group 2	Hematology, West China Hospital of Sichuan University	9606	SRS17583755	GSM7305882	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Chidamide combined with cytarabine group treated for 24 h
SAMN34996153	34996153	MV4-11 cells, Chidamide combined with Cytarabine group 1	Hematology, West China Hospital of Sichuan University	9606	SRS17583754	GSM7305881	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Chidamide combined with cytarabine group treated for 24 h
SAMN34996154	34996154	MV4-11 cells, Cytarabine group 3	Hematology, West China Hospital of Sichuan University	9606	SRS17583753	GSM7305880	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Cytarabine treatment for 24 h
SAMN34996155	34996155	MV4-11 cells, Cytarabine group 2	Hematology, West China Hospital of Sichuan University	9606	SRS17583752	GSM7305879	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Cytarabine treatment for 24 h
SAMN34996156	34996156	MV4-11 cells, Cytarabine group 1	Hematology, West China Hospital of Sichuan University	9606	SRS17583751	GSM7305878	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Cytarabine treatment for 24 h
SAMN34996157	34996157	MV4-11 cells, Chidamide group 3	Hematology, West China Hospital of Sichuan University	9606	SRS17583750	GSM7305877	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Chidamide treatment for 24 h
SAMN34996158	34996158	MV4-11 cells, Chidamide group 2	Hematology, West China Hospital of Sichuan University	9606	SRS17583749	GSM7305876	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Chidamide treatment for 24 h
SAMN34996159	34996159	MV4-11 cells, Chidamide group 1	Hematology, West China Hospital of Sichuan University	9606	SRS17583748	GSM7305875	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Chidamide treatment for 24 h
SAMN34996160	34996160	MV4-11 cells, Control group 3	Hematology, West China Hospital of Sichuan University	9606	SRS17583747	GSM7305874	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Incubation for 24 h
SAMN34996161	34996161	MV4-11 cells, Control group 2	Hematology, West China Hospital of Sichuan University	9606	SRS17583746	GSM7305873	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Incubation for 24 h
SAMN34996162	34996162	MV4-11 cells, Control group 1	Hematology, West China Hospital of Sichuan University	9606	SRS17583745	GSM7305872	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Incubation for 24 h
