experiment,contrast,cell_type,drug,dose,time_hr
hh1,dac_96hr,YB5,Decitabine,,96
hh1,dac_hh1_10um_96hr,YB5,HH1 + Decitabine,10uM,96
hh1,dac_hh1_25um_96hr,YB5,HH1 + Decitabine,25uM,96
hh1,hh1_24hr,YB5,HH1,10uM,24
hh1,hh1_25um_96hr,YB5,HH1,25uM,96
hh1,hh1_2hr,YB5,HH1,10uM,2
hh1,hh1_4hr,YB5,HH1,10uM,4
hh1,hh1_8hr,YB5,HH1,10uM,8
hh1,hh1_96hr,YB5,HH1,10uM,96
hh1,tetOff,YB5,tetOff,,72
pladb,pladb_10nM,YB5,Pladienolide B,10nM,72
pladb,pladb_150nM,YB5,Pladienolide B,150nM,72
PRJNA260377,cmml1_resonder,BM MNC,Decitabine,20 mg/m2/day i.v.,3 cycles 5d/28d
PRJNA260377,cmml2_respnder,BM MNC,Decitabine,20 mg/m2/day i.v.,3 cycles 5d/28d
PRJNA260377,responder,BM MNC,Decitabine,20 mg/m2/day i.v.,3 cycles 5d/28d
PRJNA265187,dac,SW48,Decitabine,,
PRJNA265187,dac_siCHD4,SW48,Decitabine + siCHD4,,
PRJNA265187,siCHD4,SW48,siCHD4,,
PRJNA265187,siDMNT1,SW48,siDMNT1,,
PRJNA265187,siDNMT1_siCHD4,SW48,siDNMT1 + siCHD4,,
PRJNA315294,doxorubicin.300nM.16h,CRC,Doxorubicin,300nM,16
PRJNA315294,hct_dox,HCT116,Doxorubicin,300nM,16
PRJNA315294,hct_ko_dox,HCT116_p53_KO,Doxorubicin,300nM,16
PRJNA315294,hct_wt_dox,HCT116_p53_WT,Doxorubicin,300nM,16
PRJNA315294,rko_dox,RKO,Doxorubicin,300nM,16
PRJNA315294,rko_ko_dox,RKO_p53_KO,Doxorubicin,300nM,16
PRJNA315294,rko_wt_dox,RKO_p53_WT,Doxorubicin,300nM,16
PRJNA315294,sw48_dox,SW48,Doxorubicin,300nM,16
PRJNA315294,sw48_ko_dox,SW48_p53_KO,Doxorubicin,300nM,16
PRJNA315294,sw48_wt_dox,SW48_p53_WT,Doxorubicin,300nM,16
PRJNA316529,dac,HL-60,Decitabine,100nM,72
PRJNA316529,dac_deazaneplanocinA,HL-60,Decitabine + 3-deazaneplanocin A,100nM + 1000nM,72
PRJNA316529,deazaneplanocinA,HL-60,3-deazaneplanocin A,1000nM,72
PRJNA318019,dac,GBM,Decitabine,1uM,72
PRJNA318019,lnt_dac,LNT-299,Decitabine,1uM,72
PRJNA318019,t98g_dac,T98G,Decitabine,1uM,72
PRJNA318019,u87_dac,U-87,Decitabine,1uM,72
PRJNA335388,bc_dox,MDA-MB231,Doxorubicin,1uM,72
PRJNA335388,bc_eto,MDA-MB231,Etoposide,20uM,72
PRJNA335388,bc_mms,MDA-MB231,MMS,40 ug/mL,72
PRJNA335388,bc_pac,MDA-MB231,Paclitaxel,0.2uM,72
PRJNA335388,doxorubicin.1uM,Breast/Osteosarcoma,Doxorubicin,1uM,72
PRJNA335388,etoposide.20uM,Breast/Osteosarcoma,Etoposide,20uM,72
PRJNA335388,mms.40ug_ml,Breast/Osteosarcoma,MMS,40 ug/mL,72
PRJNA335388,os_dox,U2OS ,Doxorubicin,1uM,72
