experiment,contrast,cell_line,morphology,tissue,disease,drug,target,dose,time_hr
PRJNA316529,deazaneplanocinA,HL-60,promyeloblast,blood,acute promyelocytic leukemia,3-deazaneplanocin A,Adenosylhomocysteinase (AHCY),1000nM,72
PRJNA391270,a498_4gy,A498,epithelial,kidney,Carcinoma,4Gy IR,radiation,,3
PRJNA391270,a549_4gy,A459,epithelial,lung,Carcinoma,4Gy IR,radiation,,3
PRJNA391270,gy4.3hr,Combined Cell Lines,,,,4Gy IR,radiation,,3
PRJNA391270,h460_4gy,H460,epithelial,lung,Carcinoma,4Gy IR,radiation,,3
PRJNA391270,hct116_4gy,HCT116,epithelial,large intestine; colon,Carcinoma; Colorectal,4Gy IR,radiation,,3
PRJNA391270,lox_4gy,LOXIMVI,epithelial,skin,Malignant Melanoma,4Gy IR,radiation,,3
PRJNA391270,malme3_4gy,MALME3M,fibroblast,skin,Malignant Melanoma,4Gy IR,radiation,,3
PRJNA391270,skmel5_4gy,SKMEL5,melanocyte,skin,Malignant Melanoma,4Gy IR,radiation,,3
PRJNA391270,u2os_4gy,U2OS,epithelial,bone,Osteosarcoma,4Gy IR,radiation,,3
PRJNA391270,uacc257_4gy,UACC257,epithelial,skin,Malignant Melanoma,4Gy IR,radiation,,3
PRJNA391270,uo31_4gy,UO31,epithelial,kidney,Carcinoma,4Gy IR,radiation,,3
PRJNA391270,mcf7_4gy,MCF7,epithelial,breast,Adenocarcinoma,4Gy IR + Decitabine,radiation +  Human Deoxyribonucleic acid (hDNA),2uM,3
PRJNA417314,hc29_5fu,HT-29,epithelial,large intestine; colon,Adenocarcinoma,5-FU,Candida Thymidylate synthase (Candi TMP1); Dihydrothymine dehydrogenase (DPYD); TERT messenger RNA (TERT mRNA); Thymidylate synthase messenger RNA (TYMS mRNA),20uM,72
PRJNA603369,abbv075.100nM,AML,primary human cells,blood,Acute myeloid leukemia,ABBV-075,Bromodomain-containing protein 2 (BRD2); Bromodomain-containing protein 3 (BRD3); Bromodomain-containing protein 4 (BRD4),100nM,24
PRJNA603369,kasumi.abbv075.100nM,Kasumi-1,myeloblast,blood,Acute myeloblastic leukemia,ABBV-075,Bromodomain-containing protein 2 (BRD2); Bromodomain-containing protein 3 (BRD3); Bromodomain-containing protein 4 (BRD4),100nM,24
PRJNA603369,mv411.abbv075.100nM,MV-4-11,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,ABBV-075,Bromodomain-containing protein 2 (BRD2); Bromodomain-containing protein 3 (BRD3); Bromodomain-containing protein 4 (BRD4),100nM,24
PRJNA603369,nci_h1299.abbv075.100nM,NCI-H1299,epithelial,lung,Carcinoma,ABBV-075,Bromodomain-containing protein 2 (BRD2); Bromodomain-containing protein 3 (BRD3); Bromodomain-containing protein 4 (BRD4),100nM,24
PRJNA603369,skm.abbv075.100nM,SKM-1,myeloblast,blood,Acute myeloid leukemia,ABBV-075,Bromodomain-containing protein 2 (BRD2); Bromodomain-containing protein 3 (BRD3); Bromodomain-containing protein 4 (BRD4),100nM,24
PRJNA603369,abbv744.200nM,AML,primary human cells,blood,Acute myeloid leukemia,ABBV-744,Bromodomain-containing protein 2 (BRD2); Bromodomain-containing protein 3 (BRD3); Bromodomain-containing protein 4 (BRD4),200nM,24
PRJNA603369,kasumi.abbv744.200nM,Kasumi-1,myeloblast,blood,Acute myeloblastic leukemia,ABBV-744,Bromodomain-containing protein 2 (BRD2); Bromodomain-containing protein 3 (BRD3); Bromodomain-containing protein 4 (BRD4),200nM,24
PRJNA603369,mv411.abbv744.200nM,MV-4-11,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,ABBV-744,Bromodomain-containing protein 2 (BRD2); Bromodomain-containing protein 3 (BRD3); Bromodomain-containing protein 4 (BRD4),200nM,24
PRJNA603369,nci_h1299.abbv744.200nM,NCI-H1299,epithelial,lung,Carcinoma,ABBV-744,Bromodomain-containing protein 2 (BRD2); Bromodomain-containing protein 3 (BRD3); Bromodomain-containing protein 4 (BRD4),200nM,24
PRJNA603369,skm.abbv744.200nM,SKM-1,myeloblast,blood,Acute myeloid leukemia,ABBV-744,Bromodomain-containing protein 2 (BRD2); Bromodomain-containing protein 3 (BRD3); Bromodomain-containing protein 4 (BRD4),200nM,24
PRJNA379584,afatinib.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,afatinib,Epidermal growth factor receptor (EGFR); Erbb2 tyrosine kinase receptor (HER2),ED20 and 1/10 of it,24
PRJNA379584,afatinib.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,afatinib,Epidermal growth factor receptor (EGFR); Erbb2 tyrosine kinase receptor (HER2),ED20 and 1/10 of it,6
PRJNA379584,alisertib.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,alisertib,Oral aurora kinase inhibitor,ED20 and 1/10 of it,24
PRJNA379584,alisertib.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,alisertib,Oral aurora kinase inhibitor,ED20 and 1/10 of it,6
PRJNA379584,arachidonyl.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,arachidonyl,Cannabinoid receptor 1 (CB1),ED20 and 1/10 of it,24
PRJNA379584,arachidonyl.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,arachidonyl,Cannabinoid receptor 1 (CB1),ED20 and 1/10 of it,6
PRJNA379584,at13387.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,at13387,Heat shock protein 90 alpha (HSP90A),ED20 and 1/10 of it,24
PRJNA379584,at13387.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,at13387,Heat shock protein 90 alpha (HSP90A),ED20 and 1/10 of it,6
PRJNA379584,auy922.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,auy922,Heat shock protein 90 alpha (HSP90A),ED20 and 1/10 of it,24
PRJNA379584,auy922.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,auy922,Heat shock protein 90 alpha (HSP90A),ED20 and 1/10 of it,6
PRJNA352461,Azacitidine,BM MNC,patient-derived AML,blood,Acute myeloid leukemia,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),NA,NA
PRJNA610784,Azacitidine,IDH1mut BM,patient-derived AML,blood,Acute myeloid leukemia,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),500nM,96
PRJNA670901,azacitidine_125nM,TCL,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),125nM,NA
PRJNA670901,azacitidine_250nM,TCL,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),250nM,NA
PRJNA670901,azacitidine_50nM,TCL,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),50nM,NA
PRJNA670901,HH.azacitidine,HH,lymphoblast,blood,Lymphoma,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),50/125/250nM,NA
PRJNA670901,HH.azacitidine_125nM,HH,lymphoblast,blood,Lymphoma,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),125nM,NA
PRJNA670901,HH.azacitidine_250nM,HH,lymphoblast,blood,Lymphoma,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),250nM,NA
PRJNA670901,HH.azacitidine_50nM,HH,lymphoblast,blood,Lymphoma,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),50nM,NA
PRJNA670901,PF382.azacitidine,PF-382,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),50/125/250nM,NA
PRJNA670901,PF382.azacitidine_125nM,PF-382,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),125nM,NA
PRJNA670901,PF382.azacitidine_250nM,PF-382,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),250nM,NA
PRJNA670901,PF382.azacitidine_500nM,PF-382,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),500nM,NA
PRJNA670901,TLOm1.azacitidine,TLOm1,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),50/125/250nM,NA
PRJNA670901,TLOm1.azacitidine_125nM,TLOm1,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),125nM,NA
PRJNA670901,TLOm1.azacitidine_250nM,TLOm1,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),250nM,NA
PRJNA670901,TLOm1.azacitidine_500nM,TLOm1,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Azacitidine,DNA [cytosine-5]-methyltransferase (DNMT),500nM,NA
PRJNA379584,azd6482.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,azd6482,PI3-kinase beta (PIK3CB),ED20 and 1/10 of it,24
PRJNA379584,azd6482.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,azd6482,PI3-kinase beta (PIK3CB),ED20 and 1/10 of it,6
PRJNA379584,azd7762.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,azd7762,Checkpoint kinase-1 (CHK1),ED20 and 1/10 of it,24
PRJNA379584,azd7762.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,azd7762,Checkpoint kinase-1 (CHK1),ED20 and 1/10 of it,6
PRJNA379584,azd8055.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,azd8055,Serine/threonine-protein kinase mTOR (mTOR),ED20 and 1/10 of it,24
PRJNA379584,azd8055.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,azd8055,Serine/threonine-protein kinase mTOR (mTOR),ED20 and 1/10 of it,6
PRJNA379584,bafetinib.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bafetinib,Fusion protein Bcr-Abl (Bcr-Abl); Tyrosine-protein kinase Lyn (JTK8),ED20 and 1/10 of it,24
PRJNA379584,bafetinib.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bafetinib,Fusion protein Bcr-Abl (Bcr-Abl); Tyrosine-protein kinase Lyn (JTK8),ED20 and 1/10 of it,6
PRJNA379584,bardoxolone_methyl.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bardoxolone_methyl,iNOS inhibitor; COX-2 inhibitor; MMP-1 and MMP-13 inhibitor,ED20 and 1/10 of it,24
PRJNA379584,bardoxolone_methyl.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bardoxolone_methyl,iNOS inhibitor; COX-2 inhibitor; MMP-1 and MMP-13 inhibitor,ED20 and 1/10 of it,6
PRJNA610784,BAY1436032,IDH1mut BM,patient-derived AML,blood,Acute myeloid leukemia,BAY1436032,Mutated oxalosuccinate decarboxylase (mIDH1),50nM,120
PRJNA610784,BAY1436032_Azacitidine_seq,IDH1mut BM,patient-derived AML,blood,Acute myeloid leukemia,BAY1436032_Azacitidine_seq,Mutated oxalosuccinate decarboxylase (mIDH1),50nM+500nM,216
PRJNA610784,BAY1436032_Azacitidine_sim,IDH1mut BM,patient-derived AML,blood,Acute myeloid leukemia,BAY1436032_Azacitidine_sim,Mutated oxalosuccinate decarboxylase (mIDH1),50nM+500nM,120
PRJNA379584,belinostat.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,belinostat,Histone deacetylase (HDAC),ED20 and 1/10 of it,24
PRJNA379584,belinostat.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,belinostat,Histone deacetylase (HDAC),ED20 and 1/10 of it,6
PRJNA379584,bexarotene.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bexarotene,Retinoic acid receptor RXR-alpha (RXRA),ED20 and 1/10 of it,24
PRJNA379584,bexarotene.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bexarotene,Retinoic acid receptor RXR-alpha (RXRA),ED20 and 1/10 of it,6
PRJNA379584,bgj398.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bgj398,Fibroblast growth factor receptor (FGFR); Fibroblast growth factor receptor 1 (FGFR1),ED20 and 1/10 of it,24
PRJNA379584,bgj398.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bgj398,Fibroblast growth factor receptor (FGFR); Fibroblast growth factor receptor 1 (FGFR1),ED20 and 1/10 of it,6
PRJNA379584,bi.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bi,Human Deoxyribonucleic acid (hDNA),ED20 and 1/10 of it,6
PRJNA379584,bi_2536.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bi_2536,Polo-like kinase 1 (PLK1),ED20 and 1/10 of it,24
PRJNA379584,bi_2536.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bi_2536,Polo-like kinase 1 (PLK1),ED20 and 1/10 of it,6
PRJNA400080,BI00894999.1nM.24,MV-4-11B,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,BI 00894999,Bromodomain and extraterminal domain protein (BET),1nM,24
PRJNA400080,BI00894999.1nM.4,MV-4-11B,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,BI 00894999,Bromodomain and extraterminal domain protein (BET),1nM,4
PRJNA400080,BI00894999.35nM.24,MV-4-11B,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,BI 00894999,Bromodomain and extraterminal domain protein (BET),35nM,24
PRJNA400080,BI00894999.35nM.4,MV-4-11B,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,BI 00894999,Bromodomain and extraterminal domain protein (BET),35nM,4
PRJNA395584,HL_60.BI00894999.35nM,HL-60,promyeloblast,blood,acute promyelocytic leukemia,BI 00894999,Bromodomain and extraterminal domain protein (BET),35nM,
PRJNA395584,KASUMI_1.BI00894999.35nM,Kasumi-1,myeloblast,blood,Acute myeloblastic leukemia,BI 00894999,Bromodomain and extraterminal domain protein (BET),35nM,
PRJNA395584,MOLM_13.BI00894999.35nM,MOLM13,myeloblast,blood,Acute myeloid leukemia,BI 00894999,Bromodomain and extraterminal domain protein (BET),35nM,
PRJNA395584,MV_4_11_B.BI00894999.1000nM,MV-4-11B,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,BI 00894999,Bromodomain and extraterminal domain protein (BET),1000nM,
PRJNA395584,MV_4_11_B.BI00894999.100nM,MV-4-11B,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,BI 00894999,Bromodomain and extraterminal domain protein (BET),100nM,
PRJNA395584,MV_4_11_B.BI00894999.1nM,MV-4-11B,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,BI 00894999,Bromodomain and extraterminal domain protein (BET),1nM,
PRJNA395584,MV_4_11_B.BI00894999.35nM,MV-4-11B,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,BI 00894999,Bromodomain and extraterminal domain protein (BET),35nM,
PRJNA395584,NCI_H2171.BI00894999.100nM,NCI-H2171,lymphoblast,lung,Carcinoma,BI 00894999,Bromodomain and extraterminal domain protein (BET),100nM,
PRJNA395584,OCI_AML3.BI00894999.35nM,OCI-AML3,myeloblast,blood,Acute myeloid leukemia,BI 00894999,Bromodomain and extraterminal domain protein (BET),35nM,
PRJNA400080,BI00894999_Volasertib.1nM_20nM.24,MV-4-11B,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,BI 00894999 + Volasertib,Bromodomain and extraterminal domain protein (BET);   Polo-like kinase 1 (PLK1),1nM + 20nM,24
PRJNA400080,BI00894999_Volasertib.1nM_20nM.4,MV-4-11B,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,BI 00894999 + Volasertib,Bromodomain and extraterminal domain protein (BET);   Polo-like kinase 1 (PLK1),1nM + 20nM,4
PRJNA400080,BI00894999_Volasertib.35nM_20nM.24,MV-4-11B,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,BI 00894999 + Volasertib,Bromodomain and extraterminal domain protein (BET);   Polo-like kinase 1 (PLK1),35nM + 20nM,24
