id,experiment,contrast
hh1.HH1.10uM_vs_DMSO_2hr,hh1,HH1.10uM_vs_DMSO_2hr
hh1.HH1.10uM_vs_DMSO_4hr,hh1,HH1.10uM_vs_DMSO_4hr
hh1.HH1.10uM_vs_DMSO_8hr,hh1,HH1.10uM_vs_DMSO_8hr
hh1.HH1.10uM_vs_DMSO_24hr,hh1,HH1.10uM_vs_DMSO_24hr
hh1.HH1.10uM_vs_DMSO_96hr,hh1,HH1.10uM_vs_DMSO_96hr
hh1.HH1.25uM_vs_DMSO_96hr,hh1,HH1.25uM_vs_DMSO_96hr
hh1.Decitabine_vs_DMSO_96hr,hh1,Decitabine_vs_DMSO_96hr
hh1.Decitabine_HH1.10uM_vs_DMSO_96hr,hh1,Decitabine_HH1.10uM_vs_DMSO_96hr
hh1.Decitabine_HH1.25uM_vs_DMSO_96hr,hh1,Decitabine_HH1.25uM_vs_DMSO_96hr
hh1.tetOff_vs_tetOn_72hr,hh1,tetOff_vs_tetOn_72hr
pladb.PladienolideB.150nM_vs_DMSO,pladb,PladienolideB.150nM_vs_DMSO
pladb.PladienolideB.10nM_vs_DMSO,pladb,PladienolideB.10nM_vs_DMSO
PRJNA244098.JJN3.5.AZA_vs_JJN3.Control_4hr,PRJNA244098,JJN3.5.AZA_vs_JJN3.Control_4hr
PRJNA244098.JJN3.5.AZA_vs_JJN3.Control_24hr,PRJNA244098,JJN3.5.AZA_vs_JJN3.Control_24hr
PRJNA244098.JJN3.Combo_vs_JJN3.Control_4hr,PRJNA244098,JJN3.Combo_vs_JJN3.Control_4hr
PRJNA244098.JJN3.Combo_vs_JJN3.Control_24hr,PRJNA244098,JJN3.Combo_vs_JJN3.Control_24hr
PRJNA244098.JJN3.LBH.589_vs_JJN3.Control_4hr,PRJNA244098,JJN3.LBH.589_vs_JJN3.Control_4hr
PRJNA244098.JJN3.LBH.589_vs_JJN3.Control_24hr,PRJNA244098,JJN3.LBH.589_vs_JJN3.Control_24hr
PRJNA244098.U266.5.AZA_vs_U266.Control_4hr,PRJNA244098,U266.5.AZA_vs_U266.Control_4hr
PRJNA244098.U266.5.AZA_vs_U266.Control_24hr,PRJNA244098,U266.5.AZA_vs_U266.Control_24hr
PRJNA244098.U266.Combo_vs_U266.Control_4hr,PRJNA244098,U266.Combo_vs_U266.Control_4hr
PRJNA244098.U266.Combo_vs_U266.Control_24hr,PRJNA244098,U266.Combo_vs_U266.Control_24hr
PRJNA244098.U266.LBH.589_vs_U266.Control_4hr,PRJNA244098,U266.LBH.589_vs_U266.Control_4hr
PRJNA244098.U266.LBH.589_vs_U266.Control_24hr,PRJNA244098,U266.LBH.589_vs_U266.Control_24hr
PRJNA254756.pIND_shMiz1.minusDox_BI8622_vs_pIND_shMiz1.minusDox_DMSO,PRJNA254756,pIND_shMiz1.minusDox_BI8622_vs_pIND_shMiz1.minusDox_DMSO
PRJNA254756.pIND_shMiz1.plusDox_BI8622_vs_pIND_shMiz1.plusDox_DMSO,PRJNA254756,pIND_shMiz1.plusDox_BI8622_vs_pIND_shMiz1.plusDox_DMSO
PRJNA254756.pLKO_empty.BI8622_vs_pLKO_empty.DMSO,PRJNA254756,pLKO_empty.BI8622_vs_pLKO_empty.DMSO
PRJNA254756.shHUWE1.BI8622_vs_shHUWE1.DMSO,PRJNA254756,shHUWE1.BI8622_vs_shHUWE1.DMSO
PRJNA260377.Decitabine_Responder_vs_Non_Responder,PRJNA260377,Decitabine_Responder_vs_Non_Responder
PRJNA260609.BIX01294_vs_Control,PRJNA260609,BIX01294_vs_Control
PRJNA260609.Rapamycin_vs_Control,PRJNA260609,Rapamycin_vs_Control
PRJNA263115.CPI360_vs_DMSO,PRJNA263115,CPI360_vs_DMSO
PRJNA263115.EPZ6438_vs_DMSO,PRJNA263115,EPZ6438_vs_DMSO
PRJNA263115.GSK126_vs_DMSO,PRJNA263115,GSK126_vs_DMSO
PRJNA265187.Decitabine_vs_Control,PRJNA265187,Decitabine_vs_Control
PRJNA265187.Decitabine_siCHD4_vs_Control,PRJNA265187,Decitabine_siCHD4_vs_Control
PRJNA265187.siCHD4_vs_Control,PRJNA265187,siCHD4_vs_Control
PRJNA265187.siDMNT1_vs_Control,PRJNA265187,siDMNT1_vs_Control
PRJNA265187.siDNMT1_siCHD4_vs_Control,PRJNA265187,siDNMT1_siCHD4_vs_Control
PRJNA270740.CP1203_vs_DMSO,PRJNA270740,CP1203_vs_DMSO
PRJNA270740.SGCCCBP30_vs_DMSO,PRJNA270740,SGCCCBP30_vs_DMSO
PRJNA274569.C1.AICAR_vs_C1.DMSO,PRJNA274569,C1.AICAR_vs_C1.DMSO
PRJNA274569.C1.chloramphenicol_vs_C1.DMSO,PRJNA274569,C1.chloramphenicol_vs_C1.DMSO
PRJNA274569.C1.resveratrol_vs_C1.DMSO,PRJNA274569,C1.resveratrol_vs_C1.DMSO
PRJNA274569.C2.AICAR_vs_C2.DMSO,PRJNA274569,C2.AICAR_vs_C2.DMSO
PRJNA274569.C2.chloramphenicol_vs_C2.DMSO,PRJNA274569,C2.chloramphenicol_vs_C2.DMSO
PRJNA274569.C2.resveratrol_vs_C2.DMSO,PRJNA274569,C2.resveratrol_vs_C2.DMSO
PRJNA274569.P1.AICAR_vs_P1.DMSO,PRJNA274569,P1.AICAR_vs_P1.DMSO
PRJNA274569.P1.chloramphenicol_vs_P1.DMSO,PRJNA274569,P1.chloramphenicol_vs_P1.DMSO
PRJNA274569.P1.resveratrol_vs_P1.DMSO,PRJNA274569,P1.resveratrol_vs_P1.DMSO
PRJNA274569.P2.AICAR_vs_P2.DMSO,PRJNA274569,P2.AICAR_vs_P2.DMSO
PRJNA274569.P2.chloramphenicol_vs_P2.DMSO,PRJNA274569,P2.chloramphenicol_vs_P2.DMSO
PRJNA274569.P2.resveratrol_vs_P2.DMSO,PRJNA274569,P2.resveratrol_vs_P2.DMSO
PRJNA274569.AICAR_vs_DMSO,PRJNA274569,AICAR_vs_DMSO
PRJNA274569.Chloramphenicol_vs_DMSO,PRJNA274569,Chloramphenicol_vs_DMSO
PRJNA274569.Resveratrol_vs_DMSO,PRJNA274569,Resveratrol_vs_DMSO
PRJNA285337.A375_parental.CPI203_vs_A375_parental.DMSO,PRJNA285337,A375_parental.CPI203_vs_A375_parental.DMSO
PRJNA285337.A375_parental.None_vs_A375_parental.DMSO,PRJNA285337,A375_parental.None_vs_A375_parental.DMSO
PRJNA285337.A375_resistant_clone_1.CPI203_vs_A375_resistant_clone_1.DMSO,PRJNA285337,A375_resistant_clone_1.CPI203_vs_A375_resistant_clone_1.DMSO
PRJNA285337.A375_resistant_clone_4.CPI203_vs_A375_resistant_clone_4.DMSO,PRJNA285337,A375_resistant_clone_4.CPI203_vs_A375_resistant_clone_4.DMSO
PRJNA285337.NOMO1_parental.CPI203_vs_NOMO1_parental.DMSO,PRJNA285337,NOMO1_parental.CPI203_vs_NOMO1_parental.DMSO
PRJNA285337.NOMO1_resistant_clone.CPI203_vs_NOMO1_resistant_clone.DMSO,PRJNA285337,NOMO1_resistant_clone.CPI203_vs_NOMO1_resistant_clone.DMSO
PRJNA285337.A375_resistant_clone.CPI203_vs_A375_resistant_clone.DMSO,PRJNA285337,A375_resistant_clone.CPI203_vs_A375_resistant_clone.DMSO
PRJNA296592.COLO_205.JQ1_vs_COLO_205.DMSO,PRJNA296592,COLO_205.JQ1_vs_COLO_205.DMSO
PRJNA296592.COLO_320.JQ1_vs_COLO_320.DMSO,PRJNA296592,COLO_320.JQ1_vs_COLO_320.DMSO
PRJNA296592.HCT116.JQ1_vs_HCT116.DMSO,PRJNA296592,HCT116.JQ1_vs_HCT116.DMSO
PRJNA296592.HCT15.JQ1_vs_HCT15.DMSO,PRJNA296592,HCT15.JQ1_vs_HCT15.DMSO
PRJNA296592.HT29.JQ1_vs_HT29.DMSO,PRJNA296592,HT29.JQ1_vs_HT29.DMSO
PRJNA296592.SW480.JQ1_vs_SW480.DMSO,PRJNA296592,SW480.JQ1_vs_SW480.DMSO
PRJNA296592.JQ1_vs_DMSO,PRJNA296592,JQ1_vs_DMSO
PRJNA296593.HCT116.shRNA_BRD4_7_vs_HCT116.NTC,PRJNA296593,HCT116.shRNA_BRD4_7_vs_HCT116.NTC
PRJNA296593.HCT116.shRNA_BRD4_8_vs_HCT116.NTC,PRJNA296593,HCT116.shRNA_BRD4_8_vs_HCT116.NTC
PRJNA296593.HCT116.shRNA_BRD4_vs_HCT116.NTC,PRJNA296593,HCT116.shRNA_BRD4_vs_HCT116.NTC
PRJNA296593.HT29.shRNA_BRD4_7_vs_HT29.NTC,PRJNA296593,HT29.shRNA_BRD4_7_vs_HT29.NTC
PRJNA296593.HT29.shRNA_BRD4_8_vs_HT29.NTC,PRJNA296593,HT29.shRNA_BRD4_8_vs_HT29.NTC
PRJNA296593.HT29.shRNA_BRD4_vs_HT29.NTC,PRJNA296593,HT29.shRNA_BRD4_vs_HT29.NTC
PRJNA296593.shRNA_BRD4_vs_NTC,PRJNA296593,shRNA_BRD4_vs_NTC
PRJNA308493.EPZ004777_vs_DMSO,PRJNA308493,EPZ004777_vs_DMSO
PRJNA315294.HCT116.p53_WT.Doxorubicin_vs_HCT116.p53_WT.Control,PRJNA315294,HCT116.p53_WT.Doxorubicin_vs_HCT116.p53_WT.Control
PRJNA315294.HCT116.p53_KO.Doxorubicin_vs_HCT116.p53_KO.Control,PRJNA315294,HCT116.p53_KO.Doxorubicin_vs_HCT116.p53_KO.Control
PRJNA315294.RKO.p53_WT.Doxorubicin_vs_RKO.p53_WT.Control,PRJNA315294,RKO.p53_WT.Doxorubicin_vs_RKO.p53_WT.Control
PRJNA315294.RKO.p53_KO.Doxorubicin_vs_RKO.p53_KO.Control,PRJNA315294,RKO.p53_KO.Doxorubicin_vs_RKO.p53_KO.Control
PRJNA315294.SW48.p53_WT.Doxorubicin_vs_SW48.p53_WT.Control,PRJNA315294,SW48.p53_WT.Doxorubicin_vs_SW48.p53_WT.Control
PRJNA315294.SW48.p53_KO.Doxorubicin_vs_SW48.p53_KO.Control,PRJNA315294,SW48.p53_KO.Doxorubicin_vs_SW48.p53_KO.Control
PRJNA315294.HCT116.Doxorubicin_vs_HCT116.Control,PRJNA315294,HCT116.Doxorubicin_vs_HCT116.Control
PRJNA315294.RKO.Doxorubicin_vs_RKO.Control,PRJNA315294,RKO.Doxorubicin_vs_RKO.Control
PRJNA315294.SW48.Doxorubicin_vs_SW48.Control,PRJNA315294,SW48.Doxorubicin_vs_SW48.Control
PRJNA315294.Doxorubicin_vs_Control,PRJNA315294,Doxorubicin_vs_Control
PRJNA315414.MOLT4.JQ1_vs_MOLT4.DMSO_2hr,PRJNA315414,MOLT4.JQ1_vs_MOLT4.DMSO_2hr
PRJNA315414.MOLT4.JQ1_vs_MOLT4.DMSO_6hr,PRJNA315414,MOLT4.JQ1_vs_MOLT4.DMSO_6hr
